captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786002443097|0|SAFE_BOOT|fixed|1350565379|8193|8193
1786002443097|0|SAFE_BOOT|rotating|1346371075|8193|8193
1786002443390|1001|counter_direct_f2r_00000_4194304_active|fixed|1346371075|8193|8193
1786002443390|1001|counter_direct_f2r_00000_4194304_active|rotating|1350557187|8193|8193
1786002447689|1001|counter_direct_f2r_00000_4194304_terminal|fixed|1350565379|8193|8193
1786002447689|1001|counter_direct_f2r_00000_4194304_terminal|rotating|1346371075|8193|8193
1786002448045|1002|counter_direct_f2r_00001_4194304_active|fixed|1350565379|8193|8193
1786002448045|1002|counter_direct_f2r_00001_4194304_active|rotating|1350557187|8193|8193
1786002452444|1002|counter_direct_f2r_00001_4194304_terminal|fixed|1346371075|8193|8193
1786002452444|1002|counter_direct_f2r_00001_4194304_terminal|rotating|1346371075|8193|8193
1786002453044|1003|counter_direct_f2r_00002_4194304_active|fixed|1350565378|8193|8193
1786002453044|1003|counter_direct_f2r_00002_4194304_active|rotating|1350557187|8193|8193
1786002457178|1003|counter_direct_f2r_00002_4194304_terminal|fixed|1346371075|8193|8193
1786002457178|1003|counter_direct_f2r_00002_4194304_terminal|rotating|1346371075|8193|8193
1786002457823|1004|counter_direct_f2r_00003_1048576_active|fixed|1346371075|8193|8193
1786002457823|1004|counter_direct_f2r_00003_1048576_active|rotating|1346362883|8193|8193
1786002459498|1004|counter_direct_f2r_00003_1048576_terminal|fixed|1346371075|8193|8193
1786002459498|1004|counter_direct_f2r_00003_1048576_terminal|rotating|1346371075|8193|8193
1786002460072|1005|counter_direct_f2r_00004_1048576_active|fixed|1346371075|8193|8193
1786002460072|1005|counter_direct_f2r_00004_1048576_active|rotating|1346362883|8193|8193
1786002461785|1005|counter_direct_f2r_00004_1048576_terminal|fixed|1350565379|8193|8193
1786002461785|1005|counter_direct_f2r_00004_1048576_terminal|rotating|1350565379|8193|8193
1786002462163|1006|counter_direct_f2r_00005_1048576_active|fixed|1346371075|8193|8193
1786002462163|1006|counter_direct_f2r_00005_1048576_active|rotating|1346362883|8193|8193
1786002463569|1006|counter_direct_f2r_00005_1048576_terminal|fixed|1346371075|8193|8193
1786002463569|1006|counter_direct_f2r_00005_1048576_terminal|rotating|1346371075|8193|8193
1786002463932|1007|counter_direct_f2r_00006_1048576_active|fixed|1346371075|8193|8193
1786002463932|1007|counter_direct_f2r_00006_1048576_active|rotating|1346362883|8193|8193
1786002465351|1007|counter_direct_f2r_00006_1048576_terminal|fixed|1346371075|8193|8193
1786002465351|1007|counter_direct_f2r_00006_1048576_terminal|rotating|1350565379|8193|8193
1786002465709|1008|counter_direct_f2r_00007_1048576_active|fixed|1346371075|8193|8193
1786002465709|1008|counter_direct_f2r_00007_1048576_active|rotating|1346362883|8193|8193
1786002467247|1008|counter_direct_f2r_00007_1048576_terminal|fixed|1350565379|8193|8193
1786002467247|1008|counter_direct_f2r_00007_1048576_terminal|rotating|1346371075|8193|8193
1786002473280|1009|counter_direct_r2f_00000_4194304_active|fixed|1346362883|8193|8193
1786002473280|1009|counter_direct_r2f_00000_4194304_active|rotating|1350565379|8193|8193
1786002477629|1009|counter_direct_r2f_00000_4194304_terminal|fixed|1346371075|8193|8193
1786002477629|1009|counter_direct_r2f_00000_4194304_terminal|rotating|1346371075|8193|8193
1786002478038|1010|counter_direct_r2f_00001_4194304_active|fixed|1350557187|8193|8193
1786002478038|1010|counter_direct_r2f_00001_4194304_active|rotating|1350565379|8193|8193
1786002482303|1010|counter_direct_r2f_00001_4194304_terminal|fixed|1350565379|8193|8193
1786002482303|1010|counter_direct_r2f_00001_4194304_terminal|rotating|1350565379|8193|8193
1786002482661|1011|counter_direct_r2f_00002_4194304_active|fixed|1346362883|8193|8193
1786002482661|1011|counter_direct_r2f_00002_4194304_active|rotating|1346371075|8193|8193
1786002486950|1011|counter_direct_r2f_00002_4194304_terminal|fixed|1350565379|8193|8193
1786002486950|1011|counter_direct_r2f_00002_4194304_terminal|rotating|1350565379|8193|8193
1786002487448|1012|counter_direct_r2f_00003_1048576_active|fixed|1350557187|8193|8193
1786002487448|1012|counter_direct_r2f_00003_1048576_active|rotating|1346371075|8193|8193
1786002488977|1012|counter_direct_r2f_00003_1048576_terminal|fixed|1346371075|8193|8193
1786002488977|1012|counter_direct_r2f_00003_1048576_terminal|rotating|1346371075|8193|8193
1786002489320|1013|counter_direct_r2f_00004_1048576_active|fixed|1346362883|8193|8193
1786002489320|1013|counter_direct_r2f_00004_1048576_active|rotating|1350565379|8193|8193
1786002490806|1013|counter_direct_r2f_00004_1048576_terminal|fixed|1346371075|8193|8193
1786002490806|1013|counter_direct_r2f_00004_1048576_terminal|rotating|1350565379|8193|8193
1786002491225|1014|counter_direct_r2f_00005_1048576_active|fixed|1346362883|8193|8193
1786002491225|1014|counter_direct_r2f_00005_1048576_active|rotating|1346371075|8193|8193
