captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786005696099|0|SAFE_BOOT|fixed|1346371075|8193|8193
1786005696099|0|SAFE_BOOT|rotating|1346371075|8193|8193
1786005696249|1001|lane0_unavailable_active|fixed|1346371075|8193|8193
1786005696249|1001|lane0_unavailable_active|rotating|1350557187|8193|8193
1786005701407|1001|lane0_unavailable|fixed|1350565378|8193|8193
1786005701407|1001|lane0_unavailable|rotating|1350557187|8193|8193
1786005706371|1001|lane0_unavailable|fixed|1350565378|8193|8193
1786005706371|1001|lane0_unavailable|rotating|1346362883|8193|8193
1786005711406|1001|lane0_unavailable|fixed|1350565378|8193|8193
1786005711406|1001|lane0_unavailable|rotating|1346362883|8193|8193
1786005716401|1001|lane0_unavailable|fixed|1350565378|8193|8193
1786005716401|1001|lane0_unavailable|rotating|1346362883|8193|8193
1786005721490|1001|lane0_unavailable|fixed|1346371074|8193|8193
1786005721490|1001|lane0_unavailable|rotating|1350557187|8193|8193
1786005726422|1001|lane0_unavailable|fixed|1346371074|8193|8193
1786005726422|1001|lane0_unavailable|rotating|1346362883|8193|8193
1786005731422|1001|lane0_unavailable|fixed|1346371074|8193|8193
1786005731422|1001|lane0_unavailable|rotating|1350557187|8193|8193
1786005736451|1001|lane0_unavailable|fixed|1350565378|8193|8193
1786005736451|1001|lane0_unavailable|rotating|1350557187|8193|8193
1786005741430|1001|lane0_unavailable|fixed|1346371074|8193|8193
1786005741430|1001|lane0_unavailable|rotating|1346362883|8193|8193
1786005746475|1001|lane0_unavailable|fixed|1350565378|8193|8193
1786005746475|1001|lane0_unavailable|rotating|1346362883|8193|8193
1786005751475|1001|lane0_unavailable|fixed|1350565378|8193|8193
1786005751475|1001|lane0_unavailable|rotating|1350557187|8193|8193
1786005756475|1001|lane0_unavailable|fixed|1350565378|8193|8193
1786005756475|1001|lane0_unavailable|rotating|1350557187|8193|8193
1786005761634|1001|lane0_unavailable|fixed|1350565378|8193|8193
1786005761634|1001|lane0_unavailable|rotating|1350557187|8193|8193
1786005766481|1001|lane0_unavailable|fixed|1346371074|8193|8193
1786005766481|1001|lane0_unavailable|rotating|1346362883|8193|8193
1786005771504|1001|lane0_unavailable|fixed|1350565378|8193|8193
1786005771504|1001|lane0_unavailable|rotating|1346362883|8193|8193
1786005775418|1001|lane0_unavailable_terminal|fixed|1346371075|8193|8193
1786005775418|1001|lane0_unavailable_terminal|rotating|1350565379|8193|8193
1786005775728|1002|lane0_clean64_active|fixed|1350565379|8193|8193
1786005775728|1002|lane0_clean64_active|rotating|1346362883|8193|8193
1786005780867|1002|lane0_clean64|fixed|1346371074|8193|8193
1786005780867|1002|lane0_clean64|rotating|1346362883|8193|8193
1786005785867|1002|lane0_clean64|fixed|1346371074|8193|8193
1786005785867|1002|lane0_clean64|rotating|1350557187|8193|8193
1786005790896|1002|lane0_clean64|fixed|1346371074|8193|8193
1786005790896|1002|lane0_clean64|rotating|1350557187|8193|8193
1786005795907|1002|lane0_clean64|fixed|1346371074|8193|8193
1786005795907|1002|lane0_clean64|rotating|1350557187|8193|8193
1786005800938|1002|lane0_clean64|fixed|1346371074|8193|8193
1786005800938|1002|lane0_clean64|rotating|1350557187|8193|8193
1786005805885|1002|lane0_clean64|fixed|1346371074|8193|8193
1786005805885|1002|lane0_clean64|rotating|1346362883|8193|8193
1786005810915|1002|lane0_clean64|fixed|1346371074|8193|8193
1786005810915|1002|lane0_clean64|rotating|1346362883|8193|8193
1786005815975|1002|lane0_clean64|fixed|1350565378|8193|8193
1786005815975|1002|lane0_clean64|rotating|1346362883|8193|8193
1786005820918|1002|lane0_clean64|fixed|1346371074|8193|8193
1786005820918|1002|lane0_clean64|rotating|1346362883|8193|8193
1786005825968|1002|lane0_clean64|fixed|1346371074|8193|8193
1786005825968|1002|lane0_clean64|rotating|1350557187|8193|8193
1786005830964|1002|lane0_clean64|fixed|1350565378|8193|8193
1786005830964|1002|lane0_clean64|rotating|1350557187|8193|8193
1786005834159|1002|lane0_clean64_terminal|fixed|1346371075|8193|8193
1786005834159|1002|lane0_clean64_terminal|rotating|1350565379|8193|8193
1786005834480|1003|lane1_unavailable_active|fixed|1346362883|8193|8193
1786005834480|1003|lane1_unavailable_active|rotating|1350565379|8193|8193
1786005839637|1003|lane1_unavailable|fixed|1346362883|8193|8193
1786005839637|1003|lane1_unavailable|rotating|1346371074|8193|8193
1786005844648|1003|lane1_unavailable|fixed|1346362883|8193|8193
1786005844648|1003|lane1_unavailable|rotating|1350565378|8193|8193
1786005849625|1003|lane1_unavailable|fixed|1350557187|8193|8193
1786005849625|1003|lane1_unavailable|rotating|1350565378|8193|8193
1786005854617|1003|lane1_unavailable|fixed|1350557187|8193|8193
1786005854617|1003|lane1_unavailable|rotating|1346371074|8193|8193
1786005859658|1003|lane1_unavailable|fixed|1346362883|8193|8193
1786005859658|1003|lane1_unavailable|rotating|1346371074|8193|8193
1786005864628|1003|lane1_unavailable|fixed|1350557187|8193|8193
1786005864628|1003|lane1_unavailable|rotating|1346371074|8193|8193
1786005869674|1003|lane1_unavailable|fixed|1346362883|8193|8193
1786005869674|1003|lane1_unavailable|rotating|1350565378|8193|8193
1786005874667|1003|lane1_unavailable|fixed|1350557187|8193|8193
1786005874667|1003|lane1_unavailable|rotating|1350565378|8193|8193
1786005879662|1003|lane1_unavailable|fixed|1346362883|8193|8193
1786005879662|1003|lane1_unavailable|rotating|1346371074|8193|8193
1786005884651|1003|lane1_unavailable|fixed|1346362883|8193|8193
1786005884651|1003|lane1_unavailable|rotating|1350565378|8193|8193
1786005889680|1003|lane1_unavailable|fixed|1350557187|8193|8193
1786005889680|1003|lane1_unavailable|rotating|1346371074|8193|8193
1786005894736|1003|lane1_unavailable|fixed|1350557187|8193|8193
1786005894736|1003|lane1_unavailable|rotating|1346371074|8193|8193
1786005899746|1003|lane1_unavailable|fixed|1350557187|8193|8193
1786005899746|1003|lane1_unavailable|rotating|1346371074|8193|8193
1786005904709|1003|lane1_unavailable|fixed|1346362883|8193|8193
1786005904709|1003|lane1_unavailable|rotating|1346371074|8193|8193
1786005909722|1003|lane1_unavailable|fixed|1350557187|8193|8193
1786005909722|1003|lane1_unavailable|rotating|1350565378|8193|8193
1786005913544|1003|lane1_unavailable_terminal|fixed|1350565379|8193|8193
1786005913544|1003|lane1_unavailable_terminal|rotating|1350565379|8193|8193
1786005913877|1004|lane1_clean64_active|fixed|1346362883|8193|8193
1786005913877|1004|lane1_clean64_active|rotating|1350565379|8193|8193
1786005919005|1004|lane1_clean64|fixed|1350557187|8193|8193
1786005919005|1004|lane1_clean64|rotating|1350565378|8193|8193
1786005924043|1004|lane1_clean64|fixed|1350557187|8193|8193
1786005924043|1004|lane1_clean64|rotating|1346371074|8193|8193
1786005929024|1004|lane1_clean64|fixed|1346362883|8193|8193
1786005929024|1004|lane1_clean64|rotating|1346371074|8193|8193
1786005934029|1004|lane1_clean64|fixed|1346362883|8193|8193
1786005934029|1004|lane1_clean64|rotating|1346371074|8193|8193
1786005939063|1004|lane1_clean64|fixed|1350557187|8193|8193
1786005939063|1004|lane1_clean64|rotating|1350565378|8193|8193
1786005944088|1004|lane1_clean64|fixed|1346362883|8193|8193
1786005944088|1004|lane1_clean64|rotating|1350565378|8193|8193
1786005949056|1004|lane1_clean64|fixed|1350557187|8193|8193
1786005949056|1004|lane1_clean64|rotating|1346371074|8193|8193
1786005954076|1004|lane1_clean64|fixed|1350557187|8193|8193
1786005954076|1004|lane1_clean64|rotating|1346371074|8193|8193
1786005959125|1004|lane1_clean64|fixed|1350557187|8193|8193
1786005959125|1004|lane1_clean64|rotating|1350565378|8193|8193
1786005964107|1004|lane1_clean64|fixed|1346362883|8193|8193
1786005964107|1004|lane1_clean64|rotating|1346371074|8193|8193
1786005969116|1004|lane1_clean64|fixed|1350557187|8193|8193
1786005969116|1004|lane1_clean64|rotating|1350565378|8193|8193
1786005972103|1004|lane1_clean64_terminal|fixed|1346371075|8193|8193
1786005972103|1004|lane1_clean64_terminal|rotating|1346371075|8193|8193
1786005972520|1005|lane2_unavailable_active|fixed|1350565379|8193|8193
1786005972520|1005|lane2_unavailable_active|rotating|1346362883|8193|8193
1786005977653|1005|lane2_unavailable|fixed|1350565378|8193|8193
1786005977653|1005|lane2_unavailable|rotating|1346362883|8193|8193
1786005982666|1005|lane2_unavailable|fixed|1350565378|8193|8193
1786005982666|1005|lane2_unavailable|rotating|1350557187|8193|8193
1786005987676|1005|lane2_unavailable|fixed|1350565378|8193|8193
1786005987676|1005|lane2_unavailable|rotating|1346362883|8193|8193
1786005992654|1005|lane2_unavailable|fixed|1346371074|8193|8193
1786005992654|1005|lane2_unavailable|rotating|1346362883|8193|8193
1786005997712|1005|lane2_unavailable|fixed|1350565378|8193|8193
1786005997712|1005|lane2_unavailable|rotating|1346362883|8193|8193
1786006002692|1005|lane2_unavailable|fixed|1346371074|8193|8193
1786006002692|1005|lane2_unavailable|rotating|1350557187|8193|8193
1786006007719|1005|lane2_unavailable|fixed|1350565378|8193|8193
