captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786008428553|1003|matrix_F0_frame30s_00000_4194304|fixed|6,1378943233,16780817,6196559,0,6178810,0,6178810,0,5897,0,5891,0,0,0,188,0,181761400,0,4096,0,0,0,5891,0,443823511,0,443823519,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,24,0,20,0,6,5,0,1,24,0|4,1145728048,0,1476704,0,0,0,0,0,1563871,0,5,0,322247890,0,322247890,0,2080,320165630,0,4107177,0,0,0,0,0
1786008428553|1003|matrix_F0_frame30s_00000_4194304|rotating|6,1378943233,33558272,6310499,0,18032,0,18032,0,382,0,191,0,0,0,5999,0,1220288,1220288,4096,4096,0,0,191,191,430076682,430076682,430076690,430076690,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,24,0,20,0,6,5,0,1,24,0|4,479052241,0,0,0,1310720,0,1310720,0,4555,0,0,5,0,0,0,0,0,0,0,3438922,0,0,0,0,0
1786008433579|1003|matrix_F0_frame30s_00000_4194304|fixed|8,1378943233,16780817,12483463,0,12447690,0,12447690,0,11880,0,11867,0,0,0,379,0,366153332,0,4096,0,0,0,11868,0,765522514,0,765522522,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,48,0,44,0,12,11,0,1,48,0|6,1465967144,0,2946816,0,0,0,0,0,3123941,0,11,0,642119458,0,642119458,0,2080,639544997,0,4887541,0,0,0,0,0
1786008433579|1003|matrix_F0_frame30s_00000_4194304|rotating|8,1378943233,33558272,12554041,0,35961,0,35961,0,762,0,381,0,0,0,11934,0,2434192,2434192,4096,4096,0,0,381,381,748936515,748936515,748936523,748936523,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,48,0,44,0,12,11,0,1,48,0|6,799471246,0,0,0,2883584,0,2883584,0,9037,0,0,11,0,0,0,0,0,0,0,3447298,0,0,0,0,0
1786008459916|1009|matrix_R0_frame30s_00000_4194304|fixed|22,1378943233,16781056,6200721,0,17719,0,17719,0,376,0,188,0,0,0,5893,0,1201144,1201144,4096,4096,0,0,188,188,2450712701,2450712701,2450712709,2450712709,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,24,0,20,0,6,5,0,1,24,0|32,3151457938,0,0,0,1310720,0,1310720,0,4453,0,0,5,0,0,0,0,0,0,0,3435553,0,0,0,0,0
1786008459916|1009|matrix_R0_frame30s_00000_4194304|rotating|22,1378943233,33558033,6270100,0,6252192,0,6252192,0,5966,0,5959,0,0,0,190,0,183881998,0,4096,0,0,0,5960,0,2436031165,0,2436031173,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,24,0,20,0,6,5,0,1,24,0|32,2483809576,0,1484608,0,0,0,0,0,1574376,0,5,0,324361206,0,324361206,0,2080,322272559,0,4116620,0,0,0,0,0
1786008464921|1009|matrix_R0_frame30s_00000_4194304|fixed|24,1378943233,16781056,12463750,0,35717,0,35717,0,758,0,379,0,0,0,11849,0,2421408,2421408,4096,4096,0,0,379,379,2771295656,2771295656,2771295664,2771295664,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,48,0,44,0,12,11,0,1,48,0|34,3472476893,0,0,0,2883584,0,2883584,0,8952,0,0,11,0,0,0,0,0,0,0,3449541,0,0,0,0,0
1786008464921|1009|matrix_R0_frame30s_00000_4194304|rotating|24,1378943233,33558033,12571913,0,12535914,0,12535914,0,11964,0,11951,0,0,0,382,0,368743376,0,4096,0,0,0,11952,0,2758545713,0,2758545665,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,48,0,44,0,12,11,0,1,48,0|34,2807667762,0,2970528,0,0,0,0,0,3151869,0,11,0,647847912,0,647847912,0,2080,645266283,0,4901159,0,0,0,0,0
1786008491285|1015|matrix_F1_frame30s_00000_4194304|fixed|38,1378943233,16780578,0,6217232,0,6199480,0,6199480,0,5922,0,5915,0,0,0,188,0,182509912,0,4096,0,0,0,5916,0,165063520,0,165063480,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,24,0,20,0,6,5,0,1,24,0|60,865984998,1,1476704,0,0,0,0,0,1564221,0,5,0,322584511,0,322584511,0,2080,320500054,0,4109303,0,0,0,0,0
1786008491285|1015|matrix_F1_frame30s_00000_4194304|rotating|38,1378943233,33558272,0,6313295,0,18036,0,18036,0,382,0,191,0,0,0,6006,1220296,1220296,4096,4096,0,0,191,191,149999965,149999965,149999973,149999973,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,24,0,20,0,6,5,0,1,24,0|60,200904031,1,0,0,1310720,0,1310720,0,4579,0,0,5,0,0,0,0,0,0,0,3438223,0,0,0,0,0
1786008496290|1015|matrix_F1_frame30s_00000_4194304|fixed|40,1378943233,16781056,0,12453025,0,12417252,0,12417252,0,11858,0,11846,0,0,0,379,0,365482808,0,4096,0,0,0,11846,0,484268553,0,484268561,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,48,0,44,0,12,11,0,1,48,0|62,1184657856,1,2938912,0,0,0,0,0,3116066,0,11,0,640891817,0,640891817,0,2080,638316027,0,4887102,0,0,0,0,0
1786008496290|1015|matrix_F1_frame30s_00000_4194304|rotating|40,1378943233,33558272,0,12523485,0,35961,0,35961,0,762,0,381,0,0,0,11913,2434184,2434184,4096,4096,0,0,381,381,468857232,468857232,468857240,468857240,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,4194304,262144,16,0,0,0,0,48,0,44,0,12,11,0,1,48,0|62,517335265,1,0,0,2883584,0,2883584,0,9014,0,0,11,0,0,0,0,0,0,0,3455248,0,0,0,0,0
