captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786191085403|0|SAFE_BOOT|fixed|1346371075|8193|8193
1786191085403|0|SAFE_BOOT|rotating|1346371075|8193|8193
1786191085602|1001|degrade_00_maskE_00000_1048576_active|fixed|1346371075|8193|8193
1786191085602|1001|degrade_00_maskE_00000_1048576_active|rotating|1346362883|8193|8193
1786191087454|1001|degrade_00_maskE_00000_1048576_terminal|fixed|1350565379|8193|8193
1786191087454|1001|degrade_00_maskE_00000_1048576_terminal|rotating|1350565379|8193|8193
1786191087855|1002|degrade_00_maskE_00001_1048576_active|fixed|1346371074|8193|8193
1786191087855|1002|degrade_00_maskE_00001_1048576_active|rotating|1346362883|8193|8193
1786191089651|1002|degrade_00_maskE_00001_1048576_terminal|fixed|1346371075|8193|8193
1786191089651|1002|degrade_00_maskE_00001_1048576_terminal|rotating|1350565379|8193|8193
1786191095604|1003|degrade_01_maskF_00000_1048576_active|fixed|1350557187|8193|8193
1786191095604|1003|degrade_01_maskF_00000_1048576_active|rotating|1350565379|8193|8193
1786191097084|1003|degrade_01_maskF_00000_1048576_terminal|fixed|1350565379|8193|8193
1786191097084|1003|degrade_01_maskF_00000_1048576_terminal|rotating|1350565379|8193|8193
1786191097428|1004|degrade_01_maskF_00001_1048576_active|fixed|1350557187|8193|8193
1786191097428|1004|degrade_01_maskF_00001_1048576_active|rotating|1346371075|8193|8193
1786191098831|1004|degrade_01_maskF_00001_1048576_terminal|fixed|1346371075|8193|8193
1786191098831|1004|degrade_01_maskF_00001_1048576_terminal|rotating|1350565379|8193|8193
1786191099172|1005|degrade_01_maskF_00002_1048576_active|fixed|1350557187|8193|8193
1786191099172|1005|degrade_01_maskF_00002_1048576_active|rotating|1346371075|8193|8193
1786191100610|1005|degrade_01_maskF_00002_1048576_terminal|fixed|1346371075|8193|8193
1786191100610|1005|degrade_01_maskF_00002_1048576_terminal|rotating|1350565379|8193|8193
1786191105573|1006|degrade_02_maskD_00000_1048576_active|fixed|1350565379|8193|8193
1786191105573|1006|degrade_02_maskD_00000_1048576_active|rotating|1350557187|8193|8193
1786191107374|1006|degrade_02_maskD_00000_1048576_terminal|fixed|1350565379|8193|8193
1786191107374|1006|degrade_02_maskD_00000_1048576_terminal|rotating|1350565379|8193|8193
1786191107726|1007|degrade_02_maskD_00001_1048576_active|fixed|1350565379|8193|8193
1786191107726|1007|degrade_02_maskD_00001_1048576_active|rotating|1350557187|8193|8193
1786191109485|1007|degrade_02_maskD_00001_1048576_terminal|fixed|1346371075|8193|8193
1786191109485|1007|degrade_02_maskD_00001_1048576_terminal|rotating|1346371075|8193|8193
1786191115592|1008|degrade_03_maskF_00000_1048576_active|fixed|1350557187|8193|8193
1786191115592|1008|degrade_03_maskF_00000_1048576_active|rotating|1350565379|8193|8193
1786191117053|1008|degrade_03_maskF_00000_1048576_terminal|fixed|1350565379|8193|8193
1786191117053|1008|degrade_03_maskF_00000_1048576_terminal|rotating|1350565379|8193|8193
1786191117375|1009|degrade_03_maskF_00001_1048576_active|fixed|1346362883|8193|8193
1786191117375|1009|degrade_03_maskF_00001_1048576_active|rotating|1350565379|8193|8193
1786191118741|1009|degrade_03_maskF_00001_1048576_terminal|fixed|1350565379|8193|8193
1786191118741|1009|degrade_03_maskF_00001_1048576_terminal|rotating|1350565379|8193|8193
1786191119099|1010|degrade_03_maskF_00002_1048576_active|fixed|1346362883|8193|8193
1786191119099|1010|degrade_03_maskF_00002_1048576_active|rotating|1350565379|8193|8193
1786191120461|1010|degrade_03_maskF_00002_1048576_terminal|fixed|1350565379|8193|8193
1786191120461|1010|degrade_03_maskF_00002_1048576_terminal|rotating|1350565379|8193|8193
1786191125591|1011|degrade_04_maskB_00000_1048576_active|fixed|1346371075|8193|8193
1786191125591|1011|degrade_04_maskB_00000_1048576_active|rotating|1346362883|8193|8193
1786191127298|1011|degrade_04_maskB_00000_1048576_terminal|fixed|1350565379|8193|8193
1786191127298|1011|degrade_04_maskB_00000_1048576_terminal|rotating|1350565379|8193|8193
1786191127600|1012|degrade_04_maskB_00001_1048576_active|fixed|1346371075|8193|8193
1786191127600|1012|degrade_04_maskB_00001_1048576_active|rotating|1350557187|8193|8193
1786191129265|1012|degrade_04_maskB_00001_1048576_terminal|fixed|1346371075|8193|8193
1786191129265|1012|degrade_04_maskB_00001_1048576_terminal|rotating|1346371075|8193|8193
1786191135625|1013|degrade_05_maskF_00000_1048576_active|fixed|1350557187|8193|8193
1786191135625|1013|degrade_05_maskF_00000_1048576_active|rotating|1350565379|8193|8193
1786191136987|1013|degrade_05_maskF_00000_1048576_terminal|fixed|1346371075|8193|8193
1786191136987|1013|degrade_05_maskF_00000_1048576_terminal|rotating|1350565379|8193|8193
1786191137281|1014|degrade_05_maskF_00001_1048576_active|fixed|1346362883|8193|8193
1786191137281|1014|degrade_05_maskF_00001_1048576_active|rotating|1346371075|8193|8193
1786191138616|1014|degrade_05_maskF_00001_1048576_terminal|fixed|1350565379|8193|8193
1786191138616|1014|degrade_05_maskF_00001_1048576_terminal|rotating|1350565379|8193|8193
1786191138917|1015|degrade_05_maskF_00002_1048576_active|fixed|1350557187|8193|8193
1786191138917|1015|degrade_05_maskF_00002_1048576_active|rotating|1350565379|8193|8193
1786191140236|1015|degrade_05_maskF_00002_1048576_terminal|fixed|1350565379|8193|8193
1786191140236|1015|degrade_05_maskF_00002_1048576_terminal|rotating|1346371075|8193|8193
1786191145603|1016|degrade_06_mask7_00000_1048576_active|fixed|1350565379|8193|8193
1786191145603|1016|degrade_06_mask7_00000_1048576_active|rotating|1350557187|8193|8193
1786191147327|1016|degrade_06_mask7_00000_1048576_terminal|fixed|1350565379|8193|8193
1786191147327|1016|degrade_06_mask7_00000_1048576_terminal|rotating|1350565379|8193|8193
1786191147668|1017|degrade_06_mask7_00001_1048576_active|fixed|1350565379|8193|8193
