captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786195018289|1001|dma_reset_rotating_1_clean64|fixed|2,1378943233,16781056,6139980,6056384,69643,0,69643,0,1478,0,739,0,0,0,5791,5791,4721392,4721392,4096,4096,0,0,739,739,365238454,365238454,365238462,365238462,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,991387516,0,0,0,5767168,0,5767168,0,17622,0,0,22,0,0,0,0,0,0,0,6895202,0,0,0,0,0
1786195018289|1001|dma_reset_rotating_1_clean64|rotating|2,1378943233,33554687,6233433,6148156,6162662,6148156,6162662,6148156,5903,5880,5879,5879,0,0,751,0,181488552,181129994,4096,4096,0,0,5880,5880,349135325,349135322,349135317,349135330,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,399270015,0,5862016,0,0,0,0,0,6216816,0,22,0,325903670,0,325903670,0,2080,319021224,0,9772451,0,0,0,0,0
1786195023324|1001|dma_reset_rotating_1_clean64|fixed|4,1378943233,16781056,12443970,12273837,141354,0,141354,0,3000,0,1500,0,0,0,11737,11737,9583400,9583400,4096,4096,0,0,1500,1500,687744712,687744712,687744720,687744720,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1314384406,0,0,0,11534336,0,11534336,0,35574,0,0,44,0,0,0,0,0,0,0,6936237,0,0,0,0,0
1786195023324|1001|dma_reset_rotating_1_clean64|rotating|4,1378943233,33554687,12571700,12400141,12428930,12400141,12428930,12400141,11903,11858,11857,11857,0,0,1515,0,366025194,365306909,4096,4096,0,0,11858,11858,673030011,673030048,673030027,673030056,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,723154849,0,11755648,0,0,0,0,0,12467657,0,44,0,648315096,0,648315096,0,2080,639749656,0,12620085,0,0,0,0,0
1786195028332|1001|dma_reset_rotating_1_clean64|fixed|6,1378943233,16781056,18721875,18464516,212597,0,212597,0,4512,0,2256,0,0,0,17656,17656,14413472,14413472,4096,4096,0,0,2256,2256,1008299578,1008299578,1008299586,1008299586,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1633969137,0,0,0,17301504,0,17301504,0,53338,0,0,66,0,0,0,0,0,0,0,6975263,0,0,0,0,0
1786195028332|1001|dma_reset_rotating_1_clean64|rotating|6,1378943233,33558272,18825849,18567263,18612120,18567263,18612120,18567263,17821,17754,17754,17754,0,0,2268,0,548030912,546952392,4096,4096,0,0,17754,17754,992515687,992516020,992515695,992516028,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1041729622,0,17546528,0,0,0,0,0,18617040,0,66,0,965442149,0,965442149,0,2080,955171881,0,15467492,0,0,0,0,0
1786195033333|1001|dma_reset_rotating_1_clean64|fixed|8,1378943233,16781056,24982791,24639426,283651,0,283651,0,6020,0,3010,0,0,0,23559,23559,19230736,19230736,4096,4096,0,0,3010,3010,1327995247,1327995247,1327995255,1327995255,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,1954115177,0,0,0,23068672,0,23068672,0,71124,0,0,88,0,0,0,0,0,0,0,7011646,0,0,0,0,0
1786195033333|1001|dma_reset_rotating_1_clean64|rotating|8,1378943233,33554687,25071928,24727499,24787242,24727499,24787242,24727499,23734,23645,23643,23643,0,0,3021,0,729817452,728379679,4096,4096,0,0,23644,23644,1311643342,1311643355,1311643350,1311643363,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,368,0,356,0,92,89,0,1,368,0|10,1361371218,0,23362432,0,0,0,0,0,24783549,0,89,0,1283629769,0,1283629769,0,2080,1271525753,0,18444613,0,0,0,0,0
1786195038353|1001|dma_reset_rotating_1_clean64|fixed|10,1378943233,16781056,31272131,30841306,355080,0,355080,0,7536,0,3768,0,0,0,29488,29488,24073496,24073496,4096,4096,0,0,3768,3768,1649409902,1649409902,1649409910,1649409910,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,2276119386,0,0,0,29097984,0,29097984,0,89005,0,0,111,0,0,0,0,0,0,0,7060535,0,0,0,0,0
1786195038353|1001|dma_reset_rotating_1_clean64|rotating|10,1378943233,33558272,31396260,30963486,31039672,30963486,31039672,30963486,29719,29607,29606,29606,0,0,3784,0,913880400,912067568,4096,4096,0,0,29606,29606,1634825108,1634825441,1634825116,1634825449,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1685577935,0,29256064,0,0,0,0,0,31042010,0,111,0,1606363078,0,1606363078,0,2080,1592576090,0,21292225,0,0,0,0,0
