captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786186110875|1002|sustained_300s_f2r_00001_16777216|fixed|4,1378943233,16777471,6540260,6454416,6470228,6454416,6470228,6454416,11658,11636,5818,5818,0,0,742,0,179611073,179267852,4096,4096,0,0,5818,5818,675333720,675334053,675333728,675334061,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,100,0,88,0,25,22,0,1,100,0|10,1308158544,0,5806688,0,0,0,0,0,6527706,0,22,0,321194082,0,321194082,0,2080,315707535,0,7891360,0,0,0,0,0
1786186110875|1002|sustained_300s_f2r_00001_16777216|rotating|4,1378943233,33558272,6639724,6552032,71166,0,71166,0,1508,0,754,0,0,0,5906,5906,4817264,4817264,4096,4096,0,0,754,754,658551854,658551854,658551862,658551862,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,100,0,88,0,25,22,0,1,100,0|10,713385916,0,0,0,5767168,0,5767168,0,18004,0,0,22,0,0,0,0,0,0,0,5031271,0,0,0,0,0
1786186115885|1002|sustained_300s_f2r_00001_16777216|fixed|6,1378943233,16781056,13235184,13060268,13093212,13060268,13093212,13060268,23597,23552,11776,11776,0,0,1504,0,363548672,362830240,4096,4096,0,0,11776,11776,998282036,998282369,998282044,998282377,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,188,0,176,0,47,44,0,1,188,0|12,1631560799,0,11684512,0,0,0,0,0,13145827,0,44,0,643126881,0,643126881,0,2080,635942319,0,10750621,0,0,0,0,0
1786186115885|1002|sustained_300s_f2r_00001_16777216|rotating|6,1378943233,33558272,13363746,13187370,143372,0,143372,0,3038,0,1519,0,0,0,11890,11890,9704792,9704792,4096,4096,0,0,1519,1519,982986598,982986598,982986606,982986606,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,16777216,262144,64,0,0,0,0,188,0,180,0,48,45,0,1,192,0|12,1038500038,0,0,0,11796480,0,11796480,0,36101,0,0,45,0,0,0,0,0,0,0,5072528,0,0,0,0,0
1786186126402|1003|sustained_300s_f2r_00002_67108864|fixed|10,1378943233,16777471,6548306,6462366,6478086,6462366,6478086,6462366,5851,5830,5829,5829,0,0,744,0,179858697,179515644,4096,4096,0,0,5829,5829,1670293000,1670293333,1670293008,1670293341,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|20,2303156633,0,5814592,0,0,0,0,0,6536214,0,22,0,321825096,0,321825096,0,2080,316337234,0,7894436,0,0,0,0,0
1786186126402|1003|sustained_300s_f2r_00002_67108864|rotating|10,1378943233,33558272,6669274,6581287,71545,0,71545,0,1516,0,758,0,0,0,5936,5936,4842848,4842848,4096,4096,0,0,758,758,1654639181,1654639181,1654639189,1654639189,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|20,1710017140,0,0,0,5767168,0,5767168,0,18122,0,0,22,0,0,0,0,0,0,0,5021009,0,0,0,0,0
1786186131405|1003|sustained_300s_f2r_00002_67108864|fixed|12,1378943233,16777471,13159525,12985422,13018235,12985422,13018235,12985422,11760,11715,11713,11713,0,0,1497,0,361431371,360713038,4096,4096,0,0,11714,11714,1989305454,1989305467,1989305462,1989305475,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|22,2622189639,0,11613376,0,0,0,0,0,13063090,0,44,0,639408406,0,639408406,0,2080,632203879,0,10755377,0,0,0,0,0
1786186131405|1003|sustained_300s_f2r_00002_67108864|rotating|12,1378943233,33558272,13262825,13087664,142333,0,142333,0,3016,0,1508,0,0,0,11805,11805,9634544,9634544,4096,4096,0,0,1508,1508,1972629076,1972629076,1972629084,1972629084,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|22,2027396202,0,0,0,11534336,0,11534336,0,35795,0,0,44,0,0,0,0,0,0,0,5068117,0,0,0,0,0
1786186136406|1003|sustained_300s_f2r_00002_67108864|fixed|14,1378943233,16777471,19798383,19536489,19585832,19536489,19585832,19536489,17692,17625,17623,17623,0,0,2252,0,543796786,542719413,4096,4096,0,0,17624,17624,2309560879,2309560892,2309560887,2309560900,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|24,2941746444,0,17427968,0,0,0,0,0,19599390,0,66,0,957511563,0,957511563,0,2080,948593100,0,13616983,0,0,0,0,0
1786186136406|1003|sustained_300s_f2r_00002_67108864|rotating|14,1378943233,33558272,19915484,19652356,213781,0,213781,0,4530,0,2265,0,0,0,17728,17728,14470952,14470952,4096,4096,0,0,2265,2265,2293628033,2293628033,2293628041,2293628041,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|24,2348970936,0,0,0,17301504,0,17301504,0,53679,0,0,66,0,0,0,0,0,0,0,5110449,0,0,0,0,0
