captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786186100937|0|SAFE_BOOT|fixed|1346371075|8193|8193
1786186100937|0|SAFE_BOOT|rotating|1346371075|8193|8193
1786186101138|1001|sustained_300s_f2r_00000_4194304_active|fixed|1350565379|8193|8193
1786186101138|1001|sustained_300s_f2r_00000_4194304_active|rotating|1350557187|8193|8193
1786186105435|1001|sustained_300s_f2r_00000_4194304_terminal|fixed|1350565379|8193|8193
1786186105435|1001|sustained_300s_f2r_00000_4194304_terminal|rotating|1350565379|8193|8193
1786186105876|1002|sustained_300s_f2r_00001_16777216_active|fixed|1346371075|8193|8193
1786186105876|1002|sustained_300s_f2r_00001_16777216_active|rotating|1346362883|8193|8193
1786186111028|1002|sustained_300s_f2r_00001_16777216|fixed|1346371074|8193|8193
1786186111028|1002|sustained_300s_f2r_00001_16777216|rotating|1346362883|8193|8193
1786186116072|1002|sustained_300s_f2r_00001_16777216|fixed|1346371074|8193|8193
1786186116072|1002|sustained_300s_f2r_00001_16777216|rotating|1350557187|8193|8193
1786186120915|1002|sustained_300s_f2r_00001_16777216_terminal|fixed|1346371075|8193|8193
1786186120915|1002|sustained_300s_f2r_00001_16777216_terminal|rotating|1350565379|8193|8193
1786186121394|1003|sustained_300s_f2r_00002_67108864_active|fixed|1346371075|8193|8193
1786186121394|1003|sustained_300s_f2r_00002_67108864_active|rotating|1346362883|8193|8193
1786186126608|1003|sustained_300s_f2r_00002_67108864|fixed|1346371074|8193|8193
1786186126608|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1786186131558|1003|sustained_300s_f2r_00002_67108864|fixed|1350565378|8193|8193
1786186131558|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1786186136583|1003|sustained_300s_f2r_00002_67108864|fixed|1346371074|8193|8193
1786186136583|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1786186141574|1003|sustained_300s_f2r_00002_67108864|fixed|1350565378|8193|8193
1786186141574|1003|sustained_300s_f2r_00002_67108864|rotating|1350557187|8193|8193
1786186146573|1003|sustained_300s_f2r_00002_67108864|fixed|1346371074|8193|8193
