captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786196698944|0|SAFE_BOOT|fixed|1350565379|8193|8193
1786196698944|0|SAFE_BOOT|rotating|1350565379|8193|8193
1786196699123|1001|pl_reset_fixed_2_clean64_active|fixed|1346371075|8193|8193
1786196699123|1001|pl_reset_fixed_2_clean64_active|rotating|1350557187|8193|8193
1786196704328|1001|pl_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1786196704328|1001|pl_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1786196709325|1001|pl_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1786196709325|1001|pl_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786196714453|1001|pl_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786196714453|1001|pl_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786196719337|1001|pl_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786196719337|1001|pl_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1786196724436|1001|pl_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786196724436|1001|pl_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786196729384|1001|pl_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786196729384|1001|pl_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1786196734409|1001|pl_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786196734409|1001|pl_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786196739478|1001|pl_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786196739478|1001|pl_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786196744447|1001|pl_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786196744447|1001|pl_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1786196749466|1001|pl_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1786196749466|1001|pl_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786196754461|1001|pl_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1786196754461|1001|pl_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786196757523|1001|pl_reset_fixed_2_clean64_terminal|fixed|1350565379|8193|8193
1786196757523|1001|pl_reset_fixed_2_clean64_terminal|rotating|1346371075|8193|8193
1786196758335|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1786196758335|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
