captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786192394262|0|SAFE_BOOT|fixed|1350565379|8193|8193
1786192394262|0|SAFE_BOOT|rotating|1350565379|8193|8193
1786192396808|1002|ps_reset_fixed_1_clean64_active|fixed|1346371075|8193|8193
1786192396808|1002|ps_reset_fixed_1_clean64_active|rotating|1346362883|8193|8193
1786192402063|1002|ps_reset_fixed_1_clean64|fixed|1350565378|8193|8193
1786192402063|1002|ps_reset_fixed_1_clean64|rotating|1350557187|8193|8193
1786192407021|1002|ps_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1786192407021|1002|ps_reset_fixed_1_clean64|rotating|1350557187|8193|8193
1786192412028|1002|ps_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1786192412028|1002|ps_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1786192417028|1002|ps_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1786192417028|1002|ps_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1786192422032|1002|ps_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1786192422032|1002|ps_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1786192427119|1002|ps_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1786192427119|1002|ps_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1786192432154|1002|ps_reset_fixed_1_clean64|fixed|1350565378|8193|8193
1786192432154|1002|ps_reset_fixed_1_clean64|rotating|1350557187|8193|8193
1786192437095|1002|ps_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1786192437095|1002|ps_reset_fixed_1_clean64|rotating|1350557187|8193|8193
1786192442082|1002|ps_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1786192442082|1002|ps_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1786192447057|1002|ps_reset_fixed_1_clean64|fixed|1350565378|8193|8193
1786192447057|1002|ps_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1786192452134|1002|ps_reset_fixed_1_clean64|fixed|1346371074|8193|8193
1786192452134|1002|ps_reset_fixed_1_clean64|rotating|1346362883|8193|8193
1786192455132|1002|ps_reset_fixed_1_clean64_terminal|fixed|1350565379|8193|8193
1786192455132|1002|ps_reset_fixed_1_clean64_terminal|rotating|1346371075|8193|8193
1786192458068|1004|ps_reset_fixed_2_clean64_active|fixed|1346371075|8193|8193
1786192458068|1004|ps_reset_fixed_2_clean64_active|rotating|1346362883|8193|8193
1786192463297|1004|ps_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786192463297|1004|ps_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786192468413|1004|ps_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786192468413|1004|ps_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786192473378|1004|ps_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786192473378|1004|ps_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786192478348|1004|ps_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786192478348|1004|ps_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786192483383|1004|ps_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1786192483383|1004|ps_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1786192488351|1004|ps_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786192488351|1004|ps_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786192493516|1004|ps_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1786192493516|1004|ps_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786192498560|1004|ps_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786192498560|1004|ps_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1786192503489|1004|ps_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1786192503489|1004|ps_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786192508485|1004|ps_reset_fixed_2_clean64|fixed|1350565378|8193|8193
1786192508485|1004|ps_reset_fixed_2_clean64|rotating|1350557187|8193|8193
1786192513525|1004|ps_reset_fixed_2_clean64|fixed|1346371074|8193|8193
1786192513525|1004|ps_reset_fixed_2_clean64|rotating|1346362883|8193|8193
1786192516528|1004|ps_reset_fixed_2_clean64_terminal|fixed|1350565379|8193|8193
1786192516528|1004|ps_reset_fixed_2_clean64_terminal|rotating|1346371075|8193|8193
1786192519414|1006|ps_reset_fixed_3_clean64_active|fixed|1346371075|8193|8193
