captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786192943338|1002|ps_reset_rotating_1_clean64|fixed|4,1378943233,16781056,6141229,6057179,69549,0,69549,0,1476,0,738,0,0,0,5784,5784,4715016,4715016,4096,4096,0,0,738,738,338989284,338989284,338989300,338989300,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,84,0,25,22,0,1,100,0|6,1164955247,0,0,0,5767168,0,5767168,0,17652,0,0,22,0,0,0,0,0,0,0,6887755,0,0,0,0,0
1786192943338|1002|ps_reset_rotating_1_clean64|rotating|4,1378943233,33558272,6268343,6182138,6197289,6182138,6197289,6182138,5927,5904,5904,5904,0,0,754,0,182244976,181884896,4096,4096,0,0,5904,5904,375471025,375471334,375471033,375471350,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|6,500931053,0,5877824,0,0,0,0,0,6242530,0,22,0,326738527,0,326738527,0,2080,319853470,0,9778409,0,0,0,0,0
1786192948340|1002|ps_reset_rotating_1_clean64|fixed|6,1378943233,16781056,12405250,12235037,140693,0,140693,0,2986,0,1493,0,0,0,11689,11689,9538672,9538672,4096,4096,0,0,1493,1493,659123192,659123192,659123200,659123200,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|8,1484201339,0,0,0,11534336,0,11534336,0,35385,0,0,44,0,0,0,0,0,0,0,6928050,0,0,0,0,0
1786192948340|1002|ps_reset_rotating_1_clean64|rotating|6,1378943233,33554687,12502877,12330829,12361051,12330829,12361051,12330829,11826,11782,11780,11780,0,0,1505,0,363650479,362931690,4096,4096,0,0,11781,11781,693938092,693938089,693938100,693938097,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|8,820222782,0,11684512,0,0,0,0,0,12406694,0,44,0,644578584,0,644578584,0,2080,635983554,0,12634355,0,0,0,0,0
1786192953345|1002|ps_reset_rotating_1_clean64|fixed|8,1378943233,16781056,18678721,18419837,211937,0,211937,0,4498,0,2249,0,0,0,17598,17598,14368728,14368728,4096,4096,0,0,2249,2249,979488511,979488511,979488519,979488519,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|10,1804071880,0,0,0,17301504,0,17301504,0,53172,0,0,66,0,0,0,0,0,0,0,6982797,0,0,0,0,0
1786192953345|1002|ps_reset_rotating_1_clean64|rotating|8,1378943233,33554687,18793311,18533055,18580148,18533055,18580148,18533055,17773,17707,17705,17705,0,0,2262,0,546541336,545462323,4096,4096,0,0,17706,17706,1014981370,1014981343,1014981378,1014981351,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|10,1140385471,0,17507008,0,0,0,0,0,18592014,0,66,0,963285649,0,963285649,0,2080,952984448,0,15489893,0,0,0,0,0
1786192958360|1002|ps_reset_rotating_1_clean64|fixed|10,1378943233,16781056,25002813,24656053,283651,0,283651,0,6020,0,3010,0,0,0,23554,23554,19230736,19230736,4096,4096,0,0,3010,3010,1302200786,1302200786,1302200794,1302200794,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|12,2126991740,0,0,0,23068672,0,23068672,0,71101,0,0,88,0,0,0,0,0,0,0,7028853,0,0,0,0,0
1786192958360|1002|ps_reset_rotating_1_clean64|rotating|10,1378943233,33554687,25126344,24778191,24841376,24778191,24841376,24778191,23760,23673,23670,23670,0,0,3024,0,730666494,729228185,4096,4096,0,0,23671,23671,1338174731,1338174752,1338174739,1338174760,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,368,0,356,0,92,89,0,1,368,0|12,1465126019,0,23415544,0,0,0,0,0,24863621,0,89,0,1286549063,0,1286549063,0,2080,1274425574,0,18475364,0,0,0,0,0
1786192963361|1002|ps_reset_rotating_1_clean64|fixed|12,1378943233,16781056,31258711,30825057,354612,0,354612,0,7526,0,3763,0,0,0,29446,29446,24041576,24041576,4096,4096,0,0,3763,3763,1621472050,1621472050,1621472058,1621472058,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|14,2445017293,0,0,0,28835840,0,28835840,0,88770,0,0,110,0,0,0,0,0,0,0,7074874,0,0,0,0,0
1786192963361|1002|ps_reset_rotating_1_clean64|rotating|12,1378943233,33554687,31350461,30915055,30994817,30915055,30994817,30915055,29645,29535,29532,29532,0,0,3774,0,911610239,909797504,4096,4096,0,0,29533,29533,1655954723,1655954752,1655954731,1655954704,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|14,1780203839,0,29145408,0,0,0,0,0,30950600,0,111,0,1600194417,0,1600194417,0,2080,1586346744,0,21329105,0,0,0,0,0
