captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786187091067|1001|stream64_f2r_01|fixed|2,1378943233,16777471,6150659,6065289,6080907,6065289,6080907,6065289,5815,5793,5793,5793,0,0,739,0,178818215,178474290,4096,4096,0,0,5793,5793,370022024,370022373,370022032,370022381,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,1010006030,0,5790880,0,0,0,0,0,6151369,0,22,0,322095167,0,322095167,0,2080,315212488,0,9756074,0,0,0,0,0
1786187091067|1001|stream64_f2r_01|rotating|2,1378943233,33558272,6287678,6199924,71355,0,71355,0,1512,0,756,0,0,0,5922,5922,4830056,4830056,4096,4096,0,0,756,756,355039108,355039108,355039116,355039116,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,408593821,0,0,0,5767168,0,5767168,0,18075,0,0,22,0,0,0,0,0,0,0,6892714,0,0,0,0,0
1786187096069|1001|stream64_f2r_01|fixed|4,1378943233,16780339,12421216,12247459,12280115,12247459,12280115,12247459,11747,11702,11702,11702,0,0,1495,0,361217752,360514779,4096,4096,0,0,11703,11703,690207959,690207964,690207967,690207972,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1329673276,0,11605472,0,0,0,0,0,12324640,0,44,0,640308765,0,640308765,0,2080,631738273,0,12591557,0,0,0,0,0
1786187096069|1001|stream64_f2r_01|rotating|4,1378943233,33558272,12555211,12379208,142616,0,142616,0,3022,0,1511,0,0,0,11828,11828,9653688,9653688,4096,4096,0,0,1511,1511,675152388,675152388,675152396,675152396,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,728906443,0,0,0,11534336,0,11534336,0,35913,0,0,44,0,0,0,0,0,0,0,6941240,0,0,0,0,0
1786187101078|1001|stream64_f2r_01|fixed|6,1378943233,16777471,18716161,18453996,18503515,18453996,18503515,18453996,17700,17634,17632,17632,0,0,2253,0,544281888,543203002,4096,4096,0,0,17633,17633,1011648412,1011648385,1011648396,1011648393,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1650923572,0,17451680,0,0,0,0,0,18530621,0,66,0,960097509,0,960097509,0,2080,949846600,0,15426432,0,0,0,0,0
1786187101078|1001|stream64_f2r_01|rotating|6,1378943233,33558272,18831330,18568022,213970,0,213970,0,4534,0,2267,0,0,0,17741,17741,14483720,14483720,4096,4096,0,0,2267,2267,995694852,995694852,995694860,995694860,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,280,0,268,0,70,67,0,1,280,0|8,1049603471,0,0,0,17563648,0,17563648,0,53750,0,0,67,0,0,0,0,0,0,0,6979558,0,0,0,0,0
1786187106083|1001|stream64_f2r_01|fixed|8,1378943233,16777471,24974920,24627054,24691108,24627054,24691108,24627054,23618,23530,23528,23528,0,0,3007,0,726288871,724850066,4096,4096,0,0,23529,23529,1331128486,1331128499,1331128494,1331128507,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,1970240277,0,23258368,0,0,0,0,0,24699878,0,88,0,1277962542,0,1277962542,0,2080,1266021234,0,18262804,0,0,0,0,0
1786187106083|1001|stream64_f2r_01|rotating|8,1378943233,33558272,25095459,24746157,285129,0,285129,0,6042,0,3021,0,0,0,23642,23642,19300968,19300968,4096,4096,0,0,3021,3021,1315379295,1315379295,1315379303,1315379303,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,368,0,356,0,92,89,0,1,368,0|10,1369505943,0,0,0,23330816,0,23330816,0,71565,0,0,89,0,0,0,0,0,0,0,7024909,0,0,0,0,0
1786187111094|1001|stream64_f2r_01|fixed|10,1378943233,16777471,31258474,30823765,30903308,30823765,30903308,30823765,29559,29449,29447,29447,0,0,3763,0,908982500,907185599,4096,4096,0,0,29448,29448,1651820150,1651820139,1651820158,1651820155,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2290686471,0,29088768,0,0,0,0,0,30892109,0,110,0,1596951136,0,1596951136,0,2080,1583321076,0,21102620,0,0,0,0,0
1786187111094|1001|stream64_f2r_01|rotating|10,1378943233,33558272,31383831,30947059,356578,0,356578,0,7556,0,3778,0,0,0,29565,29565,24137408,24137408,4096,4096,0,0,3778,3778,1636158079,1636158079,1636158087,1636158087,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1690319136,0,0,0,29097984,0,29097984,0,89428,0,0,111,0,0,0,0,0,0,0,7076051,0,0,0,0,0
