captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786207235219|0|SAFE_BOOT|fixed|1346371075|8193|8193
1786207235219|0|SAFE_BOOT|rotating|1346371075|8193|8193
1786207235795|1001|matrix_F0_raw64_terminal|fixed|1350565379|8193|8193
1786207235795|1001|matrix_F0_raw64_terminal|rotating|1346371075|8193|8193
1786207236186|1002|matrix_F0_raw1024_active|fixed|1350565379|8193|8193
1786207236186|1002|matrix_F0_raw1024_active|rotating|1350565379|8193|8193
1786207236699|1002|matrix_F0_raw1024_terminal|fixed|1350565379|8193|8193
1786207236699|1002|matrix_F0_raw1024_terminal|rotating|1350565379|8193|8193
1786207237200|1003|matrix_F0_frame30s_00000_4194304_active|fixed|1346371075|8193|8193
1786207237200|1003|matrix_F0_frame30s_00000_4194304_active|rotating|1346362883|8193|8193
1786207242378|1003|matrix_F0_frame30s_00000_4194304|fixed|1350565378|8193|8193
1786207242378|1003|matrix_F0_frame30s_00000_4194304|rotating|1346362883|8193|8193
1786207247394|1003|matrix_F0_frame30s_00000_4194304|fixed|1346371074|8193|8193
1786207247394|1003|matrix_F0_frame30s_00000_4194304|rotating|1346362883|8193|8193
1786207252131|1003|matrix_F0_frame30s_00000_4194304_terminal|fixed|1346371075|8193|8193
1786207252131|1003|matrix_F0_frame30s_00000_4194304_terminal|rotating|1350565379|8193|8193
1786207252620|1004|matrix_F0_frame30s_00001_1048576_active|fixed|1350565379|8193|8193
1786207252620|1004|matrix_F0_frame30s_00001_1048576_active|rotating|1346362883|8193|8193
1786207256882|1004|matrix_F0_frame30s_00001_1048576_terminal|fixed|1346371075|8193|8193
1786207256882|1004|matrix_F0_frame30s_00001_1048576_terminal|rotating|1350565379|8193|8193
1786207257334|1005|matrix_F0_frame30s_00002_1048576_active|fixed|1346371075|8193|8193
1786207257334|1005|matrix_F0_frame30s_00002_1048576_active|rotating|1346362883|8193|8193
1786207261568|1005|matrix_F0_frame30s_00002_1048576_terminal|fixed|1346371075|8193|8193
1786207261568|1005|matrix_F0_frame30s_00002_1048576_terminal|rotating|1346371075|8193|8193
1786207267080|1006|matrix_R0_raw64_active|fixed|1350565379|8193|8193
1786207267080|1006|matrix_R0_raw64_active|rotating|1346371075|8193|8193
1786207267622|1006|matrix_R0_raw64_terminal|fixed|1346371075|8193|8193
1786207267622|1006|matrix_R0_raw64_terminal|rotating|1346371075|8193|8193
1786207268002|1007|matrix_R0_raw1024_active|fixed|1350565379|8193|8193
1786207268002|1007|matrix_R0_raw1024_active|rotating|1346371075|8193|8193
1786207268491|1007|matrix_R0_raw1024_terminal|fixed|1350565379|8193|8193
1786207268491|1007|matrix_R0_raw1024_terminal|rotating|1346371075|8193|8193
1786207268984|1008|matrix_R0_frame30s_00000_4194304_active|fixed|1346362883|8193|8193
1786207268984|1008|matrix_R0_frame30s_00000_4194304_active|rotating|1346371075|8193|8193
1786207274162|1008|matrix_R0_frame30s_00000_4194304|fixed|1346362883|8193|8193
1786207274162|1008|matrix_R0_frame30s_00000_4194304|rotating|1350565378|8193|8193
1786207279213|1008|matrix_R0_frame30s_00000_4194304|fixed|1350557187|8193|8193
1786207279213|1008|matrix_R0_frame30s_00000_4194304|rotating|1350565378|8193|8193
1786207283982|1008|matrix_R0_frame30s_00000_4194304_terminal|fixed|1346371075|8193|8193
1786207283982|1008|matrix_R0_frame30s_00000_4194304_terminal|rotating|1350565379|8193|8193
1786207284470|1009|matrix_R0_frame30s_00001_1048576_active|fixed|1346362883|8193|8193
1786207284470|1009|matrix_R0_frame30s_00001_1048576_active|rotating|1346371075|8193|8193
1786207288670|1009|matrix_R0_frame30s_00001_1048576_terminal|fixed|1350565379|8193|8193
1786207288670|1009|matrix_R0_frame30s_00001_1048576_terminal|rotating|1346371075|8193|8193
1786207289178|1010|matrix_R0_frame30s_00002_1048576_active|fixed|1346362883|8193|8193
1786207289178|1010|matrix_R0_frame30s_00002_1048576_active|rotating|1346371075|8193|8193
1786207293451|1010|matrix_R0_frame30s_00002_1048576_terminal|fixed|1346371075|8193|8193
1786207293451|1010|matrix_R0_frame30s_00002_1048576_terminal|rotating|1350565379|8193|8193
1786207298922|1011|matrix_F1_raw64_active|fixed|1346371075|8193|8193
1786207298922|1011|matrix_F1_raw64_active|rotating|1346371075|8193|8193
1786207299433|1011|matrix_F1_raw64_terminal|fixed|1350565379|8193|8193
1786207299433|1011|matrix_F1_raw64_terminal|rotating|1346371075|8193|8193
