captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786206307307|1001|pl_reset_rotating_2_clean64|fixed|2,1378943233,16781056,6165049,6079109,69830,0,69830,0,1482,0,741,0,0,0,5808,5808,4734160,4734160,4096,4096,0,0,741,741,374321032,374321032,374321040,374321040,0,0,0,0,0,0,0,0,4096,256,131072,4,15|5,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,1102713465,0,0,0,5767168,0,5767168,0,17692,0,0,22,0,0,0,0,0,0,0,6896448,0,0,0,0,0
1786206307307|1001|pl_reset_rotating_2_clean64|rotating|2,1378943233,33554687,6266129,6178290,6195075,6178290,6195075,6178290,5927,5905,5903,5903,0,0,754,0,182226670,181869689,4096,4096,0,0,5904,5904,353804272,353804301,353804280,353804317,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,100,0,88,0,25,22,0,1,100,0|4,412408001,0,5893632,0,0,0,0,0,6257502,0,22,0,327652903,0,327652903,0,2080,320762448,0,9787199,0,0,0,0,0
1786206312314|1001|pl_reset_rotating_2_clean64|fixed|4,1378943233,16781056,12444251,12270829,141165,0,141165,0,2996,0,1498,0,0,0,11723,11723,9570616,9570616,4096,4096,0,0,1498,1498,695124577,695124577,695124585,695124585,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,1422998651,0,0,0,11534336,0,11534336,0,35480,0,0,44,0,0,0,0,0,0,0,6946317,0,0,0,0,0
1786206312314|1001|pl_reset_rotating_2_clean64|rotating|4,1378943233,33554687,12544288,12369727,12401991,12369727,12401991,12369727,11863,11819,11817,11817,0,0,1510,0,364786026,364069733,4096,4096,0,0,11818,11818,674275181,674275186,674275189,674275194,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,188,0,176,0,47,44,0,1,188,0|6,732437272,0,11716128,0,0,0,0,0,12439933,0,44,0,646226550,0,646226550,0,2080,637622148,0,12650513,0,0,0,0,0
1786206317320|1001|pl_reset_rotating_2_clean64|fixed|6,1378943233,16781056,18720944,18461227,212314,0,212314,0,4506,0,2253,0,0,0,17635,17635,14394312,14394312,4096,4096,0,0,2253,2253,1015264825,1015264825,1015264833,1015264833,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1743325700,0,0,0,17301504,0,17301504,0,53267,0,0,66,0,0,0,0,0,0,0,6989672,0,0,0,0,0
1786206317320|1001|pl_reset_rotating_2_clean64|rotating|6,1378943233,33554687,18822006,18561028,18608560,18561028,18608560,18561028,17798,17732,17730,17730,0,0,2265,0,547303631,546228170,4096,4096,0,0,17731,17731,994678036,994678049,994678044,994678057,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,276,0,264,0,69,66,0,1,276,0|8,1052840852,0,17546528,0,0,0,0,0,18630858,0,66,0,965172530,0,965172530,0,2069,954856734,0,15512971,0,0,0,0,0
1786206322322|1001|pl_reset_rotating_2_clean64|fixed|8,1378943233,16781056,24988872,24642225,283461,0,283461,0,6016,0,3008,0,0,0,23540,23540,19217944,19217944,4096,4096,0,0,3008,3008,1335405678,1335405678,1335405686,1335405686,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,364,0,352,0,91,88,0,1,364,0|10,2063521325,0,0,0,23068672,0,23068672,0,71077,0,0,88,0,0,0,0,0,0,0,7035944,0,0,0,0,0
1786206322322|1001|pl_reset_rotating_2_clean64|rotating|8,1378943233,33554687,25093865,24746186,24809273,24746186,24809273,24746186,23729,23641,23639,23639,0,0,3020,0,729706882,728271621,4096,4096,0,0,23640,23640,1314877495,1314877468,1314877503,1314877476,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,368,0,356,0,92,89,0,1,368,0|10,1374691733,0,23394048,0,0,0,0,0,24844805,0,89,0,1285561531,0,1285561531,0,2080,1273402709,0,18506158,0,0,0,0,0
1786206327329|1001|pl_reset_rotating_2_clean64|fixed|10,1378943233,16781056,31270524,30836430,354705,0,354705,0,7528,0,3764,0,0,0,29457,29457,24047952,24047952,4096,4096,0,0,3764,3764,1655976357,1655976357,1655976373,1655976373,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,452,0,440,0,113,110,0,1,452,0|12,2383853801,0,0,0,28835840,0,28835840,0,88864,0,0,110,0,0,0,0,0,0,0,7078939,0,0,0,0,0
1786206327329|1001|pl_reset_rotating_2_clean64|rotating|10,1378943233,33554687,31369039,30933171,31013112,30933171,31013112,30933171,29663,29552,29550,29550,0,0,3777,0,912155393,910343828,4096,4096,0,0,29551,29551,1635287456,1635287445,1635287472,1635287453,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,456,0,444,0,114,111,0,1,456,0|12,1694350954,0,29208640,0,0,0,0,0,31021059,0,111,0,1603767104,0,1603767104,0,2068,1589892647,0,21369463,0,0,0,0,0
