captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786206557425|0|SAFE_BOOT|fixed|1350565379|8193|8193
1786206557425|0|SAFE_BOOT|rotating|1350565379|8193|8193
1786206557602|1001|pl_reset_rotating_3_clean64_active|fixed|1346362883|8193|8193
1786206557602|1001|pl_reset_rotating_3_clean64_active|rotating|1346371075|8193|8193
1786206562815|1001|pl_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1786206562815|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1786206567832|1001|pl_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1786206567832|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1786206572812|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1786206572812|1001|pl_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1786206577820|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1786206577820|1001|pl_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1786206582801|1001|pl_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1786206582801|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1786206587803|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1786206587803|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1786206592837|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1786206592837|1001|pl_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1786206597852|1001|pl_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1786206597852|1001|pl_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1786206602863|1001|pl_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1786206602863|1001|pl_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1786206607889|1001|pl_reset_rotating_3_clean64|fixed|1346362883|8193|8193
1786206607889|1001|pl_reset_rotating_3_clean64|rotating|1350565378|8193|8193
1786206612892|1001|pl_reset_rotating_3_clean64|fixed|1350557187|8193|8193
1786206612892|1001|pl_reset_rotating_3_clean64|rotating|1346371074|8193|8193
1786206615986|1001|pl_reset_rotating_3_clean64_terminal|fixed|1346371075|8193|8193
1786206615986|1001|pl_reset_rotating_3_clean64_terminal|rotating|1350565379|8193|8193
1786206616877|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1786206616877|1002|P10_4-RESET_RECOVERY_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
