captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786000103441|0|SAFE_BOOT|fixed|1350565379|8193|8193
1786000103441|0|SAFE_BOOT|rotating|1350565379|8193|8193
1786000103482|1001|lane2_f2_to_r2_receive_only_5000ms_active|fixed|1350565379|8193|8193
1786000103482|1001|lane2_f2_to_r2_receive_only_5000ms_active|rotating|1346371075|8193|8193
1786000108663|1001|lane2_f2_to_r2_receive_only_5000ms|fixed|1350565379|8193|8193
1786000108663|1001|lane2_f2_to_r2_receive_only_5000ms|rotating|1346371075|8193|8193
1786000109046|1001|lane2_f2_to_r2_receive_only_5000ms_terminal|fixed|1346371075|8193|8193
1786000109046|1001|lane2_f2_to_r2_receive_only_5000ms_terminal|rotating|1350565379|8193|8193
1786000109317|1002|lane2_F2_to_R2_raw_64_active|fixed|1350565379|8193|8193
1786000109317|1002|lane2_F2_to_R2_raw_64_active|rotating|1350565379|8193|8193
1786000114503|1002|lane2_F2_to_R2_raw_64|fixed|1350565379|8193|8193
1786000114503|1002|lane2_F2_to_R2_raw_64|rotating|1346371075|8193|8193
1786000119542|1002|lane2_F2_to_R2_raw_64|fixed|1346371075|8193|8193
1786000119542|1002|lane2_F2_to_R2_raw_64|rotating|1350565379|8193|8193
1786000124576|1002|lane2_F2_to_R2_raw_64|fixed|1350565379|8193|8193
1786000124576|1002|lane2_F2_to_R2_raw_64|rotating|1346371075|8193|8193
1786000129555|1002|lane2_F2_to_R2_raw_64|fixed|1350565379|8193|8193
1786000129555|1002|lane2_F2_to_R2_raw_64|rotating|1346371075|8193|8193
1786000134527|1002|lane2_F2_to_R2_raw_64|fixed|1350565379|8193|8193
1786000134527|1002|lane2_F2_to_R2_raw_64|rotating|1346371075|8193|8193
1786000139853|1002|lane2_F2_to_R2_raw_64_terminal|fixed|1346371075|8193|8193
1786000139853|1002|lane2_F2_to_R2_raw_64_terminal|rotating|1346371075|8193|8193
