captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786304368933|1001|oneplusone_f0_r1|fixed|2,1378943233,16781056,509123,483131,509123,639,509123,18684,869,3,498,0,0,0,0,462,14916582,780824,4096,40615,0,40359,466,45,73712249,73656480,73712257,73656488,0,70622102,0,70622102,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,32,0,0,0,4,0,0,1,32,0|4,1084799080,0,116092,0,0,0,0,0,127280,0,0,0,322986197,0,322986197,0,2080,323014600,0,2255565,0,0,0,0,0
1786304368933|1001|oneplusone_f0_r1|rotating|2,1378943233,33558272,509123,483132,569,483132,10814,483132,16,873,30,495,0,0,468,0,659760,14261128,38482,4096,38226,0,67,465,54043211,54043211,54043219,54043219,50949457,0,50949713,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,32,0,0,0,4,0,0,1,32,0|4,398011127,0,109176,0,0,0,0,0,120783,0,0,0,326824094,0,326824094,0,2080,326850768,0,2255535,0,0,0,0,0
1786304373941|1001|oneplusone_f0_r1|fixed|4,1378943233,16781056,509123,483131,509123,639,509123,18684,869,3,498,0,0,0,0,462,14916582,780824,4096,40615,0,40359,466,45,73712249,73656480,73712257,73656488,0,70622102,0,70622102,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,32,0,0,0,4,0,0,1,32,0|6,1405323674,0,116092,0,0,0,0,0,127280,0,0,0,643510791,0,643510791,0,2080,643539194,0,2255565,0,0,0,0,0
1786304373941|1001|oneplusone_f0_r1|rotating|4,1378943233,33558272,509123,483132,569,483132,10814,483132,16,873,30,495,0,0,468,0,659760,14261128,38482,4096,38226,0,67,465,54043211,54043211,54043219,54043219,50949457,0,50949713,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,32,0,0,0,4,0,0,1,32,0|6,719029721,0,109176,0,0,0,0,0,120783,0,0,0,647842688,0,647842688,0,2080,647869362,0,2255535,0,0,0,0,0
1786304378943|1001|oneplusone_f0_r1|fixed|6,1378943233,16781056,509123,483131,509123,639,509123,18684,869,3,498,0,0,0,0,462,14916582,780824,4096,40615,0,40359,466,45,73712249,73656480,73712257,73656488,0,70622102,0,70622102,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,32,0,0,0,4,0,0,1,32,0|8,1726644796,0,116092,0,0,0,0,0,127280,0,0,0,964831913,0,964831913,0,2080,964860316,0,2255565,0,0,0,0,0
1786304378943|1001|oneplusone_f0_r1|rotating|6,1378943233,33558272,509123,483132,569,483132,10814,483132,16,873,30,495,0,0,468,0,659760,14261128,38482,4096,38226,0,67,465,54043211,54043211,54043219,54043219,50949457,0,50949713,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,32,0,0,0,4,0,0,1,32,0|8,1039971150,0,109176,0,0,0,0,0,120783,0,0,0,968784117,0,968784117,0,2080,968810791,0,2255535,0,0,0,0,0
1786304383948|1001|oneplusone_f0_r1|fixed|8,1378943233,16781056,509123,483131,509123,639,509123,18684,869,3,498,0,0,0,0,462,14916582,780824,4096,40615,0,40359,466,45,73712249,73656480,73712257,73656488,0,70622102,0,70622102,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,32,0,0,0,4,0,0,1,32,0|10,2045790164,0,116092,0,0,0,0,0,127280,0,0,0,1283977281,0,1283977281,0,2080,1284005684,0,2255565,0,0,0,0,0
1786304383948|1001|oneplusone_f0_r1|rotating|8,1378943233,33558272,509123,483132,569,483132,10814,483132,16,873,30,495,0,0,468,0,659760,14261128,38482,4096,38226,0,67,465,54043211,54043211,54043219,54043219,50949457,0,50949713,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,32,0,0,0,4,0,0,1,32,0|10,1358536086,0,109176,0,0,0,0,0,120783,0,0,0,1287349053,0,1287349053,0,2080,1287375727,0,2255535,0,0,0,0,0
1786304388948|1001|oneplusone_f0_r1|fixed|10,1378943233,16781056,509123,483131,509123,639,509123,18684,869,3,498,0,0,0,0,462,14916582,780824,4096,40615,0,40359,466,45,73712249,73656480,73712257,73656488,0,70622102,0,70622102,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,32,0,0,0,4,0,0,1,32,0|12,2364947915,0,116092,0,0,0,0,0,127280,0,0,0,1603135032,0,1603135032,0,2080,1603163435,0,2255565,0,0,0,0,0
1786304388948|1001|oneplusone_f0_r1|rotating|10,1378943233,33558272,509123,483132,569,483132,10814,483132,16,873,30,495,0,0,468,0,659760,14261128,38482,4096,38226,0,67,465,54043211,54043211,54043219,54043219,50949457,0,50949713,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,32,0,0,0,4,0,0,1,32,0|12,1677360625,0,109176,0,0,0,0,0,120783,0,0,0,1606173592,0,1606173592,0,2080,1606200266,0,2255535,0,0,0,0,0
