captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786344465865|0|SAFE_BOOT|fixed|1350565379|8193|8193
1786344465865|0|SAFE_BOOT|rotating|1350565379|8193|8193
1786344465991|1001|oneplusone_f0_r1_active|fixed|1346362882|8193|8193
1786344465991|1001|oneplusone_f0_r1_active|rotating|1350557186|8193|8193
1786344471101|1001|oneplusone_f0_r1|fixed|1350557186|8193|8193
1786344471101|1001|oneplusone_f0_r1|rotating|1346362882|8193|8193
1786344476256|1001|oneplusone_f0_r1_terminal|fixed|1346371075|8193|8193
1786344476256|1001|oneplusone_f0_r1_terminal|rotating|1350565379|8193|8193
1786344476576|1002|oneplusone_f0_r2_active|fixed|1346362882|8193|8193
1786344476576|1002|oneplusone_f0_r2_active|rotating|1350557186|8193|8193
1786344481688|1002|oneplusone_f0_r2|fixed|1350557186|8193|8193
1786344481688|1002|oneplusone_f0_r2|rotating|1350557186|8193|8193
1786344486826|1002|oneplusone_f0_r2_terminal|fixed|1346371075|8193|8193
1786344486826|1002|oneplusone_f0_r2_terminal|rotating|1346371075|8193|8193
1786344487111|1003|oneplusone_f0_r3_active|fixed|1350557186|8193|8193
1786344487111|1003|oneplusone_f0_r3_active|rotating|1346362882|8193|8193
1786344492252|1003|oneplusone_f0_r3|fixed|1346362882|8193|8193
1786344492252|1003|oneplusone_f0_r3|rotating|1350557186|8193|8193
1786344497409|1003|oneplusone_f0_r3_terminal|fixed|1350565379|8193|8193
1786344497409|1003|oneplusone_f0_r3_terminal|rotating|1346371075|8193|8193
1786344497710|1004|oneplusone_f1_r0_active|fixed|1350557186|8193|8193
1786344497710|1004|oneplusone_f1_r0_active|rotating|1346362882|8193|8193
1786344502819|1004|oneplusone_f1_r0|fixed|1350557186|8193|8193
1786344502819|1004|oneplusone_f1_r0|rotating|1346362882|8193|8193
1786344507992|1004|oneplusone_f1_r0_terminal|fixed|1350565379|8193|8193
1786344507992|1004|oneplusone_f1_r0_terminal|rotating|1346371075|8193|8193
1786344508263|1005|oneplusone_f1_r2_active|fixed|1346362882|8193|8193
1786344508263|1005|oneplusone_f1_r2_active|rotating|1346362882|8193|8193
1786344513382|1005|oneplusone_f1_r2|fixed|1346362882|8193|8193
1786344513382|1005|oneplusone_f1_r2|rotating|1346362882|8193|8193
1786344518578|1005|oneplusone_f1_r2_terminal|fixed|1350565379|8193|8193
1786344518578|1005|oneplusone_f1_r2_terminal|rotating|1350565379|8193|8193
1786344518901|1006|oneplusone_f1_r3_active|fixed|1350557186|8193|8193
1786344518901|1006|oneplusone_f1_r3_active|rotating|1350557186|8193|8193
1786344524015|1006|oneplusone_f1_r3|fixed|1350557186|8193|8193
1786344524015|1006|oneplusone_f1_r3|rotating|1346362882|8193|8193
1786344529193|1006|oneplusone_f1_r3_terminal|fixed|1346371075|8193|8193
1786344529193|1006|oneplusone_f1_r3_terminal|rotating|1350565379|8193|8193
1786344529503|1007|oneplusone_f2_r0_active|fixed|1350557186|8193|8193
1786344529503|1007|oneplusone_f2_r0_active|rotating|1350557186|8193|8193
1786344534624|1007|oneplusone_f2_r0|fixed|1350557186|8193|8193
1786344534624|1007|oneplusone_f2_r0|rotating|1346362882|8193|8193
1786344539770|1007|oneplusone_f2_r0_terminal|fixed|1346371075|8193|8193
1786344539770|1007|oneplusone_f2_r0_terminal|rotating|1346371075|8193|8193
1786344540060|1008|oneplusone_f2_r1_active|fixed|1346362882|8193|8193
1786344540060|1008|oneplusone_f2_r1_active|rotating|1350557186|8193|8193
1786344545176|1008|oneplusone_f2_r1|fixed|1346362882|8193|8193
1786344545176|1008|oneplusone_f2_r1|rotating|1350557186|8193|8193
1786344550371|1008|oneplusone_f2_r1_terminal|fixed|1346371075|8193|8193
1786344550371|1008|oneplusone_f2_r1_terminal|rotating|1346371075|8193|8193
1786344550651|1009|oneplusone_f2_r3_active|fixed|1350557186|8193|8193
1786344550651|1009|oneplusone_f2_r3_active|rotating|1350557186|8193|8193
1786344555757|1009|oneplusone_f2_r3|fixed|1350557186|8193|8193
1786344555757|1009|oneplusone_f2_r3|rotating|1350557186|8193|8193
1786344560934|1009|oneplusone_f2_r3_terminal|fixed|1350565379|8193|8193
1786344560934|1009|oneplusone_f2_r3_terminal|rotating|1346371075|8193|8193
1786344561233|1010|oneplusone_f3_r0_active|fixed|1346362882|8193|8193
1786344561233|1010|oneplusone_f3_r0_active|rotating|1346362882|8193|8193
1786344566352|1010|oneplusone_f3_r0|fixed|1350557186|8193|8193
1786344566352|1010|oneplusone_f3_r0|rotating|1350557186|8193|8193
1786344571554|1010|oneplusone_f3_r0_terminal|fixed|1350565379|8193|8193
1786344571554|1010|oneplusone_f3_r0_terminal|rotating|1346371075|8193|8193
1786344571826|1011|oneplusone_f3_r1_active|fixed|1346362882|8193|8193
1786344571826|1011|oneplusone_f3_r1_active|rotating|1346362882|8193|8193
1786344576936|1011|oneplusone_f3_r1|fixed|1346362882|8193|8193
1786344576936|1011|oneplusone_f3_r1|rotating|1350557186|8193|8193
1786344582155|1011|oneplusone_f3_r1_terminal|fixed|1350565379|8193|8193
