captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786348570609|0|SAFE_BOOT|fixed|1346371075|8193|8193
1786348570609|0|SAFE_BOOT|rotating|1350565379|8193|8193
1786348570718|1001|fault_data_f2r_active|fixed|1350557186|8193|8193
1786348570718|1001|fault_data_f2r_active|rotating|1346362882|8193|8193
1786348571627|1001|fault_data_f2r_terminal|fixed|1350565379|8193|8193
1786348571627|1001|fault_data_f2r_terminal|rotating|1346371075|8193|8193
1786348571996|1002|fault_clean_1_active|fixed|1346362882|8193|8193
1786348571996|1002|fault_clean_1_active|rotating|1350557186|8193|8193
1786348574252|1002|fault_clean_1_terminal|fixed|1350565379|8193|8193
1786348574252|1002|fault_clean_1_terminal|rotating|1350565379|8193|8193
1786348574540|1003|fault_data_r2f_active|fixed|1346362882|8193|8193
1786348574540|1003|fault_data_r2f_active|rotating|1346362882|8193|8193
1786348575503|1003|fault_data_r2f_terminal|fixed|1350565379|8193|8193
1786348575503|1003|fault_data_r2f_terminal|rotating|1346371075|8193|8193
1786348575851|1004|fault_clean_2_active|fixed|1350557186|8193|8193
1786348575851|1004|fault_clean_2_active|rotating|1350557186|8193|8193
1786348578129|1004|fault_clean_2_terminal|fixed|1350565379|8193|8193
1786348578129|1004|fault_clean_2_terminal|rotating|1346371075|8193|8193
1786348578450|1005|fault_ack_f2r_active|fixed|1346362882|8193|8193
1786348578450|1005|fault_ack_f2r_active|rotating|1350557186|8193|8193
1786348579313|1005|fault_ack_f2r_terminal|fixed|1346371075|8193|8193
1786348579313|1005|fault_ack_f2r_terminal|rotating|1350565379|8193|8193
1786348579677|1006|fault_clean_3_active|fixed|1350557186|8193|8193
1786348579677|1006|fault_clean_3_active|rotating|1346362882|8193|8193
1786348581910|1006|fault_clean_3_terminal|fixed|1350565379|8193|8193
1786348581910|1006|fault_clean_3_terminal|rotating|1346371075|8193|8193
1786348582227|1007|fault_ack_r2f_active|fixed|1350557186|8193|8193
1786348582227|1007|fault_ack_r2f_active|rotating|1346362882|8193|8193
1786348583091|1007|fault_ack_r2f_terminal|fixed|1350565379|8193|8193
1786348583091|1007|fault_ack_r2f_terminal|rotating|1350565379|8193|8193
1786348583442|1008|fault_clean_4_active|fixed|1350557186|8193|8193
1786348583442|1008|fault_clean_4_active|rotating|1350557186|8193|8193
1786348585661|1008|fault_clean_4_terminal|fixed|1346371075|8193|8193
1786348585661|1008|fault_clean_4_terminal|rotating|1350565379|8193|8193
1786348585956|1009|fault_abort_f2r_active|fixed|1346362882|8193|8193
1786348585956|1009|fault_abort_f2r_active|rotating|1346362882|8193|8193
1786348586749|1009|fault_abort_f2r_terminal|fixed|1350565379|8193|8193
1786348586749|1009|fault_abort_f2r_terminal|rotating|1346371075|8193|8193
1786348587112|1010|fault_clean_5_active|fixed|1350557186|8193|8193
1786348587112|1010|fault_clean_5_active|rotating|1350557186|8193|8193
1786348589343|1010|fault_clean_5_terminal|fixed|1346371075|8193|8193
1786348589343|1010|fault_clean_5_terminal|rotating|1346371075|8193|8193
1786348589613|1011|fault_abort_r2f_active|fixed|1346362882|8193|8193
1786348589613|1011|fault_abort_r2f_active|rotating|1350557186|8193|8193
1786348594719|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348594719|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348599726|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348599726|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348604726|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348604726|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348609724|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348609724|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348614732|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348614732|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348619763|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348619763|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348624747|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348624747|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348629751|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348629751|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348634774|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348634774|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348639774|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348639774|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348644789|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348644789|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348649818|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348649818|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348654820|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348654820|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348659854|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348659854|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348664838|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348664838|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348669848|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348669848|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348674852|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348674852|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348679908|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348679908|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348684891|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348684891|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348689891|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348689891|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348694921|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348694921|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348699919|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348699919|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348704929|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348704929|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348709929|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348709929|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348714975|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348714975|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348719968|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348719968|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348724936|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348724936|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348729946|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348729946|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348734952|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348734952|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348739956|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348739956|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348744960|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348744960|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348749974|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348749974|1011|fault_abort_r2f|rotating|1350557186|8193|8193
1786348754990|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348754990|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348759996|1011|fault_abort_r2f|fixed|1350565379|8193|8193
1786348759996|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348765004|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348765004|1011|fault_abort_r2f|rotating|1346362882|8193|8193
1786348770047|1011|fault_abort_r2f|fixed|1346371075|8193|8193
1786348770047|1011|fault_abort_r2f|rotating|1350557186|8193|8193
