captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786345467166|1001|oneplusone_f0_r1|fixed|2,1378943233,16780817,6141406,6136433,6141406,0,6141406,0,11086,0,5540,0,0,0,0,5540,179291818,32888,4096,4096,0,0,5541,5,358875115,344844902,358875123,344844910,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|4,1079903947,0,1384576,0,1310720,0,1310720,0,1547577,0,5,5,302086625,0,302086625,0,2080,315222066,0,8277464,0,0,0,0,0
1786345467166|1001|oneplusone_f0_r1|rotating|2,1378943233,33558272,6219223,6214166,28,6214166,460,6214166,2,11226,1,5610,0,0,5609,0,49247,181550608,13815,4096,13559,0,6,5610,324607387,342515927,324607395,342515935,77442970,0,77456522,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|4,393102843,0,1399148,0,1310720,0,1310720,0,1562983,0,5,5,305419508,0,305419508,0,2080,314477547,0,8271140,0,0,0,0,0
1786345477749|1002|oneplusone_f0_r2|fixed|6,1378943233,16780817,6236019,0,6236019,0,6236019,0,11252,0,5622,0,0,0,0,0,181972412,32896,4096,4096,0,0,5623,5,362688268,344018334,362688284,344018342,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|12,1757468832,0,1405324,0,1310720,0,1310720,0,1571503,0,5,5,306791511,0,306791511,0,2080,315894103,0,8274061,0,0,0,0,0
1786345477749|1002|oneplusone_f0_r2|rotating|6,1378943233,33557316,6305297,0,0,0,0,0,0,0,0,0,0,0,5684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|12,1070200949,0,1417920,0,1310720,0,1310720,0,1584512,0,5,5,309629380,0,309629380,0,2080,318707460,0,8275755,0,0,0,0,0
1786345488315|1003|oneplusone_f0_r3|fixed|10,1378943233,16780817,6227296,0,6227296,0,6227296,0,11233,0,5613,0,0,0,0,0,181676347,32896,4096,4096,0,0,5614,5,361766188,343606532,361766196,343606540,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|20,2433503003,0,1402112,0,1310720,0,1310720,0,1568364,0,5,5,306083085,0,306083085,0,2080,315184872,0,8272593,0,0,0,0,0
1786345488315|1003|oneplusone_f0_r3|rotating|10,1378943233,33558272,6309117,0,0,0,0,0,0,0,0,0,0,0,5687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|20,1747681366,0,1421376,0,1310720,0,1310720,0,1588529,0,5,5,310370573,0,310370573,0,2080,319444557,0,8275831,0,0,0,0,0
1786345498913|1004|oneplusone_f1_r0|fixed|14,1378943233,16780578,6228990,6234017,0,6234017,0,6234017,0,11256,0,5624,0,0,5624,0,32920,182045142,4096,4096,0,0,5,5625,344614160,363405996,344614168,363406004,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|28,3113142899,0,1407052,0,1310720,0,1310720,0,1572431,0,5,5,307207878,0,307207878,0,2080,316310897,0,8272270,0,0,0,0,0
1786345498913|1004|oneplusone_f1_r0|rotating|14,1378943233,33558033,6308703,6313777,6308703,0,6308703,0,11400,0,5696,0,0,0,0,5696,184377895,32872,4096,4096,0,0,5697,5,367483074,344681108,367483082,344681124,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|28,2426760017,0,1423848,0,1310720,0,1310720,0,1589750,0,5,5,310921791,0,310921791,0,2080,320002852,0,8276507,0,0,0,0,0
1786345509564|1005|oneplusone_f1_r2|fixed|18,1378943233,16780578,0,6233975,0,6233975,0,6233975,0,11246,0,5619,0,0,0,0,32888,181875857,4096,4096,0,0,5,5620,347177404,365679618,347177412,365679626,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|36,3793578834,0,1404580,0,1310720,0,1310720,0,1570999,0,5,5,306618115,0,306618115,0,2080,315758489,0,8275574,0,0,0,0,0
1786345509564|1005|oneplusone_f1_r2|rotating|18,1378943233,33557316,0,6305793,0,0,0,0,0,0,0,0,0,0,0,5684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|36,3106705369,0,1418908,0,1310720,0,1310720,0,1586093,0,5,5,309866480,0,309866480,0,2080,318934497,0,8276453,0,0,0,0,0
1786345520141|1006|oneplusone_f1_r3|fixed|22,1378943233,16780578,0,6228903,0,6228903,0,6228903,0,11250,0,5621,0,0,0,0,32856,181942794,4096,4096,0,0,5,5622,344242443,362860368,344242451,362860376,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|44,175764488,1,1405076,0,1310720,0,1310720,0,1569797,0,5,5,306749063,0,306749063,0,2080,315851590,0,8276031,0,0,0,0,0
1786345520141|1006|oneplusone_f1_r3|rotating|22,1378943233,33556360,0,6293649,0,0,0,0,0,0,0,0,0,0,0,5679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|44,3784337415,0,1421624,0,1310720,0,1310720,0,1587144,0,5,5,310466233,0,310466233,0,2080,319539890,0,8275917,0,0,0,0,0
