captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786346923765|1001|primary_300s|fixed|2,1378943233,16780339,6058379,6049771,6058379,6049771,6058379,6049771,10955,10926,5471,5462,0,0,0,0,177054640,176892270,4096,4096,0,0,5472,5472,361299752,361299709,361299712,361299717,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,1078374822,0,2725676,0,2621440,0,2621440,0,3051443,0,10,10,297931259,0,297931259,0,2080,307752596,0,14291382,0,0,0,0,0
1786346923765|1001|primary_300s|rotating|2,1378943233,33555404,6133662,6125077,0,0,0,0,0,0,0,0,0,0,5538,5529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,394254622,0,2752844,0,2621440,0,2621440,0,3081651,0,10,10,301006264,0,301006264,0,2080,310521145,0,14288929,0,0,0,0,0
1786346928766|1001|primary_300s|fixed|4,1378943233,16780339,12117010,12099621,12117010,12099621,12117010,12099621,21897,21838,10937,10918,0,0,0,0,353923978,353598693,4096,4096,0,0,10938,10938,681519818,681519815,681519834,681519823,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,176,0,160,0,23,20,0,1,176,0|6,1398662586,0,5419732,0,5242880,0,5242880,0,6079263,0,20,20,593155471,0,593155471,0,2080,612794773,0,26327104,0,0,0,0,0
1786346928766|1001|primary_300s|rotating|4,1378943233,33555404,12185829,12168573,0,0,0,0,0,0,0,0,0,0,10999,10980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,176,0,160,0,23,20,0,1,176,0|6,714325691,0,5445420,0,5242880,0,5242880,0,6106479,0,20,20,596021198,0,596021198,0,2080,615025942,0,26321972,0,0,0,0,0
1786346933774|1001|primary_300s|fixed|6,1378943233,16780339,18177092,18151982,18177092,18151982,18177092,18151982,32849,32760,16408,16379,0,0,0,0,530964134,530476001,4096,4096,0,0,16409,16409,1002030284,1002030289,1002030292,1002030297,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,256,0,240,0,33,30,0,1,256,0|8,1719161156,0,8115768,0,7864320,0,7864320,0,9107167,0,30,30,888590779,0,888590779,0,2080,918047865,0,38362699,0,0,0,0,0
1786346933774|1001|primary_300s|rotating|6,1378943233,33558272,18245840,18220766,0,0,0,0,0,0,0,0,0,0,16471,16442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,260,0,248,0,34,31,0,1,260,0|8,1034847711,0,8126464,0,8126464,0,8126464,0,9125184,0,31,31,889783678,0,889783678,0,2080,919157181,0,39147066,0,0,0,0,0
1786346938777|1001|primary_300s|fixed|8,1378943233,16781056,24199326,24165534,24199326,24165534,24199326,24165534,43738,43616,21848,21808,0,0,0,0,706928240,706261448,4096,4096,0,0,21848,21848,1322263030,1322263371,1322263038,1322263379,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,344,0,328,0,44,41,0,1,344,0|10,2039665822,0,10797800,0,10747904,0,10747904,0,12118773,0,41,41,1181594659,0,1181594659,0,2080,1221782223,0,51602128,0,0,0,0,0
1786346938777|1001|primary_300s|rotating|8,1378943233,33555404,24308969,24275039,0,0,0,0,0,0,0,0,0,0,21946,21906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,344,0,328,0,44,41,0,1,344,0|10,1357674254,0,10844236,0,10747904,0,10747904,0,12167812,0,41,41,1186817276,0,1186817276,0,2080,1225686441,0,51590005,0,0,0,0,0
1786346943780|1001|primary_300s|fixed|10,1378943233,16780339,30251770,30209137,30251770,30209137,30251770,30209137,54674,54522,27310,27260,0,0,0,0,883684322,882856189,4096,4096,0,0,27311,27311,1642301119,1642301108,1642301127,1642301116,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,424,0,408,0,54,51,0,1,424,0|12,2359667812,0,13489880,0,13369344,0,13369344,0,15142487,0,51,51,1476536241,0,1476536241,0,2080,1526538674,0,63637803,0,0,0,0,0
1786346943780|1001|primary_300s|rotating|10,1378943233,33555404,30328831,30286180,0,0,0,0,0,0,0,0,0,0,27380,27330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,424,0,408,0,54,51,0,1,424,0|12,1675634610,0,13517544,0,13369344,0,13369344,0,15170658,0,51,51,1479726467,0,1479726467,0,2080,1528083284,0,63622958,0,0,0,0,0
1786346948788|1001|primary_300s|fixed|12,1378943233,16780339,36316474,36264552,36316474,36264552,36316474,36264552,65628,65446,32782,32722,0,0,0,0,1060718476,1059728136,4096,4096,0,0,32783,32783,1962818295,1962818308,1962818303,1962818284,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,504,0,488,0,64,61,0,1,504,0|14,2679259885,0,16177516,0,15990784,0,15990784,0,18163506,0,61,61,1771065134,0,1771065134,0,2080,1830884752,0,75673940,0,0,0,0,0
1786346948788|1001|primary_300s|rotating|12,1378943233,33555404,36369008,36317087,0,0,0,0,0,0,0,0,0,0,32829,32769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,504,0,488,0,64,61,0,1,504,0|14,1994833337,0,16202216,0,15990784,0,15990784,0,18186915,0,61,61,1773871389,0,1773871389,0,2080,1831715269,0,75655683,0,0,0,0,0
1786346953794|1001|primary_300s|fixed|14,1378943233,16780339,42375422,42315042,42375422,42315042,42375422,42315042,76576,76364,38251,38181,0,0,0,0,1237686400,1236532803,4096,4096,0,0,38252,38252,2283206604,2283206593,2283206588,2283206601,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,584,0,568,0,74,71,0,1,584,0|16,3000324665,0,18874368,0,18612224,0,18612224,0,21197276,0,72,71,2066545794,0,2066545794,0,2048,2136703835,0,87709778,0,0,0,0,0
1786346953794|1001|primary_300s|rotating|14,1378943233,33558272,42431512,42370316,0,0,0,0,0,0,0,0,0,0,38303,38232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|5,0,300000000,262144,1145,0,0,0,0,592,0,576,0,75,72,0,1,592,0|16,2316401988,0,18893636,0,18874368,0,18874368,0,21209241,0,72,72,2067946942,0,2067946942,0,2080,2136161530,0,88891047,0,0,0,0,0
1786346958798|1001|primary_300s|fixed|16,1378943233,16780339,48401984,48331562,48401984,48331562,48401984,48331562,87467,87222,43691,43610,0,0,0,0,1413674120,1412340304,4096,4096,0,0,43692,43692,2603485448,2603485437,2603485416,2603485413,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,672,0,656,0,85,82,0,1,672,0|18,3320586607,0,21558548,0,21495808,0,21495808,0,24208095,0,82,82,2359826523,0,2359826523,0,2080,2440195839,0,100948806,0,0,0,0,0
1786346958798|1001|primary_300s|rotating|16,1378943233,33555404,48473812,48403403,0,0,0,0,0,0,0,0,0,0,43756,43675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,672,0,656,0,85,82,0,1,672,0|18,2636721458,0,21588188,0,21495808,0,21495808,0,24235576,0,82,82,2363210294,0,2363210294,0,2078,2440914693,0,100923624,0,0,0,0,0
