captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786347424180|1001|simultaneous_64m_1|fixed|2,1378943233,16781056,6324129,6316247,6324129,6316247,6324129,6316247,11405,11374,5697,5687,0,0,0,0,184347520,184184576,4096,4096,0,0,5697,5697,363541081,363541438,363541089,363541446,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,1079704386,0,2834848,0,2621440,0,2621440,0,3182477,0,10,10,310241700,0,310241700,0,2080,320094687,0,7091829,0,0,0,0,0
1786347424180|1001|simultaneous_64m_1|rotating|2,1378943233,33558272,6394072,6386188,0,0,0,0,0,0,0,0,0,0,5760,5750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,397200377,0,2863500,0,2621440,0,2621440,0,3214064,0,10,10,313488706,0,313488706,0,2080,323020860,0,7082221,0,0,0,0,0
1786347429181|1001|simultaneous_64m_1|fixed|4,1378943233,16780339,12610463,12593788,12610463,12593788,12610463,12593788,22756,22692,11366,11345,0,0,0,0,367783715,367440718,4096,4096,0,0,11367,11367,683443870,683443859,683443878,683443867,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,184,0,168,0,24,21,0,1,184,0|6,1399842178,0,5630500,0,5505024,0,5505024,0,6325901,0,21,21,616060609,0,616060609,0,2080,636670326,0,7123288,0,0,0,0,0
1786347429181|1001|simultaneous_64m_1|rotating|4,1378943233,33555404,12686400,12669652,0,0,0,0,0,0,0,0,0,0,11435,11414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,184,0,168,0,24,21,0,1,184,0|6,717227545,0,5658164,0,5505024,0,5505024,0,6355806,0,21,21,619203817,0,619203817,0,2080,639134106,0,7110785,0,0,0,0,0
1786347434187|1001|simultaneous_64m_1|fixed|6,1378943233,16780339,18915894,18889808,18915894,18889808,18915894,18889808,34135,34038,17050,17018,0,0,0,0,551677179,551153918,4096,4096,0,0,17051,17051,1004127128,1004127085,1004127136,1004127101,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,272,0,256,0,35,32,0,1,272,0|8,1720393517,0,8430104,0,8388608,0,8388608,0,9475062,0,32,32,922294705,0,922294705,0,2080,953658563,0,7155621,0,0,0,0,0
1786347434187|1001|simultaneous_64m_1|rotating|6,1378943233,33555404,18982464,18956402,0,0,0,0,0,0,0,0,0,0,17110,17078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,272,0,256,0,35,32,0,1,272,0|8,1037530974,0,8455300,0,8388608,0,8388608,0,9501746,0,32,32,925190708,0,925190708,0,2080,955523330,0,7143220,0,0,0,0,0
1786347439201|1001|simultaneous_64m_1|fixed|8,1378943233,16781056,25228180,25193256,25228180,25193256,25228180,25193256,45521,45394,22739,22697,0,0,0,0,735749616,735063448,4096,4096,0,0,22739,22739,1324728353,1324728670,1324728361,1324728678,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,352,0,336,0,45,42,0,1,352,0|10,2041099915,0,11234324,0,11010048,0,11010048,0,12629739,0,42,42,1229924534,0,1229924534,0,2080,1271130007,0,7180843,0,0,0,0,0
1786347439201|1001|simultaneous_64m_1|rotating|8,1378943233,33555404,25303408,25268445,0,0,0,0,0,0,0,0,0,0,22806,22764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,352,0,336,0,45,42,0,1,352,0|10,1358621352,0,11262976,0,11010048,0,11010048,0,12659673,0,42,42,1233204213,0,1233204213,0,2080,1273059365,0,7168301,0,0,0,0,0
1786347444202|1001|simultaneous_64m_1|fixed|10,1378943233,16780578,31518254,31473130,31518254,31473130,31518254,31473130,56878,56718,28412,28359,0,0,0,0,919292832,918426883,4096,4096,0,0,28412,28412,1644801909,1644802242,1644801917,1644802250,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,440,0,424,0,56,53,0,1,440,0|12,2361172063,0,14029484,0,13893632,0,13893632,0,15772183,0,53,53,1535685009,0,1535685009,0,2080,1587644712,0,7207547,0,0,0,0,0
1786347444202|1001|simultaneous_64m_1|rotating|10,1378943233,33555404,31593721,31548604,0,0,0,0,0,0,0,0,0,0,28480,28427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,440,0,424,0,56,53,0,1,440,0|12,1678749759,0,14058628,0,13893632,0,13893632,0,15801775,0,53,53,1539021628,0,1539021628,0,2080,1589277542,0,7195605,0,0,0,0,0
1786347449208|1001|simultaneous_64m_1|fixed|12,1378943233,16781056,37817842,37762427,37817842,37762427,37817842,37762427,68253,68060,34094,34030,0,0,0,0,1103128424,1102083744,4096,4096,0,0,34094,34094,1965377636,1965377953,1965377644,1965377961,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,528,0,512,0,67,64,0,1,528,0|14,2681797870,0,16829580,0,16777216,0,16777216,0,18920108,0,64,64,1841997246,0,1841997246,0,2080,1904712971,0,7234371,0,0,0,0,0
1786347449208|1001|simultaneous_64m_1|rotating|12,1378943233,33555404,37886810,37831426,0,0,0,0,0,0,0,0,0,0,34156,34092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,528,0,512,0,67,64,0,1,528,0|14,1998934585,0,16854776,0,16777216,0,16777216,0,18944724,0,64,64,1844895790,0,1844895790,0,2080,1905552033,0,7222422,0,0,0,0,0
1786347454219|1001|simultaneous_64m_1|fixed|14,1378943233,16781056,44126750,44063537,44126750,44063537,44126750,44063537,79639,79416,39782,39708,0,0,0,0,1287184304,1285975272,4096,4096,0,0,39782,39782,2285960242,2285960591,2285960250,2285960599,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,608,0,592,0,77,74,0,1,608,0|16,3001712459,0,19626884,0,19398656,0,19398656,0,22065893,0,74,74,2148840792,0,2148840792,0,2080,2221393488,0,7258706,0,0,0,0,0
1786347454219|1001|simultaneous_64m_1|rotating|14,1378943233,33555404,44184391,44121207,0,0,0,0,0,0,0,0,0,0,39833,39759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,608,0,592,0,77,74,0,1,608,0|16,2320462811,0,19660800,0,19398656,0,19398656,0,22105842,0,75,74,2152682012,0,2152682012,0,2080,2223525430,0,7250937,0,0,0,0,0
1786347459222|1001|simultaneous_64m_1|fixed|16,1378943233,16780339,50425997,50353773,50425997,50353773,50425997,50353773,91008,90752,45460,45375,0,0,0,0,1470900856,1469511304,4096,4096,0,0,45461,45461,2606348842,2606348855,2606348850,2606348831,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,696,0,680,0,88,85,0,1,696,0|18,3322749178,0,22430440,0,22282240,0,22282240,0,25219789,0,85,85,2455559767,0,2455559767,0,2080,2538868101,0,7290088,0,0,0,0,0
1786347459222|1001|simultaneous_64m_1|rotating|16,1378943233,33555404,50507233,50435009,0,0,0,0,0,0,0,0,0,0,45533,45448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,696,0,680,0,88,85,0,1,696,0|18,2640927543,0,22465020,0,22282240,0,22282240,0,25253527,0,85,85,2459491073,0,2459491073,0,2080,2540075948,0,7282867,0,0,0,0,0
1786347464225|1001|simultaneous_64m_1|fixed|18,1378943233,16780339,56721235,56639270,56721235,56639270,56721235,56639270,102369,102080,51135,51039,0,0,0,0,1654511867,1652941230,4096,4096,0,0,51136,51136,2926535658,2926535631,2926535666,2926535647,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,784,0,768,0,99,96,0,1,784,0|20,3643051150,0,25227576,0,25165824,0,25165824,0,28366160,0,96,96,2761544515,0,2761544515,0,2080,2855612059,0,7317361,0,0,0,0,0
1786347464225|1001|simultaneous_64m_1|rotating|18,1378943233,33558272,56790943,56708900,0,0,0,0,0,0,0,0,0,0,51198,51102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,784,0,768,0,99,96,0,1,784,0|20,2960109971,0,25252276,0,25165824,0,25165824,0,28387949,0,96,96,2764369700,0,2764369700,0,2080,2855348747,0,7305033,0,0,0,0,0
1786347469236|1001|simultaneous_64m_1|fixed|20,1378943233,16780339,63038687,62946589,63038687,62946589,63038687,62946589,113760,113441,56826,56720,0,0,0,0,1838656304,1836922344,4096,4096,0,0,56827,56827,3247266864,3247266837,3247266848,3247266845,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,864,0,848,0,109,106,0,1,864,0|22,3963709516,0,28031300,0,27787264,0,27787264,0,31521738,0,106,106,3069143805,0,3069143805,0,2080,3173042828,0,7335199,0,0,0,0,0
1786347469236|1001|simultaneous_64m_1|rotating|20,1378943233,33555404,63108077,63016021,0,0,0,0,0,0,0,0,0,0,56888,56782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,864,0,848,0,109,106,0,1,864,0|22,3280825667,0,28049408,0,28049408,0,28049408,0,31542990,0,107,107,3071155881,0,3071155881,0,2080,3172519002,0,7331283,0,0,0,0,0
