captured_ms|sequence|label|role|data_ro|dirm0|oen0
1786347418974|0|SAFE_BOOT|fixed|1350565379|8193|8193
1786347418974|0|SAFE_BOOT|rotating|1346371075|8193|8193
1786347419170|1001|simultaneous_64m_1_active|fixed|1346362882|8193|8193
1786347419170|1001|simultaneous_64m_1_active|rotating|1346362882|8193|8193
1786347424288|1001|simultaneous_64m_1|fixed|1350557186|8193|8193
1786347424288|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347429296|1001|simultaneous_64m_1|fixed|1350557186|8193|8193
1786347429296|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347434294|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347434294|1001|simultaneous_64m_1|rotating|1350557186|8193|8193
1786347439305|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347439305|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347444307|1001|simultaneous_64m_1|fixed|1350557186|8193|8193
1786347444307|1001|simultaneous_64m_1|rotating|1350557186|8193|8193
1786347449315|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347449315|1001|simultaneous_64m_1|rotating|1350557186|8193|8193
1786347454342|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347454342|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347459353|1001|simultaneous_64m_1|fixed|1350557186|8193|8193
1786347459353|1001|simultaneous_64m_1|rotating|1350557186|8193|8193
1786347464333|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347464333|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347469343|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347469343|1001|simultaneous_64m_1|rotating|1350557186|8193|8193
1786347474365|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347474365|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347479355|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347479355|1001|simultaneous_64m_1|rotating|1350557186|8193|8193
1786347484363|1001|simultaneous_64m_1|fixed|1350557186|8193|8193
1786347484363|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347489370|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347489370|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347494393|1001|simultaneous_64m_1|fixed|1350557186|8193|8193
1786347494393|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347499403|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347499403|1001|simultaneous_64m_1|rotating|1350557186|8193|8193
1786347504445|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347504445|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347509432|1001|simultaneous_64m_1|fixed|1350557186|8193|8193
1786347509432|1001|simultaneous_64m_1|rotating|1350557186|8193|8193
1786347514431|1001|simultaneous_64m_1|fixed|1350557186|8193|8193
1786347514431|1001|simultaneous_64m_1|rotating|1350557186|8193|8193
1786347519432|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347519432|1001|simultaneous_64m_1|rotating|1350557186|8193|8193
1786347524442|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347524442|1001|simultaneous_64m_1|rotating|1350557186|8193|8193
1786347529451|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347529451|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347534450|1001|simultaneous_64m_1|fixed|1346362882|8193|8193
1786347534450|1001|simultaneous_64m_1|rotating|1346362882|8193|8193
1786347539566|1001|simultaneous_64m_1_terminal|fixed|1350565379|8193|8193
1786347539566|1001|simultaneous_64m_1_terminal|rotating|1350565379|8193|8193
1786347540057|1002|P10_5-STREAMING_64M_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1786347540057|1002|P10_5-STREAMING_64M_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
