captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786346489230|1001|twoplustwo_f3_rC|fixed|2,1378943233,16780339,6066925,6059001,6066925,6059001,6066925,6059001,10948,10919,5468,5459,0,0,0,0,176956165,176792704,4096,4096,0,0,5469,5469,357872751,357872764,357872759,357872748,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,1080309354,0,2729628,0,2621440,0,2621440,0,3062298,0,10,10,298400580,0,298400580,0,2080,308224003,0,14293543,0,0,0,0,0
1786346489230|1001|twoplustwo_f3_rC|rotating|2,1378943233,33555404,6174578,6166598,0,0,0,0,0,0,0,0,0,0,5565,5556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,392863357,0,2768652,0,2621440,0,2621440,0,3105215,0,10,10,302779378,0,302779378,0,2080,312295088,0,14287675,0,0,0,0,0
1786346494242|1001|twoplustwo_f3_rC|fixed|4,1378943233,16780339,12140619,12124336,12140619,12124336,12140619,12124336,21912,21853,10945,10926,0,0,0,0,354172255,353846554,4096,4096,0,0,10946,10946,678695245,678695290,678695253,678695298,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,176,0,160,0,23,20,0,1,176,0|6,1400611857,0,5424180,0,5242880,0,5242880,0,6091865,0,20,20,593635434,0,593635434,0,2080,613278974,0,26331234,0,0,0,0,0
1786346494242|1001|twoplustwo_f3_rC|rotating|4,1378943233,33558272,12223980,12207666,0,0,0,0,0,0,0,0,0,0,11020,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,176,0,160,0,23,20,0,1,176,0|6,712839947,0,5460240,0,5242880,0,5242880,0,6130996,0,20,20,597702037,0,597702037,0,2080,616705334,0,26318803,0,0,0,0,0
1786346499242|1001|twoplustwo_f3_rC|fixed|6,1378943233,16780339,18200308,18175170,18200308,18175170,18200308,18175170,32845,32756,16406,16377,0,0,0,0,530884313,530396948,4096,4096,0,0,16407,16407,998644778,998644783,998644786,998644791,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,256,0,240,0,33,30,0,1,256,0|8,1720316976,0,8113296,0,7864320,0,7864320,0,9116871,0,30,30,888265282,0,888265282,0,2080,917736411,0,38369054,0,0,0,0,0
1786346499242|1001|twoplustwo_f3_rC|rotating|6,1378943233,33555404,18282602,18257391,0,0,0,0,0,0,0,0,0,0,16480,16451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,264,0,248,0,34,31,0,1,264,0|8,1032762402,0,8136840,0,8126464,0,8126464,0,9141648,0,31,31,890141993,0,890141993,0,2080,919502435,0,39547284,0,0,0,0,0
1786346504252|1001|twoplustwo_f3_rC|fixed|8,1378943233,16780339,24236269,24201280,24236269,24201280,24236269,24201280,43744,43622,21850,21810,0,0,0,0,707013264,706346659,4096,4096,0,0,21851,21851,1319164735,1319164740,1319164743,1319164748,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,344,0,328,0,44,41,0,1,344,0|10,2040997510,0,10796812,0,10747904,0,10747904,0,12134058,0,41,41,1181439650,0,1181439650,0,2080,1221644546,0,51610570,0,0,0,0,0
1786346504252|1001|twoplustwo_f3_rC|rotating|8,1378943233,33555404,24312744,24277571,0,0,0,0,0,0,0,0,0,0,21919,21879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,344,0,328,0,44,41,0,1,344,0|10,1352455866,0,10825956,0,10747904,0,10747904,0,12164178,0,41,41,1184783033,0,1184783033,0,2080,1223628027,0,51577476,0,0,0,0,0
1786346509260|1001|twoplustwo_f3_rC|fixed|10,1378943233,16781056,30303723,30259343,30303723,30259343,30303723,30259343,54696,54544,27322,27272,0,0,0,0,884051096,883221016,4096,4096,0,0,27322,27322,1639669008,1639669333,1639669016,1639669341,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,424,0,408,0,54,51,0,1,424,0|12,2361576491,0,13493340,0,13369344,0,13369344,0,15166226,0,51,51,1476944804,0,1476944804,0,2080,1526975721,0,63648521,0,0,0,0,0
1786346509260|1001|twoplustwo_f3_rC|rotating|10,1378943233,33558272,30380363,30335963,0,0,0,0,0,0,0,0,0,0,27391,27341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,424,0,408,0,54,51,0,1,424,0|12,1672962680,0,13521992,0,13369344,0,13369344,0,15194738,0,51,51,1480237898,0,1480237898,0,2080,1528566181,0,63605506,0,0,0,0,0
