captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786358448059|1001|primary_300s|fixed|2,1378943233,16780339,6066294,6057583,6066294,6057583,6066294,6057583,10971,10940,5479,5469,0,0,0,0,177289320,177126971,4096,4096,0,0,5480,5480,359319163,359319120,359319115,359319128,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,1078280253,0,2729628,0,2621440,0,2621440,0,3055904,0,10,10,298370153,0,298370153,0,2080,308188138,0,14290379,0,0,0,0,0
1786358448059|1001|primary_300s|rotating|2,1378943233,33555404,6142768,6134153,0,0,0,0,0,0,0,0,0,0,5547,5537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,392515184,0,2758772,0,2621440,0,2621440,0,3088438,0,10,10,301674795,0,301674795,0,2080,311189461,0,14283928,0,0,0,0,0
1786358453060|1001|primary_300s|fixed|4,1378943233,16780339,12122174,12104730,12122174,12104730,12122174,12104730,21907,21846,10943,10923,0,0,0,0,354077243,353751846,4096,4096,0,0,10943,10943,679390808,679391109,679390816,679391125,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,176,0,160,0,23,20,0,1,176,0|6,1397646401,0,5415780,0,5242880,0,5242880,0,6074506,0,20,20,592678557,0,592678557,0,2080,612309928,0,26324839,0,0,0,0,0
1786358453060|1001|primary_300s|rotating|4,1378943233,33555404,12174631,12157236,0,0,0,0,0,0,0,0,0,0,10990,10970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,176,0,160,0,23,20,0,1,176,0|6,711306992,0,5439988,0,5242880,0,5242880,0,6100382,0,20,20,595413674,0,595413674,0,2080,614417967,0,26316643,0,0,0,0,0
1786358458063|1001|primary_300s|fixed|6,1378943233,16781056,18176073,18150877,18176073,18150877,18176073,18150877,32849,32758,16409,16379,0,0,0,0,530942416,530454536,4096,4096,0,0,16409,16409,999598954,999599319,999598970,999599327,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,256,0,240,0,33,30,0,1,256,0|8,1718594107,0,8115768,0,7864320,0,7864320,0,9106704,0,30,30,888562665,0,888562665,0,2080,918013729,0,38358860,0,0,0,0,0
1786358458063|1001|primary_300s|rotating|6,1378943233,33558272,18251475,18226298,0,0,0,0,0,0,0,0,0,0,16477,16447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,260,0,248,0,34,31,0,1,260,0|8,1032701561,0,8126464,0,8126464,0,8126464,0,9125180,0,31,31,889776089,0,889776089,0,2080,919148954,0,39412954,0,0,0,0,0
1786358463073|1001|primary_300s|fixed|8,1378943233,16780339,24210742,24176840,24210742,24176840,24210742,24176840,43762,43638,21859,21818,0,0,0,0,707264358,706597377,4096,4096,0,0,21860,21860,1320469158,1320469147,1320469166,1320469155,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,344,0,328,0,44,41,0,1,344,0|10,2039296141,0,10799280,0,10747904,0,10747904,0,12120400,0,41,41,1181765991,0,1181765991,0,2080,1221947037,0,51596696,0,0,0,0,0
1786358463073|1001|primary_300s|rotating|8,1378943233,33558272,24292615,24258570,0,0,0,0,0,0,0,0,0,0,21933,21892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,344,0,328,0,44,41,0,1,344,0|10,1354510117,0,10837320,0,10747904,0,10747904,0,12160445,0,41,41,1186067684,0,1186067684,0,2080,1224935969,0,51581567,0,0,0,0,0
1786358468080|1001|primary_300s|fixed|10,1378943233,16780339,30285819,30243098,30285819,30243098,30285819,30243098,54738,54584,27342,27291,0,0,0,0,884683528,883855419,4096,4096,0,0,27343,27343,1641635508,1641635513,1641635516,1641635521,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,424,0,408,0,54,51,0,1,424,0|12,2361325557,0,13509148,0,13369344,0,13369344,0,15164154,0,51,51,1478728487,0,1478728487,0,2080,1528732873,0,63630357,0,0,0,0,0
1786358468080|1001|primary_300s|rotating|10,1378943233,33555404,30385564,30342714,0,0,0,0,0,0,0,0,0,0,27432,27381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,300000000,262144,1145,0,0,0,0,424,0,408,0,54,51,0,1,424,0|12,1676047729,0,13542740,0,13369344,0,13369344,0,15198793,0,51,51,1482549146,0,1482549146,0,2080,1530909085,0,63611429,0,0,0,0,0
