captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786360916776|1001|oneplusone_f0_r1|fixed|2,1378943233,16781056,6237694,6232965,6237694,0,6237694,0,11258,0,5626,0,0,0,0,5626,182094864,32888,4096,4096,0,0,5626,5,360869705,342005880,360869713,342005888,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|4,1078834943,0,1406312,0,1310720,0,1310720,0,1571993,0,5,5,307009660,0,307009660,0,2080,316112501,0,8272020,0,0,0,0,0
1786360916776|1001|oneplusone_f0_r1|rotating|2,1378943233,33557794,6307553,6302794,0,6302794,0,6302794,0,11384,0,5688,0,0,5688,0,32936,184129230,4096,4096,0,0,5,5689,320853955,343219705,320853963,343219713,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|4,392599325,0,1419648,0,1310720,0,1310720,0,1585740,0,5,5,309995364,0,309995364,0,2080,319069500,0,8271293,0,0,0,0,0
1786360927324|1002|oneplusone_f0_r2|fixed|6,1378943233,16780817,6227386,0,6227386,0,6227386,0,11236,0,5614,0,0,0,0,0,181719488,32896,4096,4096,0,0,5615,5,360720870,342488323,360720830,342488331,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|12,1753697402,0,1403100,0,1310720,0,1310720,0,1569169,0,5,5,306303103,0,306303103,0,2080,315443108,0,8274812,0,0,0,0,0
1786360927324|1002|oneplusone_f0_r2|rotating|6,1378943233,33557316,6303570,0,0,0,0,0,0,0,0,0,0,0,5683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|12,1067809043,0,1417920,0,1310720,0,1310720,0,1584596,0,5,5,309646460,0,309646460,0,2080,318715359,0,8270488,0,0,0,0,0
1786360937925|1003|oneplusone_f0_r3|fixed|10,1378943233,16781056,6232703,0,6232703,0,6232703,0,11242,0,5618,0,0,0,0,0,181835216,32896,4096,4096,0,0,5618,5,362905119,344488405,362905127,344488413,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|20,2432252162,0,1404336,0,1310720,0,1310720,0,1570725,0,5,5,306569880,0,306569880,0,2080,315672224,0,8272217,0,0,0,0,0
1786360937925|1003|oneplusone_f0_r3|rotating|10,1378943233,33556360,6308234,0,0,0,0,0,0,0,0,0,0,0,5686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|20,1746272941,0,1418660,0,1310720,0,1310720,0,1585749,0,5,5,309805847,0,309805847,0,2080,318882111,0,8271478,0,0,0,0,0
1786360948462|1004|oneplusone_f1_r0|fixed|14,1378943233,16780578,6142764,6147977,0,6147977,0,6147977,0,11102,0,5547,0,0,5547,0,32920,179531480,4096,4096,0,0,5,5548,345734793,360174942,345734801,360174910,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|28,3106838786,0,1386796,0,1310720,0,1310720,0,1549637,0,5,5,302595616,0,302595616,0,2080,315731612,0,8276858,0,0,0,0,0
1786360948462|1004|oneplusone_f1_r0|rotating|14,1378943233,33558272,6211869,6217194,6211869,32,6211869,444,11226,1,5610,1,0,0,0,5609,181548720,47084,4096,11732,0,11476,5610,6,363703522,345796612,363703530,345796628,0,98631308,0,98642764,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|28,2420455141,0,1399396,0,1310720,0,1310720,0,1562514,0,5,5,305453662,0,305453662,0,2080,314513208,0,8272446,0,0,0,0,0
1786360959039|1005|oneplusone_f1_r2|fixed|18,1378943233,16781056,0,6235878,0,6235878,0,6235878,0,11248,0,5621,0,0,0,0,32888,181932488,4096,4096,0,0,5,5621,343761544,362345542,343761552,362345550,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|36,3783535613,0,1404828,0,1310720,0,1310720,0,1571326,0,5,5,306672198,0,306672198,0,2080,315812636,0,8273697,0,0,0,0,0
1786360959039|1005|oneplusone_f1_r2|rotating|18,1378943233,33557316,0,6313004,0,0,0,0,0,0,0,0,0,0,0,5690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|36,3098535554,0,1423600,0,1310720,0,1310720,0,1591267,0,5,5,310919254,0,310919254,0,2080,319980108,0,8270764,0,0,0,0,0
1786360969654|1006|oneplusone_f1_r3|fixed|22,1378943233,16780578,0,6228467,0,6228467,0,6228467,0,11248,0,5621,0,0,0,0,32856,181930268,4096,4096,0,0,5,5621,345720452,364304546,345720460,364304554,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|44,168052299,1,1405324,0,1310720,0,1310720,0,1569857,0,5,5,306763474,0,306763474,0,2080,315866063,0,8272822,0,0,0,0,0
1786360969654|1006|oneplusone_f1_r3|rotating|22,1378943233,33556360,0,6305312,0,0,0,0,0,0,0,0,0,0,0,5690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|44,3776848248,0,1418660,0,1310720,0,1310720,0,1583905,0,5,5,309806685,0,309806685,0,2080,318883248,0,8270733,0,0,0,0,0
1786360980246|1007|oneplusone_f2_r0|fixed|26,1378943233,16780100,6217622,0,0,0,0,0,0,0,0,0,0,0,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|52,846162028,1,1402604,0,1310720,0,1310720,0,1568642,0,5,5,306171214,0,306171214,0,2080,315311095,0,8277053,0,0,0,0,0
1786360980246|1007|oneplusone_f2_r0|rotating|26,1378943233,33558272,6288402,0,6288402,0,6288402,0,11354,0,5674,0,0,0,0,0,183623544,39512,4096,4096,0,0,5674,6,367412721,345935556,367412729,345935564,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|52,159661256,1,1414708,0,1310720,0,1310720,0,1581148,0,5,5,308906900,0,308906900,0,2080,317972739,0,8270830,0,0,0,0,0
1786360990844|1008|oneplusone_f2_r1|fixed|30,1378943233,16780100,0,6228021,0,0,0,0,0,0,0,0,0,0,0,5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|60,1523652055,1,1402112,0,1310720,0,1310720,0,1567642,0,5,5,306054555,0,306054555,0,2080,315194312,0,8274479,0,0,0,0,0
1786360990844|1008|oneplusone_f2_r1|rotating|30,1378943233,33558272,0,6324245,0,6324245,0,6324245,0,11422,0,5708,0,0,0,0,39464,184725080,4096,4096,0,0,6,5708,346163607,369537380,346163615,369537388,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|60,839475694,1,1424588,0,1310720,0,1310720,0,1591600,0,5,5,311106965,0,311106965,0,2080,320177713,0,8270422,0,0,0,0,0
1786361001377|1009|oneplusone_f2_r3|fixed|34,1378943233,16780100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|68,2198302768,1,1385316,0,1310720,0,1310720,0,1547334,0,5,5,302243738,0,302243738,0,2080,315379363,0,8275188,0,0,0,0,0
1786361001377|1009|oneplusone_f2_r3|rotating|34,1378943233,33556360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|68,1512407419,1,1400136,0,1310720,0,1310720,0,1562635,0,5,5,305590232,0,305590232,0,2080,314648286,0,8271611,0,0,0,0,0
1786361011941|1010|oneplusone_f3_r0|fixed|38,1378943233,16779144,6237688,0,0,0,0,0,0,0,0,0,0,0,5629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|76,2875768718,1,1408040,0,1310720,0,1310720,0,1574549,0,5,5,307408880,0,307408880,0,2080,316550122,0,8274319,0,0,0,0,0
1786361011941|1010|oneplusone_f3_r0|rotating|38,1378943233,33558033,6317967,0,6317967,0,6317967,0,11410,0,5702,0,0,0,0,0,184528425,39504,4096,4096,0,0,5702,6,366483382,343444050,366483390,343444058,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|76,2190641064,1,1426316,0,1310720,0,1310720,0,1593709,0,5,5,311519745,0,311519745,0,2080,320585227,0,8271002,0,0,0,0,0
1786361022487|1011|oneplusone_f3_r1|fixed|42,1378943233,16781056,0,6213531,0,0,0,0,0,0,0,0,0,0,0,5608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|84,3549494829,1,1401616,0,1310720,0,1310720,0,1567182,0,5,5,305940760,0,305940760,0,2080,315080398,0,8271864,0,0,0,0,0
1786361022487|1011|oneplusone_f3_r1|rotating|42,1378943233,33557794,0,6288914,0,6288914,0,6288914,0,11358,0,5675,0,0,0,0,39456,183682914,4096,4096,0,0,6,5676,342728515,364314822,342728531,364314830,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|84,2863514649,1,1415944,0,1310720,0,1310720,0,1582190,0,5,5,309195919,0,309195919,0,2080,318261002,0,8270581,0,0,0,0,0
1786361033075|1012|oneplusone_f3_r2|fixed|46,1378943233,16779144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|92,4227382144,1,1384820,0,1310720,0,1310720,0,1547952,0,5,5,302162266,0,302162266,0,2080,315297764,0,8276024,0,0,0,0,0
1786361033075|1012|oneplusone_f3_r2|rotating|46,1378943233,33557316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,10000000,262144,39,0,0,0,0,56,0,40,0,8,5,0,1,56,0|92,3540954634,1,1397420,0,1310720,0,1310720,0,1560740,0,5,5,304970738,0,304970738,0,2080,314030836,0,8272217,0,0,0,0,0
