captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1786361155653|1001|twoplusone_f3_r4|fixed|2,1378943233,16780339,3544540,3272203,3544540,3272203,3544540,3272203,11226,5901,5609,2950,0,0,0,0,113090934,113009137,4096,4096,0,0,5610,5610,361576466,361576479,361576474,361576487,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,56,0,40,0,8,5,0,1,56,0|4,1081431645,0,1476212,0,1310720,0,1310720,0,1718445,0,5,5,161349838,0,161349838,0,2080,166177685,0,8275456,0,0,0,0,0
1786361155653|1001|twoplusone_f3_r4|rotating|2,1378943233,33558272,3596663,3324483,0,0,0,0,0,0,0,0,0,0,5656,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,56,0,40,0,8,5,0,1,56,0|4,392844687,0,1411744,0,1310720,0,1310720,0,1577567,0,5,5,308106495,0,308106495,0,2080,317272926,0,8274539,0,0,0,0,0
1786361160662|1001|twoplusone_f3_r4|fixed|4,1378943233,16781056,7029507,6477655,7029507,6477655,7029507,6477655,22461,11682,11225,5841,0,0,0,0,224697208,224517568,4096,4096,0,0,11225,11225,682146503,682146503,682146511,682146511,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,96,0,80,0,13,10,0,1,96,0|6,1402917241,0,2883584,0,2621440,0,2621440,0,3377821,0,11,10,315724370,0,315724370,0,2048,326255292,0,14297737,0,0,0,0,0
1786361160662|1001|twoplusone_f3_r4|rotating|4,1378943233,33558272,7036038,6477655,0,0,0,0,0,0,0,0,0,0,11290,5841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,96,0,80,0,13,10,0,1,96,0|6,714201651,0,2800024,0,2883584,0,2883584,0,3137849,0,10,11,612679191,0,612679191,0,2080,631006496,0,14292986,0,0,0,0,0
1786361165670|1001|twoplusone_f3_r4|fixed|6,1378943233,16781056,10277920,9424267,10277920,9424267,10277920,9424267,33690,16992,16837,8496,0,0,0,0,330187864,329926304,4096,4096,0,0,16837,16837,1002535512,1002535512,1002535520,1002535520,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,136,0,120,0,18,15,0,1,136,0|8,1723582832,0,4194304,0,3932160,0,3932160,0,4926691,0,16,15,459236817,0,459236817,0,2048,474554521,0,20316029,0,0,0,0,0
1786361165670|1001|twoplusone_f3_r4|rotating|6,1378943233,33558272,10284786,9424267,0,0,0,0,0,0,0,0,0,0,16906,8496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,136,0,120,0,18,15,0,1,136,0|8,1035013043,0,4186076,0,4194304,0,4194304,0,4696169,0,15,16,916706713,0,916706713,0,2080,944194336,0,20311615,0,0,0,0,0
1786361176241|1002|oneplustwo_f4_r3|fixed|10,1378943233,16780100,3322587,3267241,0,0,0,0,0,0,0,0,0,0,3479,2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,56,0,40,0,8,5,0,1,56,0|16,2400877964,0,1404580,0,1310720,0,1310720,0,1570875,0,5,5,306730388,0,306730388,0,2080,315917570,0,8270656,0,0,0,0,0
1786361176241|1002|oneplustwo_f4_r3|rotating|10,1378943233,33557555,3420773,3365431,3420773,3365431,3420773,3365431,7144,6068,3568,3033,0,0,0,0,101809665,101728060,4096,4096,0,0,3569,3569,367624594,367624583,367624610,367624591,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,56,0,40,0,8,5,0,1,56,0|16,1713353280,0,1528080,0,1310720,0,1310720,0,1722675,0,5,5,167180171,0,167180171,0,2080,172020987,0,8275328,0,0,0,0,0
1786361181243|1002|oneplustwo_f4_r3|fixed|12,1378943233,16780100,6592180,6480508,0,0,0,0,0,0,0,0,0,0,6920,5841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,96,0,80,0,13,10,0,1,96,0|18,2720181016,0,2782484,0,2883584,0,2883584,0,3120106,0,10,11,608957604,0,608957604,0,2080,627603297,0,14283041,0,0,0,0,0
1786361181243|1002|oneplustwo_f4_r3|rotating|12,1378943233,33558272,6593603,6480508,6593603,6480508,6593603,6480508,13879,11682,6934,5841,0,0,0,0,196463968,196284752,4096,4096,0,0,6934,6934,686653973,686653973,686653981,686653981,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,96,0,80,0,13,10,0,1,96,0|18,2031522016,0,2883584,0,2621440,0,2621440,0,3268679,0,11,10,315717265,0,315717265,0,2048,326248194,0,14293391,0,0,0,0,0
1786361186248|1002|oneplustwo_f4_r3|fixed|14,1378943233,16780100,9602091,9429600,0,0,0,0,0,0,0,0,0,0,10168,8496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,136,0,120,0,18,15,0,1,136,0|20,3040701973,0,4164836,0,4194304,0,4194304,0,4677147,0,15,16,912398511,0,912398511,0,2080,940503826,0,20298560,0,0,0,0,0
1786361186248|1002|oneplustwo_f4_r3|rotating|14,1378943233,33558272,9603382,9429600,9603382,9429600,9603382,9429600,20378,16992,10181,8496,0,0,0,0,286391432,286130608,4096,4096,0,0,10181,10181,1006681234,1006681234,1006681242,1006681242,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,136,0,120,0,18,15,0,1,136,0|20,2351861129,0,4194304,0,3932160,0,3932160,0,4758421,0,16,15,459229548,0,459229548,0,2048,474547263,0,20308785,0,0,0,0,0
1786361196837|1003|twoplusone_f3_r8|fixed|18,1378943233,16780339,3554614,3284865,3554614,3284865,3554614,3284865,11250,5924,5621,2961,0,0,0,0,113472383,113390594,4096,4096,0,0,5622,5622,363897503,363897508,363897511,363897516,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,20000000,262144,77,0,0,0,0,56,0,40,0,8,5,0,1,56,0|28,3719064965,0,1496960,0,1310720,0,1310720,0,1740954,0,5,5,163697906,0,163697906,0,2080,168530940,0,8274137,0,0,0,0,0
