captured_ms|sequence|label|role|data_ro|dirm0|oen0
1788083781915|0|SAFE_BOOT|fixed|1350565379|8193|8193
1788083781915|0|SAFE_BOOT|rotating|1350565379|8193|8193
1788083782050|1001|oneplusone_f0_r1_active|fixed|1350557186|8193|8193
1788083782050|1001|oneplusone_f0_r1_active|rotating|1346362882|8193|8193
1788083787183|1001|oneplusone_f0_r1|fixed|1346362882|8193|8193
1788083787183|1001|oneplusone_f0_r1|rotating|1350557186|8193|8193
1788083792311|1001|oneplusone_f0_r1_terminal|fixed|1346371075|8193|8193
1788083792311|1001|oneplusone_f0_r1_terminal|rotating|1350565379|8193|8193
1788083792627|1002|oneplusone_f0_r2_active|fixed|1350557186|8193|8193
1788083792627|1002|oneplusone_f0_r2_active|rotating|1346362882|8193|8193
1788083797750|1002|oneplusone_f0_r2|fixed|1350557186|8193|8193
1788083797750|1002|oneplusone_f0_r2|rotating|1350557186|8193|8193
1788083802901|1002|oneplusone_f0_r2_terminal|fixed|1346371075|8193|8193
1788083802901|1002|oneplusone_f0_r2_terminal|rotating|1346371075|8193|8193
1788083803265|1003|oneplusone_f0_r3_active|fixed|1346362882|8193|8193
1788083803265|1003|oneplusone_f0_r3_active|rotating|1350557186|8193|8193
1788083808412|1003|oneplusone_f0_r3|fixed|1346362882|8193|8193
1788083808412|1003|oneplusone_f0_r3|rotating|1350557186|8193|8193
1788083813495|1003|oneplusone_f0_r3_terminal|fixed|1346371075|8193|8193
1788083813495|1003|oneplusone_f0_r3_terminal|rotating|1346371075|8193|8193
1788083813789|1004|oneplusone_f1_r0_active|fixed|1350557186|8193|8193
1788083813789|1004|oneplusone_f1_r0_active|rotating|1346362882|8193|8193
1788083818920|1004|oneplusone_f1_r0|fixed|1350557186|8193|8193
1788083818920|1004|oneplusone_f1_r0|rotating|1350557186|8193|8193
1788083824078|1004|oneplusone_f1_r0_terminal|fixed|1346371075|8193|8193
1788083824078|1004|oneplusone_f1_r0_terminal|rotating|1346371075|8193|8193
1788083824407|1005|oneplusone_f1_r2_active|fixed|1346362882|8193|8193
1788083824407|1005|oneplusone_f1_r2_active|rotating|1350557186|8193|8193
1788083829547|1005|oneplusone_f1_r2|fixed|1346362882|8193|8193
1788083829547|1005|oneplusone_f1_r2|rotating|1346362882|8193|8193
1788083834665|1005|oneplusone_f1_r2_terminal|fixed|1346371075|8193|8193
1788083834665|1005|oneplusone_f1_r2_terminal|rotating|1350565379|8193|8193
1788083834952|1006|oneplusone_f1_r3_active|fixed|1346362882|8193|8193
1788083834952|1006|oneplusone_f1_r3_active|rotating|1346362882|8193|8193
1788083840061|1006|oneplusone_f1_r3|fixed|1350557186|8193|8193
1788083840061|1006|oneplusone_f1_r3|rotating|1346362882|8193|8193
1788083845254|1006|oneplusone_f1_r3_terminal|fixed|1346371075|8193|8193
1788083845254|1006|oneplusone_f1_r3_terminal|rotating|1346371075|8193|8193
1788083845524|1007|oneplusone_f2_r0_active|fixed|1346362882|8193|8193
1788083845524|1007|oneplusone_f2_r0_active|rotating|1346362882|8193|8193
1788083850651|1007|oneplusone_f2_r0|fixed|1346362882|8193|8193
1788083850651|1007|oneplusone_f2_r0|rotating|1346362882|8193|8193
1788083855871|1007|oneplusone_f2_r0_terminal|fixed|1346371075|8193|8193
1788083855871|1007|oneplusone_f2_r0_terminal|rotating|1350565379|8193|8193
1788083856180|1008|oneplusone_f2_r1_active|fixed|1350557186|8193|8193
1788083856180|1008|oneplusone_f2_r1_active|rotating|1346362882|8193|8193
1788083861311|1008|oneplusone_f2_r1|fixed|1350557186|8193|8193
1788083861311|1008|oneplusone_f2_r1|rotating|1346362882|8193|8193
1788083866465|1008|oneplusone_f2_r1_terminal|fixed|1346371075|8193|8193
1788083866465|1008|oneplusone_f2_r1_terminal|rotating|1350565379|8193|8193
1788083866806|1009|oneplusone_f2_r3_active|fixed|1346362882|8193|8193
1788083866806|1009|oneplusone_f2_r3_active|rotating|1346362882|8193|8193
1788083871920|1009|oneplusone_f2_r3|fixed|1350557186|8193|8193
1788083871920|1009|oneplusone_f2_r3|rotating|1350557186|8193|8193
1788083877096|1009|oneplusone_f2_r3_terminal|fixed|1350565379|8193|8193
1788083877096|1009|oneplusone_f2_r3_terminal|rotating|1346371075|8193|8193
1788083877401|1010|oneplusone_f3_r0_active|fixed|1350557186|8193|8193
1788083877401|1010|oneplusone_f3_r0_active|rotating|1346362882|8193|8193
1788083882599|1010|oneplusone_f3_r0|fixed|1350557186|8193|8193
1788083882599|1010|oneplusone_f3_r0|rotating|1350557186|8193|8193
1788083887653|1010|oneplusone_f3_r0_terminal|fixed|1350565379|8193|8193
1788083887653|1010|oneplusone_f3_r0_terminal|rotating|1346371075|8193|8193
