captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1788088308836|1011|fault_abort_r2f|fixed|22,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|8,260,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|64,2323384881,0,12844,0,0,0,0,0,0,0,0,0,32557053,0,32557053,0,2048,32558418,0,292912806,0,1,2,0,0
1788088308836|1011|fault_abort_r2f|rotating|22,1378943233,33558272,154008,154001,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|64,1624785719,0,12844,0,0,0,0,0,9419,0,0,0,326590218,0,326590218,0,2048,640011,0,1764997,0,0,0,0,0
1788088313849|1011|fault_abort_r2f|fixed|24,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|8,260,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|66,2643941352,0,12844,0,0,0,0,0,0,0,0,0,32557053,0,32557053,0,2048,32558418,0,613469277,0,1,2,0,0
1788088313849|1011|fault_abort_r2f|rotating|24,1378943233,33558272,154008,154001,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|66,1945707072,0,12844,0,0,0,0,0,9419,0,0,0,647511571,0,647511571,0,2048,640011,0,1764997,0,0,0,0,0
1788088318849|1011|fault_abort_r2f|fixed|26,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|8,260,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|68,2964918191,0,12844,0,0,0,0,0,0,0,0,0,32557053,0,32557053,0,2048,32558418,0,934446116,0,1,2,0,0
1788088318849|1011|fault_abort_r2f|rotating|26,1378943233,33558272,154008,154001,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|68,2267047200,0,12844,0,0,0,0,0,9419,0,0,0,968851699,0,968851699,0,2048,640011,0,1764997,0,0,0,0,0
1788088323863|1011|fault_abort_r2f|fixed|28,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|8,260,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|70,3285733748,0,12844,0,0,0,0,0,0,0,0,0,32557053,0,32557053,0,2048,32558418,0,1255261673,0,1,2,0,0
1788088323863|1011|fault_abort_r2f|rotating|28,1378943233,33558272,154008,154001,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|70,2587071060,0,12844,0,0,0,0,0,9419,0,0,0,1288875559,0,1288875559,0,2048,640011,0,1764997,0,0,0,0,0
1788088328872|1011|fault_abort_r2f|fixed|30,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|8,260,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|72,3605488624,0,12844,0,0,0,0,0,0,0,0,0,32557053,0,32557053,0,2048,32558418,0,1575016549,0,1,2,0,0
1788088328872|1011|fault_abort_r2f|rotating|30,1378943233,33558272,154008,154001,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|72,2910365764,0,12844,0,0,0,0,0,9419,0,0,0,1612170263,0,1612170263,0,2048,640011,0,1764997,0,0,0,0,0
1788088333885|1011|fault_abort_r2f|fixed|32,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|8,260,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|74,3925556948,0,12844,0,0,0,0,0,0,0,0,0,32557053,0,32557053,0,2048,32558418,0,1895084873,0,1,2,0,0
1788088333885|1011|fault_abort_r2f|rotating|32,1378943233,33558272,154008,154001,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|74,3226907783,0,12844,0,0,0,0,0,9419,0,0,0,1928712282,0,1928712282,0,2048,640011,0,1764997,0,0,0,0,0
1788088338888|1011|fault_abort_r2f|fixed|34,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|8,260,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|76,4245865251,0,12844,0,0,0,0,0,0,0,0,0,32557053,0,32557053,0,2048,32558418,0,2215393176,0,1,2,0,0
1788088338888|1011|fault_abort_r2f|rotating|34,1378943233,33558272,154008,154001,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|76,3548173669,0,12844,0,0,0,0,0,9419,0,0,0,2249978168,0,2249978168,0,2048,640011,0,1764997,0,0,0,0,0
1788088343891|1011|fault_abort_r2f|fixed|36,1378943233,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|8,260,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|78,271772307,1,12844,0,0,0,0,0,0,0,0,0,32557053,0,32557053,0,2048,32558418,0,2536267528,0,1,2,0,0
1788088343891|1011|fault_abort_r2f|rotating|36,1378943233,33558272,154008,154001,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,262144,262144,1,0,0,0,0,8,0,0,0,1,0,0,1,8,0|78,3868218644,0,12844,0,0,0,0,0,9419,0,0,0,2570023143,0,2570023143,0,2048,640011,0,1764997,0,0,0,0,0
