captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1788087591066|1001|simultaneous_64m_3|fixed|2,1378943233,16780339,6302357,6294103,6302357,6294103,6302357,6294103,11379,11350,5683,5674,0,0,0,0,183933673,183769252,4096,4096,0,0,5684,5684,365089151,365089156,365089167,365089164,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,1094760194,0,2830404,0,2621440,0,2621440,0,3173747,0,10,10,309762623,0,309762623,0,2080,319612421,0,7087168,0,0,0,0,0
1788087591066|1001|simultaneous_64m_3|rotating|2,1378943233,33555404,6369963,6361734,0,0,0,0,0,0,0,0,0,0,5744,5735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,399327878,0,2861032,0,2621440,0,2621440,0,3207159,0,10,10,313201942,0,313201942,0,2080,322753996,0,7083633,0,0,0,0,0
1788087596075|1001|simultaneous_64m_3|fixed|4,1378943233,16780339,12595511,12577289,12595511,12577289,12595511,12577289,22760,22698,11368,11348,0,0,0,0,367871546,367526749,4096,4096,0,0,11369,11369,685836572,685836561,685836580,685836569,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,184,0,168,0,24,21,0,1,184,0|6,1415315046,0,5630008,0,5505024,0,5505024,0,6315816,0,21,21,616008170,0,616008170,0,2080,636611994,0,7111748,0,0,0,0,0
1788087596075|1001|simultaneous_64m_3|rotating|4,1378943233,33555404,12667318,12648984,0,0,0,0,0,0,0,0,0,0,11433,11413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,184,0,168,0,24,21,0,1,184,0|6,720201327,0,5663104,0,5505024,0,5505024,0,6351939,0,21,21,619763945,0,619763945,0,2080,639719683,0,7109686,0,0,0,0,0
1788087601078|1001|simultaneous_64m_3|fixed|6,1378943233,16780339,18880442,18852756,18880442,18852756,18880442,18852756,34115,34020,17041,17010,0,0,0,0,551398084,550872951,4096,4096,0,0,17041,17041,1005869291,1005869624,1005869299,1005869632,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,272,0,256,0,35,32,0,1,272,0|8,1735558663,0,8426648,0,8388608,0,8388608,0,9457927,0,32,32,921934894,0,921934894,0,2080,953296424,0,7140210,0,0,0,0,0
1788087601078|1001|simultaneous_64m_3|rotating|6,1378943233,33555404,18967767,18939975,0,0,0,0,0,0,0,0,0,0,17119,17088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,272,0,256,0,35,32,0,1,272,0|8,1040370216,0,8459252,0,8388608,0,8388608,0,9492479,0,32,32,925622953,0,925622953,0,2080,955976477,0,7135691,0,0,0,0,0
1788087606078|1001|simultaneous_64m_3|fixed|8,1378943233,16780339,25172750,25136579,25172750,25136579,25172750,25136579,45481,45356,22718,22677,0,0,0,0,735120971,734432814,4096,4096,0,0,22719,22719,1325890506,1325890503,1325890514,1325890511,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,352,0,336,0,45,42,0,1,352,0|10,2054909189,0,11219012,0,11010048,0,11010048,0,12595328,0,42,42,1228205390,0,1228205390,0,2080,1269410082,0,7167347,0,0,0,0,0
1788087606078|1001|simultaneous_64m_3|rotating|8,1378943233,33558272,25224028,25187822,0,0,0,0,0,0,0,0,0,0,22765,22724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,352,0,336,0,45,42,0,1,352,0|10,1358651905,0,11242228,0,11010048,0,11010048,0,12618670,0,42,42,1230835821,0,1230835821,0,2080,1270701188,0,7158816,0,0,0,0,0
1788087611079|1001|simultaneous_64m_3|fixed|10,1378943233,16780339,31460633,31415134,31460633,31415134,31460633,31415134,56844,56686,28394,28342,0,0,0,0,918758462,917890641,4096,4096,0,0,28395,28395,1646130519,1646130516,1646130527,1646130524,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,440,0,424,0,56,53,0,1,440,0|12,2374743713,0,14012192,0,13893632,0,13893632,0,15732991,0,53,53,1533723402,0,1533723402,0,2080,1585683958,0,7197298,0,0,0,0,0
1788087611079|1001|simultaneous_64m_3|rotating|10,1378943233,33558272,31514291,31468870,0,0,0,0,0,0,0,0,0,0,28443,28391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,440,0,424,0,56,53,0,1,440,0|12,1679896607,0,14047760,0,13893632,0,13893632,0,15769650,0,53,53,1537767493,0,1537767493,0,2080,1588033963,0,7185535,0,0,0,0,0
1788087616089|1001|simultaneous_64m_3|fixed|12,1378943233,16780339,37756432,37700254,37756432,37700254,37756432,37700254,68221,68030,34078,34014,0,0,0,0,1102634623,1101587322,4096,4096,0,0,34078,34078,1966774740,1966774961,1966774748,1966774969,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,528,0,512,0,67,64,0,1,528,0|14,2696287060,0,16820196,0,16777216,0,16777216,0,18887039,0,64,64,1840944349,0,1840944349,0,2080,1903667490,0,7226408,0,0,0,0,0
1788087616089|1001|simultaneous_64m_3|rotating|12,1378943233,33555404,37843246,37787039,0,0,0,0,0,0,0,0,0,0,34156,34093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,528,0,512,0,67,64,0,1,528,0|14,2001815008,0,16859220,0,16777216,0,16777216,0,18926706,0,64,64,1845374984,0,1845374984,0,2080,1906041030,0,7208653,0,0,0,0,0
1788087621089|1001|simultaneous_64m_3|fixed|14,1378943233,16780339,44049730,43985568,44049730,43985568,44049730,43985568,79586,79365,39755,39682,0,0,0,0,1286340422,1285130361,4096,4096,0,0,39756,39756,2286771261,2286771250,2286771269,2286771258,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,608,0,592,0,77,74,0,1,608,0|16,3016676234,0,19621452,0,19398656,0,19398656,0,22035862,0,74,74,2148253229,0,2148253229,0,2080,2220817053,0,7256250,0,0,0,0,0
1788087621089|1001|simultaneous_64m_3|rotating|14,1378943233,33558272,44118475,44054231,0,0,0,0,0,0,0,0,0,0,39817,39744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,67108864,262144,256,0,0,0,0,608,0,592,0,77,74,0,1,608,0|16,2320439611,0,19645164,0,19398656,0,19398656,0,22057212,0,74,74,2150923323,0,2150923323,0,2080,2221106657,0,7238511,0,0,0,0,0
