captured_ms|sequence|label|role|data_ro|dirm0|oen0
1788086175900|0|SAFE_BOOT|fixed|1346371075|8193|8193
1788086175900|0|SAFE_BOOT|rotating|1350565379|8193|8193
1788086176063|1001|twoplustwo_f3_rC_active|fixed|1350557186|8193|8193
1788086176063|1001|twoplustwo_f3_rC_active|rotating|1350557186|8193|8193
1788086181165|1001|twoplustwo_f3_rC|fixed|1350557186|8193|8193
1788086181165|1001|twoplustwo_f3_rC|rotating|1350557186|8193|8193
1788086186235|1001|twoplustwo_f3_rC|fixed|1350557186|8193|8193
1788086186235|1001|twoplustwo_f3_rC|rotating|1346362882|8193|8193
1788086191215|1001|twoplustwo_f3_rC|fixed|1350557186|8193|8193
1788086191215|1001|twoplustwo_f3_rC|rotating|1346362882|8193|8193
1788086196244|1001|twoplustwo_f3_rC|fixed|1350557186|8193|8193
1788086196244|1001|twoplustwo_f3_rC|rotating|1346362882|8193|8193
1788086201279|1001|twoplustwo_f3_rC|fixed|1350557186|8193|8193
1788086201279|1001|twoplustwo_f3_rC|rotating|1350557186|8193|8193
1788086206351|1001|twoplustwo_f3_rC_terminal|fixed|1346371075|8193|8193
1788086206351|1001|twoplustwo_f3_rC_terminal|rotating|1350565379|8193|8193
1788086206646|1002|twoplustwo_fC_r3_active|fixed|1346362882|8193|8193
1788086206646|1002|twoplustwo_fC_r3_active|rotating|1346362882|8193|8193
1788086211770|1002|twoplustwo_fC_r3|fixed|1346362882|8193|8193
1788086211770|1002|twoplustwo_fC_r3|rotating|1346362882|8193|8193
1788086216781|1002|twoplustwo_fC_r3|fixed|1346362882|8193|8193
1788086216781|1002|twoplustwo_fC_r3|rotating|1346362882|8193|8193
1788086221786|1002|twoplustwo_fC_r3|fixed|1346362882|8193|8193
1788086221786|1002|twoplustwo_fC_r3|rotating|1350557186|8193|8193
1788086226825|1002|twoplustwo_fC_r3|fixed|1350557186|8193|8193
1788086226825|1002|twoplustwo_fC_r3|rotating|1350557186|8193|8193
1788086231831|1002|twoplustwo_fC_r3|fixed|1350557186|8193|8193
1788086231831|1002|twoplustwo_fC_r3|rotating|1350557186|8193|8193
1788086236960|1002|twoplustwo_fC_r3_terminal|fixed|1350565379|8193|8193
1788086236960|1002|twoplustwo_fC_r3_terminal|rotating|1350565379|8193|8193
1788086237230|1003|twoplustwo_f5_rA_active|fixed|1350557186|8193|8193
