captured_ms|sequence|label|role|data_ro|dirm0|oen0
1788094970565|0|SAFE_BOOT|fixed|1346371075|8193|8193
1788094970565|0|SAFE_BOOT|rotating|1346371075|8193|8193
1788094970700|1001|role_commit_0_f3_rC_active|fixed|1346362882|8193|8193
1788094970700|1001|role_commit_0_f3_rC_active|rotating|1350557186|8193|8193
1788094975834|1001|role_commit_0_f3_rC|fixed|1350557186|8193|8193
1788094975834|1001|role_commit_0_f3_rC|rotating|1350557186|8193|8193
1788094980974|1001|role_commit_0_f3_rC_terminal|fixed|1346371075|8193|8193
1788094980974|1001|role_commit_0_f3_rC_terminal|rotating|1350565379|8193|8193
1788094981269|1002|role_commit_1_f5_rA_active|fixed|1350557186|8193|8193
1788094981269|1002|role_commit_1_f5_rA_active|rotating|1346362882|8193|8193
1788094986397|1002|role_commit_1_f5_rA|fixed|1350557186|8193|8193
1788094986397|1002|role_commit_1_f5_rA|rotating|1346362882|8193|8193
1788094991598|1002|role_commit_1_f5_rA_terminal|fixed|1350565379|8193|8193
1788094991598|1002|role_commit_1_f5_rA_terminal|rotating|1346371075|8193|8193
1788094991900|1003|role_commit_2_f9_r6_active|fixed|1350557186|8193|8193
1788094991900|1003|role_commit_2_f9_r6_active|rotating|1346362882|8193|8193
1788094997044|1003|role_commit_2_f9_r6|fixed|1346362882|8193|8193
1788094997044|1003|role_commit_2_f9_r6|rotating|1346362882|8193|8193
1788095002211|1003|role_commit_2_f9_r6_terminal|fixed|1346371075|8193|8193
1788095002211|1003|role_commit_2_f9_r6_terminal|rotating|1346371075|8193|8193
1788095002526|1004|role_commit_3_f3_rC_active|fixed|1350557186|8193|8193
1788095002526|1004|role_commit_3_f3_rC_active|rotating|1350557186|8193|8193
1788095007665|1004|role_commit_3_f3_rC|fixed|1346362882|8193|8193
1788095007665|1004|role_commit_3_f3_rC|rotating|1350557186|8193|8193
1788095012787|1004|role_commit_3_f3_rC_terminal|fixed|1346371075|8193|8193
1788095012787|1004|role_commit_3_f3_rC_terminal|rotating|1346371075|8193|8193
1788095013366|1005|P10_5-ROLE_COMMIT_endpoint_shutdown_terminal|fixed|1346371075|8193|8193
1788095013366|1005|P10_5-ROLE_COMMIT_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
