captured_ms|sequence|label|role|data_ro|dirm0|oen0
1788096282449|0|SAFE_BOOT|fixed|1346371075|8193|8193
1788096282449|0|SAFE_BOOT|rotating|1346371075|8193|8193
1788096282642|1001|simultaneous_64m_4_active|fixed|1346362882|8193|8193
1788096282642|1001|simultaneous_64m_4_active|rotating|1346362882|8193|8193
1788096287748|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096287748|1001|simultaneous_64m_4|rotating|1350557186|8193|8193
1788096292751|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096292751|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096297763|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096297763|1001|simultaneous_64m_4|rotating|1350557186|8193|8193
1788096302799|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096302799|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096307777|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096307777|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096312783|1001|simultaneous_64m_4|fixed|1350557186|8193|8193
1788096312783|1001|simultaneous_64m_4|rotating|1350557186|8193|8193
1788096317801|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096317801|1001|simultaneous_64m_4|rotating|1350557186|8193|8193
1788096322833|1001|simultaneous_64m_4|fixed|1350557186|8193|8193
1788096322833|1001|simultaneous_64m_4|rotating|1350557186|8193|8193
1788096327829|1001|simultaneous_64m_4|fixed|1350557186|8193|8193
1788096327829|1001|simultaneous_64m_4|rotating|1350557186|8193|8193
1788096332813|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096332813|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096337829|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096337829|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096342836|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096342836|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096347861|1001|simultaneous_64m_4|fixed|1350557186|8193|8193
1788096347861|1001|simultaneous_64m_4|rotating|1350557186|8193|8193
1788096352859|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096352859|1001|simultaneous_64m_4|rotating|1350557186|8193|8193
1788096357845|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096357845|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096362871|1001|simultaneous_64m_4|fixed|1350557186|8193|8193
1788096362871|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096367886|1001|simultaneous_64m_4|fixed|1350557186|8193|8193
1788096367886|1001|simultaneous_64m_4|rotating|1350557186|8193|8193
1788096372895|1001|simultaneous_64m_4|fixed|1350557186|8193|8193
1788096372895|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096377901|1001|simultaneous_64m_4|fixed|1350557186|8193|8193
1788096377901|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096382950|1001|simultaneous_64m_4|fixed|1346362883|8193|8193
1788096382950|1001|simultaneous_64m_4|rotating|1350557187|8193|8193
1788096387931|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096387931|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096392937|1001|simultaneous_64m_4|fixed|1346362882|8193|8193
1788096392937|1001|simultaneous_64m_4|rotating|1346362882|8193|8193
1788096397945|1001|simultaneous_64m_4|fixed|1350557186|8193|8193
1788096397945|1001|simultaneous_64m_4|rotating|1350557186|8193|8193
1788096403069|1001|simultaneous_64m_4_terminal|fixed|1350565379|8193|8193
1788096403069|1001|simultaneous_64m_4_terminal|rotating|1350565379|8193|8193
1788096403601|1002|P10_5-STREAMING_64M_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1788096403601|1002|P10_5-STREAMING_64M_endpoint_shutdown_terminal|rotating|1346371075|8193|8193
