captured_ms|sequence|label|role|data_ro|dirm0|oen0
1788093856407|0|SAFE_BOOT|fixed|1346371075|8193|8193
1788093856407|0|SAFE_BOOT|rotating|1346371075|8193|8193
1788093856513|1001|twoplusone_f3_r4_active|fixed|1350557186|8193|8193
1788093856513|1001|twoplusone_f3_r4_active|rotating|1346362882|8193|8193
1788093861680|1001|twoplusone_f3_r4|fixed|1346362882|8193|8193
1788093861680|1001|twoplusone_f3_r4|rotating|1346362882|8193|8193
1788093866619|1001|twoplusone_f3_r4|fixed|1350557187|8193|8193
1788093866619|1001|twoplusone_f3_r4|rotating|1346362882|8193|8193
1788093871607|1001|twoplusone_f3_r4|fixed|1346362883|8193|8193
1788093871607|1001|twoplusone_f3_r4|rotating|1346362882|8193|8193
1788093876817|1001|twoplusone_f3_r4_terminal|fixed|1350565379|8193|8193
1788093876817|1001|twoplusone_f3_r4_terminal|rotating|1350565379|8193|8193
1788093877125|1002|oneplustwo_f4_r3_active|fixed|1350557186|8193|8193
1788093877125|1002|oneplustwo_f4_r3_active|rotating|1346362882|8193|8193
1788093882252|1002|oneplustwo_f4_r3|fixed|1346362882|8193|8193
1788093882252|1002|oneplustwo_f4_r3|rotating|1350557186|8193|8193
1788093887286|1002|oneplustwo_f4_r3|fixed|1346362882|8193|8193
1788093887286|1002|oneplustwo_f4_r3|rotating|1350557187|8193|8193
1788093892301|1002|oneplustwo_f4_r3|fixed|1350557187|8193|8193
1788093892301|1002|oneplustwo_f4_r3|rotating|1350557187|8193|8193
1788093897411|1002|oneplustwo_f4_r3_terminal|fixed|1346371075|8193|8193
1788093897411|1002|oneplustwo_f4_r3_terminal|rotating|1346371075|8193|8193
1788093897706|1003|twoplusone_f3_r8_active|fixed|1350557186|8193|8193
1788093897706|1003|twoplusone_f3_r8_active|rotating|1346362882|8193|8193
1788093902861|1003|twoplusone_f3_r8|fixed|1350557186|8193|8193
1788093902861|1003|twoplusone_f3_r8|rotating|1346362882|8193|8193
1788093907834|1003|twoplusone_f3_r8|fixed|1346362883|8193|8193
1788093907834|1003|twoplusone_f3_r8|rotating|1350557186|8193|8193
1788093912850|1003|twoplusone_f3_r8|fixed|1350557187|8193|8193
1788093912850|1003|twoplusone_f3_r8|rotating|1350557187|8193|8193
1788093918000|1003|twoplusone_f3_r8_terminal|fixed|1350565379|8193|8193
1788093918000|1003|twoplusone_f3_r8_terminal|rotating|1350565379|8193|8193
1788093918293|1004|oneplustwo_f8_r3_active|fixed|1350557186|8193|8193
1788093918293|1004|oneplustwo_f8_r3_active|rotating|1350557186|8193|8193
1788093923400|1004|oneplustwo_f8_r3|fixed|1350557186|8193|8193
1788093923400|1004|oneplustwo_f8_r3|rotating|1346362882|8193|8193
