captured_ms|sequence|label|role|mailbox_main_state|mailbox_result_state|mailbox_result_status|p9_object_error|p9_tx_sequence_base|p9_window_status|p9_tx_retry_exhausted_count|p9_ack_frames_sent|p9_physical_ack_good|p9_physical_crc_bad|p9_physical_frame_bad|p9_physical_preamble|p9_physical_symbol_error|p10_5_context_status|p10_5_piggyback_ack_rx_count|p10_5_control_ack_fallback_count|p10_5_direction_reject_count|p10_5_role_epoch_reject_count|p10_5_tx_window_occupancy|p10_5_tx_ack_base|p10_5_rx_ack_base|p10_5_rx_sack_bitmap|p10_5_tx_peer_sack_bitmap|p10_5_tx_receiver_credit|p10_5_rx_receiver_credit|p10_5_tx_retry_count|p10_5_tx_timeout_count|p10_5_ack_tx_bytes|p10_5_ack_rx_bytes|p10_5_control_tx_bytes|p10_5_control_queue_occupancy
1788103437041|1009|fault_abort_f2r|fixed|3|4|0|0|262180|136314888|0|5|0|0|0|21827|0|9|6|0|0|0|32|16|20|0|0|32|32|0|0|190|140|22|0
1788103437041|1009|fault_abort_f2r|rotating|3|4|0|0|1441846|136314880|0|10|0|1|1|22323|25443|13|11|0|0|0|32|22|0|0|0|32|32|0|0|140|154|0|0
1788103437280|1009|fault_abort_f2r|fixed|3|4|0|0|0|134218174|0|229|0|0|0|22271|0|11|10|220|0|0|0|0|458|0|0|32|32|0|0|5118|140|4972|0
1788103437280|1009|fault_abort_f2r|rotating|3|4|0|0|30671348|136314880|0|10|211|2|2|22536|621350|13|11|0|0|0|32|480|0|0|0|32|32|6|6|140|4972|0|0
1788103437514|1009|fault_abort_f2r|fixed|3|4|0|0|0|134218710|0|497|0|0|0|22807|0|11|10|489|0|0|0|0|994|0|0|32|32|0|0|11036|140|10868|0
1788103437514|1009|fault_abort_f2r|rotating|3|4|0|0|65930254|136314880|0|10|480|2|2|22805|1090304|13|11|0|0|0|32|1018|0|0|0|32|32|6|6|140|10890|0|0
1788103437563|1009|fault_abort_f2r|fixed|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|32|0|0|0|0|0|0
1788103437563|1009|fault_abort_f2r|rotating|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|32|0|0|0|0|0|0
1788103440829|1011|fault_abort_r2f|fixed|3|4|0|0|131106|136314886|0|3|0|0|0|4264|0|9|5|0|0|0|32|20|0|0|0|32|32|0|0|154|140|0|0
1788103440829|1011|fault_abort_r2f|rotating|3|4|0|0|0|134217766|0|18|0|0|0|4295|0|11|10|2|0|0|0|0|50|0|0|32|32|0|0|220|140|66|0
1788103441056|1011|fault_abort_r2f|fixed|3|4|0|0|26214832|136314880|0|11|30|1|1|4306|571528|13|10|0|0|0|32|412|0|0|0|32|32|8|8|154|844|0|0
1788103441056|1011|fault_abort_r2f|rotating|3|4|0|0|0|134218166|0|188|0|2|2|4705|0|11|10|38|0|0|0|0|450|0|0|32|32|0|0|1012|140|858|2
1788103441288|1011|fault_abort_r2f|fixed|3|4|0|0|60818368|136314880|0|11|75|1|1|4351|1036124|13|10|0|0|0|32|940|0|0|0|32|32|8|8|154|1812|0|0
1788103441288|1011|fault_abort_r2f|rotating|3|4|0|0|0|134218692|0|410|0|2|2|5237|0|11|10|83|0|0|0|0|984|0|0|32|32|0|0|2002|140|1848|2
1788103441370|1011|fault_abort_r2f|fixed|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|32|0|0|0|0|0|0
1788103441370|1011|fault_abort_r2f|rotating|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32|32|0|0|0|0|0|0
