captured_ms|sequence|label|role|data_ro|dirm0|oen0
1788103421258|0|SAFE_BOOT|fixed|1346371075|8193|8193
1788103421258|0|SAFE_BOOT|rotating|1346371075|8193|8193
1788103421385|1001|fault_data_f2r_active|fixed|1350557186|8193|8193
1788103421385|1001|fault_data_f2r_active|rotating|1350557186|8193|8193
1788103422762|1001|fault_data_f2r_terminal|fixed|1346371075|8193|8193
1788103422762|1001|fault_data_f2r_terminal|rotating|1350565379|8193|8193
1788103423109|1002|fault_clean_1_active|fixed|1346362882|8193|8193
1788103423109|1002|fault_clean_1_active|rotating|1346362882|8193|8193
1788103425393|1002|fault_clean_1_terminal|fixed|1346371075|8193|8193
1788103425393|1002|fault_clean_1_terminal|rotating|1350565379|8193|8193
1788103425690|1003|fault_data_r2f_active|fixed|1350557186|8193|8193
1788103425690|1003|fault_data_r2f_active|rotating|1350557186|8193|8193
1788103426648|1003|fault_data_r2f_terminal|fixed|1346371075|8193|8193
1788103426648|1003|fault_data_r2f_terminal|rotating|1350565379|8193|8193
1788103427000|1004|fault_clean_2_active|fixed|1346362882|8193|8193
1788103427000|1004|fault_clean_2_active|rotating|1350557186|8193|8193
1788103429245|1004|fault_clean_2_terminal|fixed|1350565379|8193|8193
1788103429245|1004|fault_clean_2_terminal|rotating|1350565379|8193|8193
1788103429529|1005|fault_ack_f2r_active|fixed|1346362882|8193|8193
1788103429529|1005|fault_ack_f2r_active|rotating|1346362882|8193|8193
1788103430386|1005|fault_ack_f2r_terminal|fixed|1350565379|8193|8193
1788103430386|1005|fault_ack_f2r_terminal|rotating|1350565379|8193|8193
1788103430741|1006|fault_clean_3_active|fixed|1350557186|8193|8193
1788103430741|1006|fault_clean_3_active|rotating|1350557186|8193|8193
1788103432980|1006|fault_clean_3_terminal|fixed|1346371075|8193|8193
1788103432980|1006|fault_clean_3_terminal|rotating|1346371075|8193|8193
1788103433281|1007|fault_ack_r2f_active|fixed|1350557186|8193|8193
1788103433281|1007|fault_ack_r2f_active|rotating|1350557186|8193|8193
1788103434154|1007|fault_ack_r2f_terminal|fixed|1350565379|8193|8193
1788103434154|1007|fault_ack_r2f_terminal|rotating|1346371075|8193|8193
1788103434510|1008|fault_clean_4_active|fixed|1350557186|8193|8193
1788103434510|1008|fault_clean_4_active|rotating|1346362882|8193|8193
1788103436747|1008|fault_clean_4_terminal|fixed|1350565379|8193|8193
1788103436747|1008|fault_clean_4_terminal|rotating|1346371075|8193|8193
1788103437068|1009|fault_abort_f2r_active|fixed|1350557186|8193|8193
1788103437068|1009|fault_abort_f2r_active|rotating|1346362882|8193|8193
1788103437927|1009|fault_abort_f2r_terminal|fixed|1350565379|8193|8193
1788103437927|1009|fault_abort_f2r_terminal|rotating|1350565379|8193|8193
1788103438281|1010|fault_clean_5_active|fixed|1350557186|8193|8193
1788103438281|1010|fault_clean_5_active|rotating|1346362882|8193|8193
1788103440543|1010|fault_clean_5_terminal|fixed|1350565379|8193|8193
1788103440543|1010|fault_clean_5_terminal|rotating|1346371075|8193|8193
1788103440856|1011|fault_abort_r2f_active|fixed|1350557186|8193|8193
1788103440856|1011|fault_abort_r2f_active|rotating|1346362882|8193|8193
1788103441746|1011|fault_abort_r2f_terminal|fixed|1350565379|8193|8193
1788103441746|1011|fault_abort_r2f_terminal|rotating|1350565379|8193|8193
1788103442072|1012|fault_clean_6_active|fixed|1350557186|8193|8193
1788103442072|1012|fault_clean_6_active|rotating|1350557186|8193|8193
1788103444289|1012|fault_clean_6_terminal|fixed|1350565379|8193|8193
1788103444289|1012|fault_clean_6_terminal|rotating|1346371075|8193|8193
1788103444571|1013|fault_backpressure_f2r_active|fixed|1350557186|8193|8193
1788103444571|1013|fault_backpressure_f2r_active|rotating|1350557186|8193|8193
1788103445856|1013|fault_backpressure_f2r_terminal|fixed|1350565379|8193|8193
1788103445856|1013|fault_backpressure_f2r_terminal|rotating|1350565379|8193|8193
1788103446216|1014|fault_clean_7_active|fixed|1350557186|8193|8193
1788103446216|1014|fault_clean_7_active|rotating|1350557186|8193|8193
1788103448504|1014|fault_clean_7_terminal|fixed|1350565379|8193|8193
1788103448504|1014|fault_clean_7_terminal|rotating|1350565379|8193|8193
1788103448767|1015|fault_backpressure_r2f_active|fixed|1350557186|8193|8193
1788103448767|1015|fault_backpressure_r2f_active|rotating|1350557186|8193|8193
1788103449751|1015|fault_backpressure_r2f_terminal|fixed|1350565379|8193|8193
1788103449751|1015|fault_backpressure_r2f_terminal|rotating|1346371075|8193|8193
1788103450102|1016|fault_clean_8_active|fixed|1346362882|8193|8193
1788103450102|1016|fault_clean_8_active|rotating|1350557186|8193|8193
