captured_ms|sequence|label|role|data_ro|dirm0|oen0
1788101759423|0|SAFE_BOOT|fixed|1350565379|8193|8193
1788101759423|0|SAFE_BOOT|rotating|1350565379|8193|8193
1788101759535|1001|primary_300s_active|fixed|1350557186|8193|8193
1788101759535|1001|primary_300s_active|rotating|1350557186|8193|8193
1788101764641|1001|primary_300s|fixed|1346362882|8193|8193
1788101764641|1001|primary_300s|rotating|1350557186|8193|8193
1788101769703|1001|primary_300s|fixed|1346362882|8193|8193
1788101769703|1001|primary_300s|rotating|1346362882|8193|8193
1788101774670|1001|primary_300s|fixed|1350557186|8193|8193
1788101774670|1001|primary_300s|rotating|1350557186|8193|8193
1788101779655|1001|primary_300s|fixed|1346362882|8193|8193
1788101779655|1001|primary_300s|rotating|1350557186|8193|8193
1788101784687|1001|primary_300s|fixed|1346362882|8193|8193
1788101784687|1001|primary_300s|rotating|1350557186|8193|8193
1788101789654|1001|primary_300s|fixed|1346362882|8193|8193
1788101789654|1001|primary_300s|rotating|1346362882|8193|8193
1788101794687|1001|primary_300s|fixed|1346362882|8193|8193
1788101794687|1001|primary_300s|rotating|1350557186|8193|8193
1788101799664|1001|primary_300s|fixed|1346362882|8193|8193
1788101799664|1001|primary_300s|rotating|1350557186|8193|8193
1788101804686|1001|primary_300s|fixed|1346362882|8193|8193
1788101804686|1001|primary_300s|rotating|1346362882|8193|8193
1788101809694|1001|primary_300s|fixed|1346362882|8193|8193
1788101809694|1001|primary_300s|rotating|1346362882|8193|8193
1788101814738|1001|primary_300s|fixed|1346362882|8193|8193
1788101814738|1001|primary_300s|rotating|1346362882|8193|8193
1788101819722|1001|primary_300s|fixed|1346362882|8193|8193
1788101819722|1001|primary_300s|rotating|1350557186|8193|8193
1788101824727|1001|primary_300s|fixed|1350557186|8193|8193
1788101824727|1001|primary_300s|rotating|1350557186|8193|8193
1788101829728|1001|primary_300s|fixed|1350557187|8193|8193
1788101829728|1001|primary_300s|rotating|1350557187|8193|8193
1788101834766|1001|primary_300s|fixed|1350557186|8193|8193
1788101834766|1001|primary_300s|rotating|1350557186|8193|8193
1788101839744|1001|primary_300s|fixed|1346362882|8193|8193
1788101839744|1001|primary_300s|rotating|1346362882|8193|8193
1788101844755|1001|primary_300s|fixed|1346362882|8193|8193
1788101844755|1001|primary_300s|rotating|1346362882|8193|8193
1788101849759|1001|primary_300s|fixed|1350557186|8193|8193
1788101849759|1001|primary_300s|rotating|1346362882|8193|8193
1788101854785|1001|primary_300s|fixed|1350557186|8193|8193
1788101854785|1001|primary_300s|rotating|1346362882|8193|8193
1788101859837|1001|primary_300s|fixed|1350557186|8193|8193
1788101859837|1001|primary_300s|rotating|1346362882|8193|8193
1788101864818|1001|primary_300s|fixed|1346362883|8193|8193
1788101864818|1001|primary_300s|rotating|1346362883|8193|8193
1788101869808|1001|primary_300s|fixed|1350557186|8193|8193
1788101869808|1001|primary_300s|rotating|1350557186|8193|8193
1788101874844|1001|primary_300s|fixed|1346362882|8193|8193
1788101874844|1001|primary_300s|rotating|1346362882|8193|8193
1788101879844|1001|primary_300s|fixed|1350557186|8193|8193
1788101879844|1001|primary_300s|rotating|1350557186|8193|8193
1788101884854|1001|primary_300s|fixed|1346362882|8193|8193
1788101884854|1001|primary_300s|rotating|1350557186|8193|8193
1788101889890|1001|primary_300s|fixed|1350557186|8193|8193
1788101889890|1001|primary_300s|rotating|1346362882|8193|8193
1788101894866|1001|primary_300s|fixed|1350557186|8193|8193
1788101894866|1001|primary_300s|rotating|1350557186|8193|8193
1788101899908|1001|primary_300s|fixed|1346362882|8193|8193
1788101899908|1001|primary_300s|rotating|1350557186|8193|8193
1788101904915|1001|primary_300s|fixed|1350557186|8193|8193
1788101904915|1001|primary_300s|rotating|1350557186|8193|8193
1788101909897|1001|primary_300s|fixed|1346362882|8193|8193
1788101909897|1001|primary_300s|rotating|1346362882|8193|8193
1788101914927|1001|primary_300s|fixed|1346362882|8193|8193
1788101914927|1001|primary_300s|rotating|1350557186|8193|8193
1788101919966|1001|primary_300s|fixed|1346362882|8193|8193
1788101919966|1001|primary_300s|rotating|1346362882|8193|8193
1788101924962|1001|primary_300s|fixed|1346362882|8193|8193
1788101924962|1001|primary_300s|rotating|1346362882|8193|8193
1788101929960|1001|primary_300s|fixed|1350557186|8193|8193
1788101929960|1001|primary_300s|rotating|1346362882|8193|8193
1788101934989|1001|primary_300s|fixed|1346362882|8193|8193
1788101934989|1001|primary_300s|rotating|1350557186|8193|8193
1788101940005|1001|primary_300s|fixed|1346362882|8193|8193
1788101940005|1001|primary_300s|rotating|1350557186|8193|8193
1788101945013|1001|primary_300s|fixed|1346362882|8193|8193
1788101945013|1001|primary_300s|rotating|1350557186|8193|8193
1788101950054|1001|primary_300s|fixed|1350557186|8193|8193
1788101950054|1001|primary_300s|rotating|1346362882|8193|8193
1788101955028|1001|primary_300s|fixed|1350557187|8193|8193
1788101955028|1001|primary_300s|rotating|1350557187|8193|8193
1788101960056|1001|primary_300s|fixed|1350557186|8193|8193
1788101960056|1001|primary_300s|rotating|1346362882|8193|8193
1788101965061|1001|primary_300s|fixed|1346362882|8193|8193
1788101965061|1001|primary_300s|rotating|1350557186|8193|8193
1788101970075|1001|primary_300s|fixed|1350557186|8193|8193
1788101970075|1001|primary_300s|rotating|1346362882|8193|8193
1788101975081|1001|primary_300s|fixed|1346362882|8193|8193
1788101975081|1001|primary_300s|rotating|1346362882|8193|8193
1788101980083|1001|primary_300s|fixed|1346362882|8193|8193
1788101980083|1001|primary_300s|rotating|1350557186|8193|8193
1788101985096|1001|primary_300s|fixed|1350557186|8193|8193
1788101985096|1001|primary_300s|rotating|1350557186|8193|8193
1788101990118|1001|primary_300s|fixed|1346362883|8193|8193
1788101990118|1001|primary_300s|rotating|1350557187|8193|8193
1788101995128|1001|primary_300s|fixed|1350557186|8193|8193
1788101995128|1001|primary_300s|rotating|1350557186|8193|8193
1788102000165|1001|primary_300s|fixed|1346362882|8193|8193
1788102000165|1001|primary_300s|rotating|1346362882|8193|8193
1788102005145|1001|primary_300s|fixed|1346362882|8193|8193
1788102005145|1001|primary_300s|rotating|1346362882|8193|8193
1788102010133|1001|primary_300s|fixed|1346362883|8193|8193
1788102010133|1001|primary_300s|rotating|1346362883|8193|8193
1788102015169|1001|primary_300s|fixed|1350557186|8193|8193
1788102015169|1001|primary_300s|rotating|1350557186|8193|8193
1788102020164|1001|primary_300s|fixed|1346362882|8193|8193
1788102020164|1001|primary_300s|rotating|1346362882|8193|8193
1788102025199|1001|primary_300s|fixed|1350557186|8193|8193
1788102025199|1001|primary_300s|rotating|1346362882|8193|8193
1788102030152|1001|primary_300s|fixed|1350557186|8193|8193
1788102030152|1001|primary_300s|rotating|1346362882|8193|8193
1788102035169|1001|primary_300s|fixed|1346362882|8193|8193
1788102035169|1001|primary_300s|rotating|1346362882|8193|8193
1788102040177|1001|primary_300s|fixed|1350557186|8193|8193
1788102040177|1001|primary_300s|rotating|1346362882|8193|8193
1788102045188|1001|primary_300s|fixed|1350557186|8193|8193
1788102045188|1001|primary_300s|rotating|1350557186|8193|8193
1788102050195|1001|primary_300s|fixed|1346362882|8193|8193
1788102050195|1001|primary_300s|rotating|1346362882|8193|8193
1788102055202|1001|primary_300s|fixed|1346362882|8193|8193
1788102055202|1001|primary_300s|rotating|1350557186|8193|8193
1788102059768|1001|primary_300s_terminal|fixed|1350565379|8193|8193
1788102059768|1001|primary_300s_terminal|rotating|1350565379|8193|8193
1788102060340|1002|P10_5-PERFORMANCE_endpoint_shutdown_terminal|fixed|1350565379|8193|8193
1788102060340|1002|P10_5-PERFORMANCE_endpoint_shutdown_terminal|rotating|1350565379|8193|8193
