captured_ms|sequence|label|role|admission_snapshot_words_csv|ps_runtime_words_csv|pl_perf_snapshot_words_csv
1788101325155|1001|twoplustwo_f3_rC|fixed|2,1378943233,16780339,6080652,6072586,6080652,6072586,6080652,6072586,10975,10944,5481,5471,0,0,0,0,177361054,177197625,4096,4096,0,0,5482,5482,362239044,362239033,362239052,362239041,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,1073261882,0,2731604,0,2621440,0,2621440,0,3064138,0,10,10,298584117,0,298584117,0,2080,308405690,0,14290791,0,0,0,0,0
1788101325155|1001|twoplustwo_f3_rC|rotating|2,1378943233,33558272,6175658,6167580,0,0,0,0,0,0,0,0,0,0,5567,5557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,96,0,80,0,13,10,0,1,96,0|4,395247453,0,2765688,0,2621440,0,2621440,0,3102232,0,10,10,302463672,0,302463672,0,2080,311976970,0,14288059,0,0,0,0,0
1788101330160|1001|twoplustwo_f3_rC|fixed|4,1378943233,16780339,12143674,12127256,12143674,12127256,12143674,12127256,21919,21858,10948,10928,0,0,0,0,354262753,353937052,4096,4096,0,0,10949,10949,682512935,682512964,682512943,682512972,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,176,0,160,0,23,20,0,1,176,0|6,1393498014,0,5425168,0,5242880,0,5242880,0,6093053,0,20,20,593762189,0,593762189,0,2080,613397962,0,26324796,0,0,0,0,0
1788101330160|1001|twoplustwo_f3_rC|rotating|4,1378943233,33555404,12216544,12200154,0,0,0,0,0,0,0,0,0,0,11014,10994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,176,0,160,0,23,20,0,1,176,0|6,714742067,0,5452832,0,5242880,0,5242880,0,6123209,0,20,20,596901615,0,596901615,0,2080,615907058,0,26323058,0,0,0,0,0
1788101335173|1001|twoplustwo_f3_rC|fixed|6,1378943233,16780339,18220998,18195817,18220998,18195817,18220998,18195817,32885,32794,16426,16396,0,0,0,0,531496832,531009502,4096,4096,0,0,16427,16427,1003368974,1003368955,1003368966,1003368963,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,256,0,240,0,33,30,0,1,256,0|8,1714323637,0,8124164,0,7864320,0,7864320,0,9129237,0,30,30,889524547,0,889524547,0,2054,918979350,0,38359141,0,0,0,0,0
1788101335173|1001|twoplustwo_f3_rC|rotating|6,1378943233,33558272,18292986,18266927,0,0,0,0,0,0,0,0,0,0,16492,16461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|5,0,30000000,262144,115,0,0,0,0,264,0,248,0,34,31,0,1,264,0|8,1036360065,0,8144744,0,8126464,0,8126464,0,9150769,0,31,31,891027591,0,891027591,0,2080,920404114,0,39557195,0,0,0,0,0
1788101340202|1001|twoplustwo_f3_rC|fixed|8,1378943233,16780339,24287287,24252030,24287287,24252030,24287287,24252030,43838,43714,21897,21856,0,0,0,0,708502472,707835848,4096,4096,0,0,21898,21898,1325393434,1325393439,1325393386,1325393415,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,344,0,328,0,44,41,0,1,344,0|10,2035231781,0,10809656,0,10747904,0,10747904,0,12148856,0,41,41,1182934399,0,1182934399,0,2080,1223119113,0,51596667,0,0,0,0,0
1788101340202|1001|twoplustwo_f3_rC|rotating|8,1378943233,33555404,24339395,24304067,0,0,0,0,0,0,0,0,0,0,21944,21903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,344,0,328,0,44,41,0,1,344,0|10,1356397093,0,10836824,0,10747904,0,10747904,0,12176765,0,41,41,1186010247,0,1186010247,0,2080,1224877327,0,51588616,0,0,0,0,0
1788101345213|1001|twoplustwo_f3_rC|fixed|10,1378943233,16780339,30359421,30314887,30359421,30314887,30359421,30314887,54799,54645,27373,27322,0,0,0,0,885680213,884850024,4096,4096,0,0,27374,27374,1646148834,1646148855,1646148842,1646148831,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,424,0,408,0,54,51,0,1,424,0|12,2357261582,0,13519520,0,13369344,0,13369344,0,15195244,0,51,51,1479899812,0,1479899812,0,2080,1529904925,0,63630759,0,0,0,0,0
1788101345213|1001|twoplustwo_f3_rC|rotating|10,1378943233,33555404,30428242,30383663,0,0,0,0,0,0,0,0,0,0,27434,27383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,256,131072,4,15|4,0,30000000,262144,115,0,0,0,0,424,0,408,0,54,51,0,1,424,0|12,1678100732,0,13543728,0,13369344,0,13369344,0,15219251,0,51,51,1482655301,0,1482655301,0,2080,1531017345,0,63620556,0,0,0,0,0
