scope,lane_mask,ack_lane_mask,payload_len,payload_pattern,source_stage,source_evidence,sent_frames,rx_good,ack_seen,crc_bad,payload_mismatch,retry_count,max_latency_cycles,txd_high_consecutive_max_cycles,duty_window_violation,shutdown_status,status,reason
lane0,0x1,0x1,0,zero,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane0,0x1,0x1,0,ff,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane0,0x1,0x1,0,aa55,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane0,0x1,0x1,0,55aa,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane0,0x1,0x1,0,counter8,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane0,0x1,0x1,0,counter16,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane0,0x1,0x1,0,walking1,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane0,0x1,0x1,0,walking0,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane0,0x1,0x1,0,prbs15,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane0,0x1,0x1,1,zero,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
lane0,0x1,0x1,1,ff,LANE0_ACK_RETRY_100,evidence/hardware/p5/protocol/lane0_ack_retry_100/p5_stage_result.json,,,,,,,,,,,UNSUPPORTED_BY_PROFILE_WITH_REASON,current RTL/profile exposes no hardware control for this payload length/pattern in P5; not promoted to PASS
