ack_frames,active_lane_count,application_goodput_bps,chip_cycles,configured_aggregate_raw_bps,configured_raw_bps_per_lane,data_frames,direction,dma_rx_completion_ticks,dma_tx_completion_ticks,encoded_transfer_bytes,frame_admission_duty_guard_cycles,frame_admission_duty_guard_us,frame_goodput_bps,integrity_verify_ticks,label,lane_mask,object_runtime_seconds,payload_prepare_ticks,pl_completion_ticks,ps_command_seconds,ps_to_ps_useful_goodput_bps,rate_select,rx_pulse_window_max_cycles,rx_pulse_window_min_cycles,scheduler_lane0_frames,scheduler_lane1_frames,theoretical_ack_air_bits,theoretical_data_air_bits,theoretical_serial_airtime_seconds,tx_attempts,tx_pulse_cycles,tx_retries,useful_bytes,window_high_watermark
1,1,124582.61419126547,32,1000000,1000000,1,0,171747,715,31,20480,320,124582.61419126547,12684,lane1_d0_r0_fixed_short,2,0.0019906469422712385,71707,256599,0.0019921409422279128,124582.61419126547,0,31,0,0,1,192,504,0.000696,1,8,0,31,1
1,1,421778.5558703953,32,1000000,1000000,1,0,751578,709,247,20480,320,421778.5558703953,59780,lane1_d0_r0_prbs,2,0.004684922864137237,375070,836421,0.004686410864094085,421778.5558703953,0,31,0,0,1,192,2232,0.002424,1,8,0,247,1
1,1,433051.8621895768,32,1000000,1000000,1,0,751562,738,247,20480,320,433051.8621895768,59927,lane1_d0_r0_zero,2,0.004562963867674048,334249,836419,0.004564454867630809,433051.8621895768,0,31,0,0,1,192,2232,0.002424,1,8,0,247,1
1,1,432413.04576641164,32,1000000,1000000,1,0,751602,682,247,20480,320,432413.04576641164,58922,lane1_d0_r0_one,2,0.0045697048674785586,337542,836466,0.00457119586743532,432413.04576641164,0,31,0,0,1,192,2232,0.002424,1,8,0,247,1
1,1,430158.3808508123,32,1000000,1000000,1,0,751642,714,247,20480,320,430158.3808508123,59490,lane1_d0_r0_increment,2,0.004593656866783951,344814,836506,0.004595150866740625,430158.3808508123,0,31,0,0,1,192,2232,0.002424,1,8,0,247,1
1,1,427803.4237488049,32,1000000,1000000,1,0,751571,705,247,20480,320,427803.4237488049,60529,lane1_d0_r0_binary,2,0.004618943866050628,352349,836407,0.004620437866007302,427803.4237488049,0,31,0,0,1,192,2232,0.002424,1,8,0,247,1
100,1,459309.4081728714,32,1000000,1000000,100,0,93580484,61785319,24700,20480,320,459309.4081728714,6615539,lane1_d0_r0_100f,2,0.4302110875238785,42793320,93665368,0.4302126475238332,459309.4081728714,0,31,0,0,100,19200,223200,0.2424,100,8,0,24700,32
10000,1,462531.71221964277,32,1000000,1000000,10000,0,9376525922,9344740025,2470000,20480,320,462531.71221964277,679183296,lane1_d0_r0_10000f,2,42.72139504807954,4180758808,9376610788,42.721396614079495,462531.71221964277,0,31,0,0,10000,1920000,22320000,24.24,10000,8,0,2470000,32
1,1,156614.00974922182,16,2000000,2000000,1,0,86453,732,31,20480,320,156614.00974922182,12563,lane1_d0_r1_fixed_short,2,0.0015835109540781823,70922,154395,0.0015850019540349434,156614.00974922182,1,15,0,0,1,192,504,0.000348,1,8,0,31,1
1,1,562310.7948883219,16,2000000,2000000,1,0,393417,697,247,20480,320,562310.7948883219,60056,lane1_d0_r1_prbs,2,0.003514070898091944,376519,444436,0.0035155708980484437,562310.7948883219,1,15,0,0,1,192,2232,0.001212,1,8,0,247,1
1,1,582894.4832118428,16,2000000,2000000,1,0,393423,663,247,20480,320,582894.4832118428,60523,lane1_d0_r1_zero,2,0.003389978901690612,334583,444469,0.00339146690164746,582894.4832118428,1,15,0,0,1,192,2232,0.001212,1,8,0,247,1
1,1,581265.3868544601,16,2000000,2000000,1,0,393464,700,247,20480,320,581265.3868544601,59132,lane1_d0_r1_one,2,0.0033994799014150827,339225,444493,0.003400970901371844,581265.3868544601,1,15,0,0,1,192,2232,0.001212,1,8,0,247,1
1,1,578301.3094028981,16,2000000,2000000,1,0,393396,707,247,20480,320,578301.3094028981,59664,lane1_d0_r1_increment,2,0.003416903900909787,344506,444447,0.003418400900866374,578301.3094028981,1,15,0,0,1,192,2232,0.001212,1,8,0,247,1
1,1,574533.1939171591,16,2000000,2000000,1,0,393427,705,247,20480,320,574533.1939171591,60763,lane1_d0_r1_binary,2,0.003439313900259897,350814,444474,0.0034408049002166577,574533.1939171591,1,15,0,0,1,192,2232,0.001212,1,8,0,247,1
100,1,641393.2535046095,16,2000000,2000000,100,0,53212359,35130992,24700,20480,320,641393.2535046095,6789091,lane1_d0_r1_100f,2,0.3080793240656996,41016762,53263403,0.3080808930656541,641393.2535046095,1,15,0,0,100,19200,223200,0.1212,100,8,0,24700,32
10000,1,646040.8542955723,16,2000000,2000000,10000,0,5336559731,5318462807,2470000,20480,320,646040.8542955723,677476091,lane1_d0_r1_10000f,2,30.586300956997274,4175957767,5336610763,30.586302516997225,646040.8542955723,1,15,0,0,10000,1920000,22320000,12.12,10000,8,0,2470000,32
1,1,179490.46941243653,8,4000000,4000000,1,0,52326,703,31,20480,320,179490.46941243653,12659,lane1_d0_r2_fixed_short,2,0.0013816889599310201,71583,86431,0.0013831829598876942,179490.46941243653,2,4,3,0,1,192,504,0.000174,1,8,0,31,1
1,1,681471.4462451476,8,4000000,4000000,1,0,205814,711,247,20480,320,681471.4462451476,59726,lane1_d0_r2_prbs,2,0.0028996079159113704,376567,239913,0.0029010989158681313,681471.4462451476,2,4,3,0,1,192,2232,0.000606,1,8,0,247,1
1,1,712096.7274197594,8,4000000,4000000,1,0,205805,681,247,20480,320,712096.7274197594,60184,lane1_d0_r2_zero,2,0.0027749039195277864,334577,239923,0.0027764009194843732,712096.7274197594,2,4,3,0,1,192,2232,0.000606,1,8,0,247,1
1,1,709515.5356623109,8,4000000,4000000,1,0,205754,691,247,20480,320,709515.5356623109,60093,lane1_d0_r2_one,2,0.0027849989192350313,338025,239851,0.002786486919191879,709515.5356623109,2,4,3,0,1,192,2232,0.000606,1,8,0,247,1
1,1,703712.746069394,8,4000000,4000000,1,0,205807,709,247,20480,320,703712.746069394,60633,lane1_d0_r2_increment,2,0.0028079639185690465,345100,239918,0.0028094549185258074,703712.746069394,2,4,3,0,1,192,2232,0.000606,1,8,0,247,1
1,1,699064.950173581,8,4000000,4000000,1,0,205865,749,247,20480,320,699064.950173581,59863,lane1_d0_r2_binary,2,0.0028266329180276456,352041,239969,0.0028281209179844935,699064.950173581,2,4,3,0,1,192,2232,0.000606,1,8,0,247,1
100,1,777599.4666580785,8,4000000,4000000,100,0,33795999,21797637,24700,20480,320,777599.4666580785,5937413,lane1_d0_r2_100f,2,0.25411540063065335,44641994,33796293,0.25411696663060795,777599.4666580785,2,4,3,0,100,19200,223200,0.0606,100,8,0,24700,32
10000,1,804186.7196719989,8,4000000,4000000,10000,0,3317366216,3305331170,2470000,20480,320,804186.7196719989,683277008,lane1_d0_r2_10000f,2,24.571408003429166,4185913508,3317366535,24.571409575429122,804186.7196719989,2,4,3,0,10000,1920000,22320000,6.06,10000,8,0,2470000,32
1,1,131066.31278340447,32,1000000,1000000,1,1,171738,699,31,20480,320,131066.31278340447,12529,lane1_d1_r0_fixed_short,2,0.0018921719451270135,71682,256602,0.0018937019450826437,131066.31278340447,0,31,0,0,1,192,504,0.000696,1,8,0,31,1
1,1,421415.8714050359,32,1000000,1000000,1,1,751568,698,247,20480,320,421415.8714050359,60221,lane1_d1_r0_prbs,2,0.004688954864020309,375959,836411,0.004690448863976983,421415.8714050359,0,31,0,0,1,192,2232,0.002424,1,8,0,247,1
1,1,432463.2980280462,32,1000000,1000000,1,1,751555,692,247,20480,320,432463.2980280462,60386,lane1_d1_r0_zero,2,0.004569173867493958,335947,836420,0.004570667867450632,432463.2980280462,0,31,0,0,1,192,2232,0.002424,1,8,0,247,1
