ack_frames,active_lane_count,application_goodput_bps,chip_cycles,configured_aggregate_raw_bps,configured_raw_bps_per_lane,data_frames,direction,dma_rx_completion_ticks,dma_tx_completion_ticks,encoded_transfer_bytes,frame_admission_duty_guard_cycles,frame_admission_duty_guard_us,frame_goodput_bps,integrity_verify_ticks,label,lane_mask,object_runtime_seconds,payload_prepare_ticks,pl_completion_ticks,ps_command_seconds,ps_to_ps_useful_goodput_bps,rate_select,rx_pulse_window_max_cycles,rx_pulse_window_min_cycles,scheduler_lane0_frames,scheduler_lane1_frames,theoretical_ack_air_bits,theoretical_data_air_bits,theoretical_serial_airtime_seconds,tx_attempts,tx_pulse_cycles,tx_retries,useful_bytes,window_high_watermark
1,1,124506.43351431949,32,1000000,1000000,1,0,171723,694,31,20480,320,124506.43351431949,12677,lane0_d0_r0_fixed_short,1,0.0019918649422359168,71640,256574,0.0019933559421926777,124506.43351431949,0,31,0,1,0,192,504,0.000696,1,8,0,31,1
1,1,421443.6443493495,32,1000000,1000000,1,0,751534,697,247,20480,320,421443.6443493495,59140,lane0_d0_r0_prbs,1,0.00468864586402927,376545,836393,0.004690136863986031,421443.6443493495,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,432627.7641714598,32,1000000,1000000,1,0,751548,717,247,20480,320,432627.7641714598,59611,lane0_d0_r0_zero,1,0.004567436867544331,335661,836418,0.004568924867501179,432627.7641714598,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,431563.9337715367,32,1000000,1000000,1,0,751583,700,247,20480,320,431563.9337715367,60021,lane0_d0_r0_one,1,0.00457869586721782,338988,836439,0.004580177867174842,431563.9337715367,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,430195.18523298466,32,1000000,1000000,1,0,751607,723,247,20480,320,430195.18523298466,59278,lane0_d0_r0_increment,1,0.0045932638667953475,344479,836453,0.004594748866752283,430195.18523298466,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,428019.150239916,32,1000000,1000000,1,0,751571,694,247,20480,320,428019.150239916,60119,lane0_d0_r0_binary,1,0.00461661586611814,351504,836439,0.0046181008660750745,428019.150239916,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
100,1,461141.38494196057,32,1000000,1000000,100,0,93580450,61791463,24700,20480,320,461141.38494196057,6675702,lane0_d0_r0_100f,1,0.4285019875734424,42163022,93665333,0.42850354457339723,461141.38494196057,0,31,0,100,0,19200,223200,0.2424,100,8,0,24700,32
10000,1,462563.7933159423,32,1000000,1000000,10000,0,9376534235,9344734184,2470000,20480,320,462563.7933159423,679625393,lane0_d0_r0_10000f,1,42.71843210716547,4179320280,9376619106,42.718433670165425,462563.7933159423,0,31,0,10000,0,1920000,22320000,24.24,10000,8,0,2470000,32
1,1,156507.85990779923,16,2000000,2000000,1,0,86379,704,31,20480,320,156507.85990779923,12718,lane0_d0_r1_fixed_short,1,0.0015845849540470362,70823,154307,0.0015860729540038844,156507.85990779923,1,15,0,1,0,192,504,0.000348,1,8,0,31,1
1,1,562061.2792707767,16,2000000,2000000,1,0,393397,706,247,20480,320,562061.2792707767,60186,lane0_d0_r1_prbs,1,0.003515630898046704,376434,444428,0.003517115898003639,562061.2792707767,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,581811.174985889,16,2000000,2000000,1,0,393380,702,247,20480,320,581811.174985889,60233,lane0_d0_r1_zero,1,0.003396290901507564,336682,444425,0.003397775901464499,581811.174985889,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,581370.5626154613,16,2000000,2000000,1,0,393387,723,247,20480,320,581370.5626154613,59759,lane0_d0_r1_one,1,0.003398864901432918,338008,444399,0.003400349901389853,581370.5626154613,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,578226.6810357163,16,2000000,2000000,1,0,393375,709,247,20480,320,578226.6810357163,59938,lane0_d0_r1_increment,1,0.0034173449008969977,343941,444395,0.0034188269008540197,578226.6810357163,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,574297.2509309805,16,2000000,2000000,1,0,393387,708,247,20480,320,574297.2509309805,59604,lane0_d0_r1_binary,1,0.00344072690021892,352064,444413,0.003442208900175942,574297.2509309805,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
100,1,640758.2924421086,16,2000000,2000000,100,0,53213845,35123619,24700,20480,320,640758.2924421086,5889429,lane0_d0_r1_100f,1,0.30838461605684614,43310677,53264884,0.308386173056801,640758.2924421086,1,15,0,100,0,19200,223200,0.1212,100,8,0,24700,32
10000,1,645434.2392917463,16,2000000,2000000,10000,0,5336565470,5318472626,2470000,20480,320,645434.2392917463,681999127,lane0_d0_r1_10000f,1,30.61504766416362,4180934397,5336616494,30.615049221163574,645434.2392917463,1,15,0,10000,0,1920000,22320000,12.12,10000,8,0,2470000,32
1,1,179659.76729134654,8,4000000,4000000,1,0,52288,710,31,20480,320,179659.76729134654,12520,lane0_d0_r2_fixed_short,1,0.0013803869599687782,70819,86401,0.0013818719599257131,179659.76729134654,2,4,3,1,0,192,504,0.000174,1,8,0,31,1
1,1,682303.0272375637,8,4000000,4000000,1,0,205759,696,247,20480,320,682303.0272375637,59452,lane0_d0_r2_prbs,1,0.0028960739160138562,375318,239852,0.0028975559159708786,682303.0272375637,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,712642.206487352,8,4000000,4000000,1,0,205769,699,247,20480,320,712642.206487352,59484,lane0_d0_r2_zero,1,0.0027727799195893825,334042,239881,0.0027742649195463174,712642.206487352,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,708943.5440230248,8,4000000,4000000,1,0,205787,717,247,20480,320,708943.5440230248,59423,lane0_d0_r2_one,1,0.0027872459191698685,339024,239888,0.0027887279191268904,708943.5440230248,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,703710.4905581357,8,4000000,4000000,1,0,205774,699,247,20480,320,703710.4905581357,60941,lane0_d0_r2_increment,1,0.0028079729185687854,344373,239880,0.0028094579185257203,703710.4905581357,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,700394.8076161552,8,4000000,4000000,1,0,205750,702,247,20480,320,700394.8076161552,59241,lane0_d0_r2_binary,1,0.0028212659181832884,350553,239857,0.0028227539181401363,700394.8076161552,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
100,1,814547.4750527426,8,4000000,4000000,100,0,33216493,21790338,24700,20480,320,814547.4750527426,6676309,lane0_d0_r2_100f,1,0.24258868396492816,40639853,33216791,0.24259024396488293,814547.4750527426,2,4,3,100,0,19200,223200,0.0606,100,8,0,24700,32
10000,1,806973.5825773823,8,4000000,4000000,10000,0,3317802388,3305328980,2470000,20480,320,806973.5825773823,676023144,lane0_d0_r2_10000f,1,24.486551265890014,4163676316,3317802687,24.48655281688997,806973.5825773823,2,4,3,10000,0,1920000,22320000,6.06,10000,8,0,2470000,32
1,1,131164.6773491831,32,1000000,1000000,1,1,171674,702,31,20480,320,131164.6773491831,12551,lane0_d1_r0_fixed_short,1,0.0018907529451681645,70854,256512,0.0018922409451250127,131164.6773491831,0,31,0,1,0,192,504,0.000696,1,8,0,31,1
1,1,421676.48778151866,32,1000000,1000000,1,1,751584,693,247,20480,320,421676.48778151866,59727,lane0_d1_r0_prbs,1,0.004686056864104351,375042,836420,0.0046875508640610245,421676.48778151866,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,432916.94815118617,32,1000000,1000000,1,1,751617,704,247,20480,320,432916.94815118617,59839,lane0_d1_r0_zero,1,0.00456438586763281,334315,836498,0.004565867867589832,432916.94815118617,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,432058.48910812504,32,1000000,1000000,1,1,751615,720,247,20480,320,432058.48910812504,59590,lane0_d1_r0_one,1,0.004573454867369809,337627,836446,0.0045749398673267435,432058.48910812504,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,429920.2879299665,32,1000000,1000000,1,1,751623,704,247,20480,320,429920.2879299665,60508,lane0_d1_r0_increment,1,0.004596200866710175,344347,836488,0.004597694866666849,429920.2879299665,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,427590.69040400826,32,1000000,1000000,1,1,751520,681,247,20480,320,427590.69040400826,60734,lane0_d1_r0_binary,1,0.004621241865983986,352530,836375,0.004622723865941008,427590.69040400826,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
100,1,457283.73177394026,32,1000000,1000000,100,1,94772323,61798978,24700,20480,320,457283.73177394026,6643643,lane0_d1_r0_100f,1,0.43211683746861174,42292759,94772618,0.43211839446856654,457283.73177394026,0,31,0,100,0,19200,223200,0.2424,100,8,0,24700,32
10000,1,462510.66282613296,32,1000000,1000000,10000,1,9376527134,9344737135,2470000,20480,320,462510.66282613296,677382630,lane0_d1_r0_10000f,1,42.72333934802316,4182472023,9376611994,42.72334090802311,462510.66282613296,0,31,0,10000,0,1920000,22320000,24.24,10000,8,0,2470000,32
1,1,156277.37670282472,16,2000000,2000000,1,1,86467,714,31,20480,320,156277.37670282472,12635,lane0_d1_r1_fixed_short,1,0.0015869219539792632,71625,154388,0.0015884069539361984,156277.37670282472,1,15,0,1,0,192,504,0.000348,1,8,0,31,1
1,1,562658.0859329219,16,2000000,2000000,1,1,393426,682,247,20480,320,562658.0859329219,59335,lane0_d1_r1_prbs,1,0.0035119018981548448,376079,444452,0.00351338689811178,562658.0859329219,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,582667.6023859883,16,2000000,2000000,1,1,393359,684,247,20480,320,582667.6023859883,59686,lane0_d1_r1_zero,1,0.003391298901652332,335544,444405,0.0033927809016093538,582667.6023859883,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
