ack_frames,active_lane_count,application_goodput_bps,chip_cycles,configured_aggregate_raw_bps,configured_raw_bps_per_lane,data_frames,direction,dma_rx_completion_ticks,dma_tx_completion_ticks,encoded_transfer_bytes,frame_admission_duty_guard_cycles,frame_admission_duty_guard_us,frame_goodput_bps,integrity_verify_ticks,label,lane_mask,object_runtime_seconds,payload_prepare_ticks,pl_completion_ticks,ps_command_seconds,ps_to_ps_useful_goodput_bps,rate_select,rx_pulse_window_max_cycles,rx_pulse_window_min_cycles,scheduler_lane0_frames,scheduler_lane1_frames,theoretical_ack_air_bits,theoretical_data_air_bits,theoretical_serial_airtime_seconds,tx_attempts,tx_pulse_cycles,tx_retries,useful_bytes,window_high_watermark
1,1,124486.93423927693,32,1000000,1000000,1,0,171698,705,31,20480,320,124486.93423927693,12748,lane0_d0_r0_fixed_short,1,0.0019921769422268686,71607,256539,0.0019936469421842386,124486.93423927693,0,31,0,1,0,192,504,0.000696,1,8,0,31,1
1,1,421811.509029349,32,1000000,1000000,1,0,751556,681,247,20480,320,421811.509029349,59355,lane0_d0_r0_prbs,1,0.004684556864147851,375000,836436,0.004686020864105395,421811.509029349,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,432648.2246652833,32,1000000,1000000,1,0,751562,706,247,20480,320,432648.2246652833,59698,lane0_d0_r0_zero,1,0.004567220867550595,335538,836408,0.004568687867508052,432648.2246652833,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,431725.1696430795,32,1000000,1000000,1,0,751641,707,247,20480,320,431725.1696430795,59399,lane0_d0_r0_one,1,0.00457698586726741,339023,836507,0.004578449867224954,431725.1696430795,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,429864.73342926975,32,1000000,1000000,1,0,751630,722,247,20480,320,429864.73342926975,60609,lane0_d0_r0_increment,1,0.004596794866692949,344446,836464,0.004598258866650493,429864.73342926975,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,428159.656160071,32,1000000,1000000,1,0,751603,689,247,20480,320,428159.656160071,59221,lane0_d0_r0_binary,1,0.004615100866162075,351811,836456,0.004616567866119532,428159.656160071,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
100,1,482763.3698212279,32,1000000,1000000,100,0,93596074,61786228,24700,20480,320,482763.3698212279,5932329,lane0_d0_r0_100f,1,0.40931025913000246,36511053,93664021,0.4093117261299599,482763.3698212279,0,31,0,100,0,19200,223200,0.2424,100,8,0,24700,32
10000,1,483581.96602336376,32,1000000,1000000,10000,0,9376533362,9344740677,2470000,20480,320,483581.96602336376,594115483,lane0_d0_r0_10000f,1,40.861738833009575,3645933836,9376618256,40.86174030000953,483581.96602336376,0,31,0,10000,0,1920000,22320000,24.24,10000,8,0,2470000,32
1,1,156489.1947949676,16,2000000,2000000,1,0,86420,705,31,20480,320,156489.1947949676,12713,lane0_d0_r1_fixed_short,1,0.0015847739540415554,70890,154361,0.0015862439539989254,156489.1947949676,1,15,0,1,0,192,504,0.000348,1,8,0,31,1
1,1,563067.8927937,16,2000000,2000000,1,0,393386,681,247,20480,320,563067.8927937,59620,lane0_d0_r1_prbs,1,0.003509345898228969,375019,444428,0.003510809898186513,563067.8927937,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,582288.4871915691,16,2000000,2000000,1,0,393412,723,247,20480,320,582288.4871915691,60166,lane0_d0_r1_zero,1,0.0033935069015883,335819,444428,0.003394973901545757,582288.4871915691,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,581156.1469772088,16,2000000,2000000,1,0,393442,693,247,20480,320,581156.1469772088,58873,lane0_d0_r1_one,1,0.0034001189013965517,339291,444468,0.0034015829013540957,581156.1469772088,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,577463.2290375155,16,2000000,2000000,1,0,393384,686,247,20480,320,577463.2290375155,59215,lane0_d0_r1_increment,1,0.003421862900765976,346211,444397,0.003423329900723433,577463.2290375155,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,574587.3228197814,16,2000000,2000000,1,0,393424,674,247,20480,320,574587.3228197814,60234,lane0_d0_r1_binary,1,0.003438989900269293,350840,444457,0.00344045690022675,574587.3228197814,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
100,1,685840.2669678977,16,2000000,2000000,100,0,53219413,35122584,24700,20480,320,685840.2669678977,5929267,lane0_d0_r1_100f,1,0.2881137336447017,36508869,53270447,0.2881152006446592,685840.2669678977,1,15,0,100,0,19200,223200,0.1212,100,8,0,24700,32
10000,1,688120.7645488016,16,2000000,2000000,10000,0,5336558758,5318462015,2470000,20480,320,688120.7645488016,587858971,lane0_d0_r1_10000f,1,28.7158897362392,3643582347,5336609803,28.715891248239153,688120.7645488016,1,15,0,10000,0,1920000,22320000,12.12,10000,8,0,2470000,32
1,1,179284.54422110989,8,4000000,4000000,1,0,52321,714,31,20480,320,179284.54422110989,12735,lane0_d0_r2_fixed_short,1,0.0013832759598849972,71610,86422,0.0013847399598425412,179284.54422110989,2,4,3,1,0,192,504,0.000174,1,8,0,31,1
1,1,680864.9249150039,8,4000000,4000000,1,0,205814,711,247,20480,320,680864.9249150039,60375,lane0_d0_r2_prbs,1,0.0029021909158364633,376323,239915,0.0029036579157939203,680864.9249150039,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,711930.4762814748,8,4000000,4000000,1,0,205749,693,247,20480,320,711930.4762814748,60102,lane0_d0_r2_zero,1,0.0027755519195089944,334494,239855,0.0027770189194664513,711930.4762814748,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,708987.8041557592,8,4000000,4000000,1,0,205792,699,247,20480,320,708987.8041557592,59236,lane0_d0_r2_one,1,0.0027870719191749145,339087,239921,0.0027885389191323715,708987.8041557592,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,703976.7407317155,8,4000000,4000000,1,0,205769,684,247,20480,320,703976.7407317155,60550,lane0_d0_r2_increment,1,0.0028069109185995833,344454,239876,0.0028083779185570402,703976.7407317155,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,699422.0060611853,8,4000000,4000000,1,0,205768,689,247,20480,320,699422.0060611853,60224,lane0_d0_r2_binary,1,0.0028251899180694925,350848,239875,0.0028266599180268625,699422.0060611853,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
100,1,868396.1484346681,8,4000000,4000000,100,0,33039656,21799452,24700,20480,320,868396.1484346681,5932374,lane0_d0_r2_100f,1,0.22754591940116833,36513132,33073776,0.22754738340112587,868396.1484346681,2,4,3,100,0,19200,223200,0.0606,100,8,0,24700,32
10000,1,872188.1940387283,8,4000000,4000000,10000,0,3316571956,3305331697,2470000,20480,320,872188.1940387283,587747405,lane0_d0_r2_10000f,1,22.655660939985832,3643621294,3316606083,22.65566245198579,872188.1940387283,2,4,3,10000,0,1920000,22320000,6.06,10000,8,0,2470000,32
1,1,131136.79586919106,32,1000000,1000000,1,1,171755,706,31,20480,320,131136.79586919106,12633,lane0_d1_r0_fixed_short,1,0.0018911549451565066,70817,256623,0.0018926189451140506,131136.79586919106,0,31,0,1,0,192,504,0.000696,1,8,0,31,1
1,1,421066.73018978053,32,1000000,1000000,1,1,751539,714,247,20480,320,421066.73018978053,60532,lane0_d1_r0_prbs,1,0.004692842863907557,376613,836375,0.004694309863865014,421066.73018978053,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,432921.216294751,32,1000000,1000000,1,1,751588,694,247,20480,320,432921.216294751,59850,lane0_d1_r0_zero,1,0.004564340867634115,334364,836454,0.004565804867591659,432921.216294751,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
