ack_frames,active_lane_count,application_goodput_bps,chip_cycles,configured_aggregate_raw_bps,configured_raw_bps_per_lane,data_frames,direction,dma_rx_completion_ticks,dma_tx_completion_ticks,encoded_transfer_bytes,frame_admission_duty_guard_cycles,frame_admission_duty_guard_us,frame_goodput_bps,integrity_verify_ticks,label,lane_mask,object_runtime_seconds,payload_prepare_ticks,pl_completion_ticks,ps_command_seconds,ps_to_ps_useful_goodput_bps,rate_select,rx_pulse_window_max_cycles,rx_pulse_window_min_cycles,scheduler_lane0_frames,scheduler_lane1_frames,theoretical_ack_air_bits,theoretical_data_air_bits,theoretical_serial_airtime_seconds,tx_attempts,tx_pulse_cycles,tx_retries,useful_bytes,window_high_watermark
1,1,124663.02388855127,32,1000000,1000000,1,0,171689,707,31,20480,320,124663.02388855127,12715,lane0_d0_r0_fixed_short,1,0.0019893629423084745,70831,256536,0.0019908269422660185,124663.02388855127,0,31,0,1,0,192,504,0.000696,1,8,0,31,1
1,1,421563.406527491,32,1000000,1000000,1,0,751565,706,247,20480,320,421563.406527491,59541,lane0_d0_r0_prbs,1,0.004687313864067898,375772,836429,0.004688780864025355,421563.406527491,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,432375.57710518874,32,1000000,1000000,1,0,751578,692,247,20480,320,432375.57710518874,60419,lane0_d0_r0_zero,1,0.004570100867467074,335816,836431,0.004571561867424706,432375.57710518874,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,431980.28134769975,32,1000000,1000000,1,0,751551,690,247,20480,320,431980.28134769975,59898,lane0_d0_r0_one,1,0.004574282867345797,337779,836405,0.004575749867303254,431980.28134769975,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,429232.7610817969,32,1000000,1000000,1,0,751541,700,247,20480,320,429232.7610817969,60959,lane0_d0_r0_increment,1,0.004603562866496677,346392,836386,0.004605026866454221,429232.7610817969,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,427744.52597508865,32,1000000,1000000,1,0,751530,679,247,20480,320,427744.52597508865,60456,lane0_d0_r0_binary,1,0.004619579866032184,352317,836377,0.004621046865989641,427744.52597508865,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
100,1,482986.32973815035,32,1000000,1000000,100,0,93579488,61786811,24700,20480,320,482986.32973815035,5888063,lane0_d0_r0_100f,1,0.40912131013548203,36492028,93664336,0.4091227771354395,482986.32973815035,0,31,0,100,0,19200,223200,0.2424,100,8,0,24700,32
10000,1,483904.7876852855,32,1000000,1000000,10000,0,9376181469,9344371729,2470000,20480,320,483904.7876852855,588056867,lane0_d0_r0_10000f,1,40.8344792258001,3643257873,9376266350,40.83448073780006,483904.7876852855,0,31,0,10000,0,1920000,22320000,24.24,10000,8,0,2470000,32
1,1,156275.89954232587,16,2000000,2000000,1,0,86399,706,31,20480,320,156275.89954232587,12762,lane0_d0_r1_fixed_short,1,0.0015869369539788284,71565,154343,0.0015884039539362854,156275.89954232587,1,15,0,1,0,192,504,0.000348,1,8,0,31,1
1,1,562043.5337132247,16,2000000,2000000,1,0,393430,700,247,20480,320,562043.5337132247,60265,lane0_d0_r1_prbs,1,0.003515741898043485,376498,444444,0.003517208898000942,562043.5337132247,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
