schema_version|1
label|lane0_d0_r0_fixed_short
sequence|1001
elapsed_ms|426
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x01000000
mm2s_taildesc|0x01000000
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x01001000
s2mm_taildesc|0x01001000
pl_status|0x0000006A
pl_object_error|0x00000000
pl_input_byte_count|0x0000001F
pl_output_byte_count|0x0000001F
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C00001F
tx_bd_1C|0x8000001F
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x103910E9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x0000001F
rx_bd_1C|0x8C00001F
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x103910E9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_buffer_00|0xAA55FF00
tx_buffer_04|0x8001817E
tx_buffer_08|0xCC33EF10
tx_buffer_0C|0xA55AF00F
tx_buffer_10|0x50414652
tx_buffer_14|0xFFFE0100
tx_buffer_18|0xADDE3713
tx_buffer_1C|0x7DC3EFBE
tx_buffer_20|0xB43621FB
tx_buffer_24|0xDD2B47BF
tx_buffer_28|0x11E83204
tx_buffer_2C|0x95570A3A
tx_buffer_30|0x0F14F699
tx_buffer_34|0x501A2B3A
tx_buffer_38|0x56EBCD15
tx_buffer_3C|0xA16ECDD3
rx_buffer_00|0xAA55FF00
rx_buffer_04|0x8001817E
rx_buffer_08|0xCC33EF10
rx_buffer_0C|0xA55AF00F
rx_buffer_10|0x50414652
rx_buffer_14|0xFFFE0100
rx_buffer_18|0xADDE3713
rx_buffer_1C|0x7DC3EFBE
rx_buffer_20|0xB43621FB
rx_buffer_24|0xDD2B47BF
rx_buffer_28|0x11E83204
rx_buffer_2C|0x95570A3A
rx_buffer_30|0x0F14F699
rx_buffer_34|0x501A2B3A
rx_buffer_38|0x56EBCD15
rx_buffer_3C|0xA16ECDD3
