ack_frames,active_lane_count,application_goodput_bps,chip_cycles,configured_aggregate_raw_bps,configured_raw_bps_per_lane,data_frames,direction,dma_rx_completion_ticks,dma_tx_completion_ticks,encoded_transfer_bytes,frame_goodput_bps,integrity_verify_ticks,label,lane_mask,object_runtime_seconds,payload_prepare_ticks,pl_completion_ticks,ps_command_seconds,ps_to_ps_useful_goodput_bps,rate_select,rx_pulse_window_max_cycles,rx_pulse_window_min_cycles,scheduler_lane0_frames,scheduler_lane1_frames,theoretical_ack_air_bits,theoretical_data_air_bits,theoretical_serial_airtime_seconds,tx_attempts,tx_pulse_cycles,tx_retries,useful_bytes,window_high_watermark
1,1,124737.7023678032,32,1000000,1000000,1,0,171672,717,31,124737.7023678032,12577,lane0_d0_r0_fixed_short,1,0.0019881719423430135,70963,256510,0.0019896659422996878,124737.7023678032,0,31,0,1,0,192,504,0.000696,1,8,0,31,1
1,1,421647.33454322215,32,1000000,1000000,1,0,751537,690,247,421647.33454322215,59606,lane0_d0_r0_prbs,1,0.004686380864094955,375834,836382,0.00468786586405189,421647.33454322215,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,432499.0779417597,32,1000000,1000000,1,0,751613,666,247,432499.0779417597,60295,lane0_d0_r0_zero,1,0.00456879586750492,335810,836496,0.004570286867461681,432499.0779417597,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,431779.790849896,32,1000000,1000000,1,0,751592,674,247,431779.790849896,59337,lane0_d0_r0_one,1,0.004576406867284201,339267,836455,0.004577903867240788,431779.790849896,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,430092.9351804693,32,1000000,1000000,1,0,751593,696,247,430092.9351804693,59850,lane0_d0_r0_increment,1,0.0045943558667636795,344826,836454,0.004595846866720441,430092.9351804693,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
1,1,428123.7557770706,32,1000000,1000000,1,0,751600,712,247,428123.7557770706,59677,lane0_d0_r0_binary,1,0.004615487866150852,352041,836450,0.0046169758661077,428123.7557770706,0,31,0,1,0,192,2232,0.002424,1,8,0,247,1
100,1,482203.6871127955,32,1000000,1000000,100,0,85394230,56052837,24700,482203.6871127955,8047152,lane0_d0_r0_100f,1,0.40978533611622525,42823938,85394524,0.40978689911617994,482203.6871127955,0,31,0,101,0,19200,223200,0.2424,100,8,0,24700,32
10000,1,486076.1667239879,32,1000000,1000000,10000,0,8509939401,8481088353,2470000,486076.1667239879,682290538,lane0_d0_r0_10000f,1,40.65206515509011,4354343055,8510142693,40.652066715090065,486076.1667239879,0,31,0,10002,0,1920000,22320000,24.24,10000,8,0,2470000,32
1,1,156384.98905431223,16,2000000,2000000,1,0,86452,710,31,156384.98905431223,12617,lane0_d0_r1_fixed_short,1,0.0015858299540109314,71669,154388,0.0015873179539677793,156384.98905431223,1,15,0,1,0,192,504,0.000348,1,8,0,31,1
1,1,562105.4082173777,16,2000000,2000000,1,0,393397,704,247,562105.4082173777,60447,lane0_d0_r1_prbs,1,0.003515354898054708,376564,444427,0.0035168488980113818,562105.4082173777,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,582648.5318212779,16,2000000,2000000,1,0,393374,680,247,582648.5318212779,60038,lane0_d0_r1_zero,1,0.0033914099016491128,335671,444405,0.0033928979016059607,582648.5318212779,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,582199.4461162053,16,2000000,2000000,1,0,393360,663,247,582199.4461162053,59284,lane0_d0_r1_one,1,0.003394025901573249,337350,444384,0.003395513901530097,582199.4461162053,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,577851.2931627268,16,2000000,2000000,1,0,393433,715,247,577851.2931627268,60652,lane0_d0_r1_increment,1,0.003419564900832618,344418,444453,0.003421052900789466,577851.2931627268,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,574414.4467857064,16,2000000,2000000,1,0,393427,712,247,574414.4467857064,60316,lane0_d0_r1_binary,1,0.003440024900239278,351556,444466,0.003441515900196039,574414.4467857064,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
100,1,681496.7590463777,16,2000000,2000000,100,0,45532443,29412697,24700,681496.7590463777,6694041,lane0_d0_r1_100f,1,0.2899500215914494,44093733,45532740,0.28995159059140385,681496.7590463777,1,15,0,102,0,19200,223200,0.1212,100,8,0,24700,32
10000,1,692620.261000954,16,2000000,2000000,10000,0,4470008912,4454870281,2470000,692620.261000954,678635610,lane0_d0_r1_10000f,1,28.529341563649094,4357105079,4470127617,28.52934312364905,692620.261000954,1,15,0,10001,0,1920000,22320000,12.12,10000,8,0,2470000,32
0,1,494.8255637222256,8,4000000,4000000,1,0,0,714,31,494.8255637222256,0,lane0_d0_r2_fixed_short,1,0.5011867174655852,70841,0,0.5011882864655397,494.8255637222256,2,7,0,8,0,0,504,0.000126,8,5,7,31,1
