schema_version|1
label|lane0_d0_r2_100f
sequence|1023
elapsed_ms|429
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x01000540
mm2s_taildesc|0x01000540
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x01001580
s2mm_taildesc|0x01001580
pl_status|0x00000205
pl_object_error|0x00000000
pl_input_byte_count|0x00005D97
pl_output_byte_count|0x00005014
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C00001F
tx_bd_1C|0x8000001F
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x103910E9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x0000001F
rx_bd_1C|0x8C00001F
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x103910E9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x01000580
tx_current_00|0x010005C0
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C00607C
tx_current_1C|0x8000607C
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x503910E9
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x01000580
tx_tail_00|0x010005C0
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C00607C
tx_tail_1C|0x8000607C
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x503910E9
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x01001580
rx_current_00|0x010015C0
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x0000607C
rx_current_1C|0x8C00607C
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x503910E9
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x01001580
rx_tail_00|0x010015C0
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x0000607C
rx_tail_1C|0x8C00607C
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x503910E9
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0x6171C05B
tx_buffer_04|0x214E0E63
tx_buffer_08|0x2587EFCE
tx_buffer_0C|0x621E1B8C
tx_buffer_10|0x37CDE46D
tx_buffer_14|0x55B3C3BE
tx_buffer_18|0xE33B7067
tx_buffer_1C|0xD19E7A18
tx_buffer_20|0xBAB0FC76
tx_buffer_24|0x5524ABDD
tx_buffer_28|0xCE02DE5D
tx_buffer_2C|0x32BB3FDD
tx_buffer_30|0xDA000219
tx_buffer_34|0xD493EAFE
tx_buffer_38|0xD7DD16AB
tx_buffer_3C|0xC519A894
rx_buffer_00|0x6171C05B
rx_buffer_04|0x214E0E63
rx_buffer_08|0x2587EFCE
rx_buffer_0C|0x621E1B8C
rx_buffer_10|0x37CDE46D
rx_buffer_14|0x55B3C3BE
rx_buffer_18|0xE33B7067
rx_buffer_1C|0xD19E7A18
rx_buffer_20|0xBAB0FC76
rx_buffer_24|0x5524ABDD
rx_buffer_28|0xCE02DE5D
rx_buffer_2C|0x32BB3FDD
rx_buffer_30|0xDA000219
rx_buffer_34|0xD493EAFE
rx_buffer_38|0xD7DD16AB
rx_buffer_3C|0xC519A894
