schema_version|1
label|sr_clean_m3_d0
sequence|1005
elapsed_ms|544
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x010000C0
mm2s_taildesc|0x010000C0
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x010010C0
s2mm_taildesc|0x010010C0
pl_status|0x0000006A
pl_object_error|0x00000000
pl_input_byte_count|0x00003608
pl_output_byte_count|0x00002E50
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C007B80
tx_bd_1C|0x80007B80
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x503915E9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x00007B80
rx_bd_1C|0x8C007B80
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x503915E9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x01000100
tx_current_00|0x01000140
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C007B80
tx_current_1C|0x80007B80
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x503915E9
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x01000100
tx_tail_00|0x01000140
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C007B80
tx_tail_1C|0x80007B80
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x503915E9
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x01001100
rx_current_00|0x01001140
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x00007B80
rx_current_1C|0x8C007B80
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x503915E9
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x01001100
rx_tail_00|0x01001140
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x00007B80
rx_tail_1C|0x8C007B80
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x503915E9
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0x2D63E2DC
tx_buffer_04|0x5CD8C595
tx_buffer_08|0x19AADE6A
tx_buffer_0C|0x6BABBC19
tx_buffer_10|0xACC14EBA
tx_buffer_14|0x512899BC
tx_buffer_18|0x2B0A7B67
tx_buffer_1C|0xEC5BACF4
tx_buffer_20|0x71038A43
tx_buffer_24|0x9FB12B7E
tx_buffer_28|0x22C76CC5
tx_buffer_2C|0x6C9315CE
tx_buffer_30|0xF7A991A4
tx_buffer_34|0xD8D27464
tx_buffer_38|0xD56B01E1
tx_buffer_3C|0x89C7DFCA
rx_buffer_00|0x2D63E2DC
rx_buffer_04|0x5CD8C595
rx_buffer_08|0x19AADE6A
rx_buffer_0C|0x6BABBC19
rx_buffer_10|0xACC14EBA
rx_buffer_14|0x512899BC
rx_buffer_18|0x2B0A7B67
rx_buffer_1C|0xEC5BACF4
rx_buffer_20|0x71038A43
rx_buffer_24|0x9FB12B7E
rx_buffer_28|0x22C76CC5
rx_buffer_2C|0x6C9315CE
rx_buffer_30|0xF7A991A4
rx_buffer_34|0xD8D27464
rx_buffer_38|0xD56B01E1
rx_buffer_3C|0x89C7DFCA
