schema_version|1
label|fault_duplicate_data_by_ack_loss
sequence|1004
elapsed_ms|428
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x010000C0
mm2s_taildesc|0x010000C0
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x010010C0
s2mm_taildesc|0x010010C0
pl_status|0x0000006A
pl_object_error|0x00000000
pl_input_byte_count|0x000000F7
pl_output_byte_count|0x000000F7
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C005CA0
tx_bd_1C|0x80005CA0
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x50391BE9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x00005CA0
rx_bd_1C|0x8C005CA0
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x50391BE9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x010000C0
tx_current_00|0x01000100
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C0000F7
tx_current_1C|0x800000F7
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x50391BEF
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x010000C0
tx_tail_00|0x01000100
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C0000F7
tx_tail_1C|0x800000F7
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x50391BEF
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x010010C0
rx_current_00|0x01001100
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x000000F7
rx_current_1C|0x8C0000F7
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x50391BEF
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x010010C0
rx_tail_00|0x01001100
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x000000F7
rx_tail_1C|0x8C0000F7
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x50391BEF
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0x8E86A2A1
tx_buffer_04|0x9A1AAC24
tx_buffer_08|0x996E43DF
tx_buffer_0C|0x6ACB60BE
tx_buffer_10|0x7AF2E051
tx_buffer_14|0x41BD8E71
tx_buffer_18|0xCECB8B17
tx_buffer_1C|0x51C71CFA
tx_buffer_20|0x7A59FF1F
tx_buffer_24|0xE60BD45A
tx_buffer_28|0xD39146F5
tx_buffer_2C|0x5C286D09
tx_buffer_30|0x5EA840A1
tx_buffer_34|0xC765ECA2
tx_buffer_38|0xB7A4D4AD
tx_buffer_3C|0xEEBF19D5
rx_buffer_00|0x8E86A2A1
rx_buffer_04|0x9A1AAC24
rx_buffer_08|0x996E43DF
rx_buffer_0C|0x6ACB60BE
rx_buffer_10|0x7AF2E051
rx_buffer_14|0x41BD8E71
rx_buffer_18|0xCECB8B17
rx_buffer_1C|0x51C71CFA
rx_buffer_20|0x7A59FF1F
rx_buffer_24|0xE60BD45A
rx_buffer_28|0xD39146F5
rx_buffer_2C|0x5C286D09
rx_buffer_30|0x5EA840A1
rx_buffer_34|0xC765ECA2
rx_buffer_38|0xB7A4D4AD
rx_buffer_3C|0xEEBF19D5
