schema_version|1
label|sack_reorder
sequence|1004
elapsed_ms|409
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x01000080
mm2s_taildesc|0x01000080
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x01001080
s2mm_taildesc|0x01001080
pl_status|0x0000006A
pl_object_error|0x00000000
pl_input_byte_count|0x0000F700
pl_output_byte_count|0x0000F700
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C00F700
tx_bd_1C|0x8000F700
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x503914E9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x0000F700
rx_bd_1C|0x8C00F700
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x503914E9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x010000C0
tx_current_00|0x01000100
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C00F700
tx_current_1C|0x8000F700
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x503914EF
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x010000C0
tx_tail_00|0x01000100
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C00F700
tx_tail_1C|0x8000F700
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x503914EF
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x010010C0
rx_current_00|0x01001100
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x0000F700
rx_current_1C|0x8C00F700
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x503914EF
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x010010C0
rx_tail_00|0x01001100
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x0000F700
rx_tail_1C|0x8C00F700
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x503914EF
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0x3BE99971
tx_buffer_04|0x05A93113
tx_buffer_08|0x3E4320D3
tx_buffer_0C|0x7A5F7DD6
tx_buffer_10|0x2D72EDCD
tx_buffer_14|0x7705643F
tx_buffer_18|0x07C318B0
tx_buffer_1C|0xD2F8E6A0
tx_buffer_20|0x0E6D56BE
tx_buffer_24|0xB03B0729
tx_buffer_28|0x37925707
tx_buffer_2C|0xB7B42F41
tx_buffer_30|0xC435A976
tx_buffer_34|0x581A4762
tx_buffer_38|0x2A796704
tx_buffer_3C|0x6AD73C9B
rx_buffer_00|0x3BE99971
rx_buffer_04|0x05A93113
rx_buffer_08|0x3E4320D3
rx_buffer_0C|0x7A5F7DD6
rx_buffer_10|0x2D72EDCD
rx_buffer_14|0x7705643F
rx_buffer_18|0x07C318B0
rx_buffer_1C|0xD2F8E6A0
rx_buffer_20|0x0E6D56BE
rx_buffer_24|0xB03B0729
rx_buffer_28|0x37925707
rx_buffer_2C|0xB7B42F41
rx_buffer_30|0xC435A976
rx_buffer_34|0x581A4762
rx_buffer_38|0x2A796704
rx_buffer_3C|0x6AD73C9B
