schema_version|1
label|fault_old_sequence
sequence|1008
elapsed_ms|447
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x01000180
mm2s_taildesc|0x01000180
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x010011C0
s2mm_taildesc|0x010011C0
pl_status|0x00000205
pl_object_error|0x00000000
pl_input_byte_count|0x00005203
pl_output_byte_count|0x00004E24
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C005CA0
tx_bd_1C|0x80005CA0
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x50391BE9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x00005CA0
rx_bd_1C|0x8C005CA0
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x50391BE9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x010001C0
tx_current_00|0x01000200
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C005CA0
tx_current_1C|0x80005CA0
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x50391BF7
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x010001C0
tx_tail_00|0x01000200
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C005CA0
tx_tail_1C|0x80005CA0
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x50391BF7
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x010011C0
rx_current_00|0x01001200
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x00005CA0
rx_current_1C|0x8C005CA0
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x50391BF7
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x010011C0
rx_tail_00|0x01001200
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x00005CA0
rx_tail_1C|0x8C005CA0
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x50391BF7
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0x9A69A1BA
tx_buffer_04|0xF9CDB2A1
tx_buffer_08|0x30E16105
tx_buffer_0C|0xEA5A0F26
tx_buffer_10|0x68EF4DAC
tx_buffer_14|0x3665A229
tx_buffer_18|0x9B5598BC
tx_buffer_1C|0x8EE50380
tx_buffer_20|0x9DB31292
tx_buffer_24|0xE40AA1C9
tx_buffer_28|0x2F2BA0D6
tx_buffer_2C|0x28BF4AC8
tx_buffer_30|0x2ACA0DB6
tx_buffer_34|0x46CD49A8
tx_buffer_38|0x37D9224E
tx_buffer_3C|0xF8CC6C8A
rx_buffer_00|0x9A69A1BA
rx_buffer_04|0xF9CDB2A1
rx_buffer_08|0x30E16105
rx_buffer_0C|0xEA5A0F26
rx_buffer_10|0x68EF4DAC
rx_buffer_14|0x3665A229
rx_buffer_18|0x9B5598BC
rx_buffer_1C|0x8EE50380
rx_buffer_20|0x9DB31292
rx_buffer_24|0xE40AA1C9
rx_buffer_28|0x2F2BA0D6
rx_buffer_2C|0x28BF4AC8
rx_buffer_30|0x2ACA0DB6
rx_buffer_34|0x46CD49A8
rx_buffer_38|0x37D9224E
rx_buffer_3C|0xF8CC6C8A
