schema_version|1
label|dma_misaligned_handled
sequence|1028
elapsed_ms|406
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x01000640
mm2s_taildesc|0x01000640
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x01001640
s2mm_taildesc|0x01001640
pl_status|0x0000006A
pl_object_error|0x00000000
pl_input_byte_count|0x00001000
pl_output_byte_count|0x00001000
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C000001
tx_bd_1C|0x80000001
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x50391AEB
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x00000001
rx_bd_1C|0x8C000001
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x50391AEB
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x01000640
tx_current_00|0x01000680
tx_current_04|0x00000000
tx_current_08|0x02000001
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C001000
tx_current_1C|0x80001000
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x50391D8C
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x01000640
tx_tail_00|0x01000680
tx_tail_04|0x00000000
tx_tail_08|0x02000001
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C001000
tx_tail_1C|0x80001000
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x50391D8C
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x01001640
rx_current_00|0x01001680
rx_current_04|0x00000000
rx_current_08|0x06000003
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x00001000
rx_current_1C|0x8C001000
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x50391D8C
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x01001640
rx_tail_00|0x01001680
rx_tail_04|0x00000000
rx_tail_08|0x06000003
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x00001000
rx_tail_1C|0x8C001000
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x50391D8C
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0x99538D40
tx_buffer_04|0xEB2B7D87
tx_buffer_08|0x79C8251E
tx_buffer_0C|0xA88C8DC8
tx_buffer_10|0x97F3B2B6
tx_buffer_14|0x68F89F3F
tx_buffer_18|0xDA6437ED
tx_buffer_1C|0x47C85E9D
tx_buffer_20|0x52D90493
tx_buffer_24|0x81BAE0A8
tx_buffer_28|0x7541E380
tx_buffer_2C|0x93BEC8EF
tx_buffer_30|0x81EB8521
tx_buffer_34|0xC5895790
tx_buffer_38|0x16A1B201
tx_buffer_3C|0xE70C3283
rx_buffer_00|0x8D9E9840
rx_buffer_04|0x7D879953
rx_buffer_08|0x251EEB2B
rx_buffer_0C|0x8DC879C8
rx_buffer_10|0xB2B6A88C
rx_buffer_14|0x9F3F97F3
rx_buffer_18|0x37ED68F8
rx_buffer_1C|0x5E9DDA64
rx_buffer_20|0x049347C8
rx_buffer_24|0xE0A852D9
rx_buffer_28|0xE38081BA
rx_buffer_2C|0xC8EF7541
rx_buffer_30|0x852193BE
rx_buffer_34|0x579081EB
rx_buffer_38|0xB201C589
rx_buffer_3C|0x328316A1
