schema_version|1
label|dma_size_4096
sequence|1021
elapsed_ms|438
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x01000480
mm2s_taildesc|0x01000480
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x01001480
s2mm_taildesc|0x01001480
pl_status|0x0000006A
pl_object_error|0x00000000
pl_input_byte_count|0x00001000
pl_output_byte_count|0x00001000
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C000001
tx_bd_1C|0x80000001
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x50391AEB
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x00000001
rx_bd_1C|0x8C000001
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x50391AEB
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x01000480
tx_current_00|0x010004C0
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C001000
tx_current_1C|0x80001000
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x50391AEF
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x01000480
tx_tail_00|0x010004C0
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C001000
tx_tail_1C|0x80001000
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x50391AEF
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x01001480
rx_current_00|0x010014C0
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x00001000
rx_current_1C|0x8C001000
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x50391AEF
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x01001480
rx_tail_00|0x010014C0
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x00001000
rx_tail_1C|0x8C001000
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x50391AEF
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0x92DEF72F
tx_buffer_04|0x867F6A77
tx_buffer_08|0x16CB975D
tx_buffer_0C|0xBD208829
tx_buffer_10|0x5A9ACD1B
tx_buffer_14|0xBF24BE94
tx_buffer_18|0x9C0F84B8
tx_buffer_1C|0x61C20199
tx_buffer_20|0xA911D573
tx_buffer_24|0xE10F380C
tx_buffer_28|0xCD0E6E97
tx_buffer_2C|0xE0AEED4F
tx_buffer_30|0x7459B852
tx_buffer_34|0x5C7EA250
tx_buffer_38|0xB8718F53
tx_buffer_3C|0x19D3E71F
rx_buffer_00|0x92DEF72F
rx_buffer_04|0x867F6A77
rx_buffer_08|0x16CB975D
rx_buffer_0C|0xBD208829
rx_buffer_10|0x5A9ACD1B
rx_buffer_14|0xBF24BE94
rx_buffer_18|0x9C0F84B8
rx_buffer_1C|0x61C20199
rx_buffer_20|0xA911D573
rx_buffer_24|0xE10F380C
rx_buffer_28|0xCD0E6E97
rx_buffer_2C|0xE0AEED4F
rx_buffer_30|0x7459B852
rx_buffer_34|0x5C7EA250
rx_buffer_38|0xB8718F53
rx_buffer_3C|0x19D3E71F
