schema_version|1
label|fault_post_recovery_clean
sequence|1014
elapsed_ms|113
mm2s_dmacr|0x00010002
mm2s_dmasr|0x00010009
mm2s_curdesc|0x00000000
mm2s_taildesc|0x00000000
s2mm_dmacr|0x00010002
s2mm_dmasr|0x00010009
s2mm_curdesc|0x00000000
s2mm_taildesc|0x00000000
pl_status|0x00000002
pl_object_error|0x00000000
pl_input_byte_count|0x00000000
pl_output_byte_count|0x00000000
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x00000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x00000000
tx_bd_1C|0x00000000
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x00000000
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x00000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x00000000
rx_bd_1C|0x00000000
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x00000000
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer_invalid|0x00000000
tx_tail_pointer_invalid|0x00000000
rx_current_pointer_invalid|0x00000000
rx_tail_pointer_invalid|0x00000000
tx_buffer_00|0xC05A3993
tx_buffer_04|0x03556681
tx_buffer_08|0x826F843C
tx_buffer_0C|0x2E80B530
tx_buffer_10|0xF9F6DF36
tx_buffer_14|0x0FFF7879
tx_buffer_18|0xCBBE5F03
tx_buffer_1C|0x05961AB5
tx_buffer_20|0x421BF0A1
tx_buffer_24|0x990E9C3C
tx_buffer_28|0x1A08FCEE
tx_buffer_2C|0x32766A1A
tx_buffer_30|0x2D219AC3
tx_buffer_34|0xD37E92E9
tx_buffer_38|0xC4BAE644
tx_buffer_3C|0x40CA0B5F
rx_buffer_00|0x00000000
rx_buffer_04|0x00000000
rx_buffer_08|0x00000000
rx_buffer_0C|0x00000000
rx_buffer_10|0x00000000
rx_buffer_14|0x00000000
rx_buffer_18|0x00000000
rx_buffer_1C|0x00000000
rx_buffer_20|0x00000000
rx_buffer_24|0x00000000
rx_buffer_28|0x00000000
rx_buffer_2C|0x00000000
rx_buffer_30|0x00000000
rx_buffer_34|0x00000000
rx_buffer_38|0x00000000
rx_buffer_3C|0x00000000
