schema_version|1
label|dma_cache_off_1048576
sequence|1027
elapsed_ms|110
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x010005C0
mm2s_taildesc|0x010005C0
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x010015C0
s2mm_taildesc|0x010015C0
pl_status|0x0000006A
pl_object_error|0x00000000
pl_input_byte_count|0x00001000
pl_output_byte_count|0x00001000
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C000001
tx_bd_1C|0x80000001
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x50391AEB
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x00000001
rx_bd_1C|0x8C000001
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x50391AEB
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x010005C0
tx_current_00|0x01000600
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C001000
tx_current_1C|0x80001000
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x50391D80
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x010005C0
tx_tail_00|0x01000600
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C001000
tx_tail_1C|0x80001000
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x50391D80
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x010015C0
rx_current_00|0x01001600
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x00001000
rx_current_1C|0x8C001000
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x50391D80
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x010015C0
rx_tail_00|0x01001600
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x00001000
rx_tail_1C|0x8C001000
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x50391D80
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0x269E9840
tx_buffer_04|0x4ADD0534
tx_buffer_08|0x7BCF1328
tx_buffer_0C|0x957E0579
tx_buffer_10|0xF0B10416
tx_buffer_14|0x1D11A360
tx_buffer_18|0x1A8E8E51
tx_buffer_1C|0x6804620B
tx_buffer_20|0xD1F4D2CF
tx_buffer_24|0x57429997
tx_buffer_28|0x2E142A38
tx_buffer_2C|0xDBB62611
tx_buffer_30|0x97024822
tx_buffer_34|0xE262A4F1
tx_buffer_38|0x1D574851
tx_buffer_3C|0xFD09CE3E
rx_buffer_00|0x76D31221
rx_buffer_04|0x2270A7B6
rx_buffer_08|0x20B4FC47
rx_buffer_0C|0xAF74F411
rx_buffer_10|0x393652D8
rx_buffer_14|0xA4472E2D
rx_buffer_18|0xDE498EA2
rx_buffer_1C|0xDF23A16B
rx_buffer_20|0xB196A88D
rx_buffer_24|0x3DA37715
rx_buffer_28|0xA6DC5189
rx_buffer_2C|0xCC15300C
rx_buffer_30|0xBC5A8AF2
rx_buffer_34|0xA827E5BC
rx_buffer_38|0xA519F24B
rx_buffer_3C|0x25C3303B
