label|command|expected_status|flags|lane|direction|rate|weights|size|ring|cache|txoff|rxoff|timeout|session|path|object|dropdata|dropack|unavailable|rawtarget|spacing|stale|initialseq|faultflags|idle|injectmask|injectdelay|window|started_ms|finished_ms|observed_status|observed_state|sequence|dump_path
sched_lane0|3|0|2|1|0|2|257|63232|32|1|0|0|120000|2416508929|9|8192|0|0|0|0|1024|0|0|0|0|0|0|NA|1785315004024|1785315004775|0|4|1001|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T084813Z_528556b51e1f_85faf9262170/20260729T084935Z_p9_20/scheduler/p9_20/mailbox/sched_lane0.bin
sched_lane1|3|0|2|2|1|2|257|63232|32|1|0|0|120000|2416508929|9|8193|0|0|0|0|1024|0|0|0|0|0|0|NA|1785315004787|1785315005536|0|4|1002|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T084813Z_528556b51e1f_85faf9262170/20260729T084935Z_p9_20/scheduler/p9_20/mailbox/sched_lane1.bin
sched_equal|3|0|2|3|0|2|257|126464|32|1|0|0|120000|2416508929|9|8194|0|0|0|0|1024|0|0|0|0|0|0|NA|1785315005546|1785315006670|0|4|1003|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T084813Z_528556b51e1f_85faf9262170/20260729T084935Z_p9_20/scheduler/p9_20/mailbox/sched_equal.bin
sched_1_to_3|3|0|2|3|1|2|769|126464|32|1|0|0|120000|2416508929|9|8195|0|0|0|0|1024|0|0|0|0|0|0|NA|1785315006680|1785315007942|0|4|1004|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T084813Z_528556b51e1f_85faf9262170/20260729T084935Z_p9_20/scheduler/p9_20/mailbox/sched_1_to_3.bin
sched_3_to_1|3|0|2|3|0|2|259|126464|32|1|0|0|120000|2416508929|9|8196|0|0|0|0|1024|0|0|0|0|0|0|NA|1785315007963|1785315009248|0|4|1005|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T084813Z_528556b51e1f_85faf9262170/20260729T084935Z_p9_20/scheduler/p9_20/mailbox/sched_3_to_1.bin
retry_migration|3|0|2|3|1|2|257|63232|32|1|0|0|120000|2416508929|9|8197|1|0|0|0|1024|0|0|0|0|1|10|NA|1785315009268|1785315010032|0|4|1006|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T084813Z_528556b51e1f_85faf9262170/20260729T084935Z_p9_20/scheduler/p9_20/mailbox/retry_migration.bin
lane0_unavailable|3|0|2|3|0|2|257|63232|32|1|0|0|120000|2416508929|9|8198|0|0|1|0|1024|0|0|0|0|0|0|NA|1785315010046|1785315010796|0|4|1007|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T084813Z_528556b51e1f_85faf9262170/20260729T084935Z_p9_20/scheduler/p9_20/mailbox/lane0_unavailable.bin
lane1_unavailable|3|0|2|3|1|2|257|63232|32|1|0|0|120000|2416508929|9|8199|0|0|2|0|1024|0|0|0|0|0|0|NA|1785315010814|1785315011571|0|4|1008|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T084813Z_528556b51e1f_85faf9262170/20260729T084935Z_p9_20/scheduler/p9_20/mailbox/lane1_unavailable.bin
lane0_mapping_invalid|3|0|2|3|0|2|257|63232|32|1|0|0|120000|2416508929|9|8203|0|0|0|0|1024|0|0|256|0|0|0|NA|1785315011580|1785315012331|0|4|1009|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T084813Z_528556b51e1f_85faf9262170/20260729T084935Z_p9_20/scheduler/p9_20/mailbox/lane0_mapping_invalid.bin
lane1_mapping_invalid|3|0|2|3|1|2|257|63232|32|1|0|0|120000|2416508929|9|8204|0|0|0|0|1024|0|0|512|0|0|0|NA|1785315012342|1785315013093|0|4|1010|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T084813Z_528556b51e1f_85faf9262170/20260729T084935Z_p9_20/scheduler/p9_20/mailbox/lane1_mapping_invalid.bin
