schema_version|1
label|lane_fault_in_flight
sequence|1013
elapsed_ms|4781
mm2s_dmacr|0x00010003
mm2s_dmasr|0x00011008
mm2s_curdesc|0x01000300
mm2s_taildesc|0x01000300
s2mm_dmacr|0x00010003
s2mm_dmasr|0x00011008
s2mm_curdesc|0x01001300
s2mm_taildesc|0x01001300
pl_status|0x00000205
pl_object_error|0x00000000
pl_input_byte_count|0x0000BB2E
pl_output_byte_count|0x00009C4C
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C00F700
tx_bd_1C|0x8000F700
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x503923E9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x0000F700
rx_bd_1C|0x8C00F700
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x503923E9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x01000300
tx_current_00|0x01000340
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C100000
tx_current_1C|0x00000000
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x503923FD
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x01000300
tx_tail_00|0x01000340
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C100000
tx_tail_1C|0x00000000
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x503923FD
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x01001300
rx_current_00|0x01001340
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x00100000
rx_current_1C|0x00000000
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x503923FD
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x01001300
rx_tail_00|0x01001340
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x00100000
rx_tail_1C|0x00000000
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x503923FD
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0xB63FE7A6
tx_buffer_04|0x525B4D5A
tx_buffer_08|0x9E8808A9
tx_buffer_0C|0xEE715F79
tx_buffer_10|0xFF3039D0
tx_buffer_14|0xC5181390
tx_buffer_18|0x9F1FA8ED
tx_buffer_1C|0x7F2A81B9
tx_buffer_20|0x73B058A9
tx_buffer_24|0x7701C768
tx_buffer_28|0x7FCDECFC
tx_buffer_2C|0x25E81AF6
tx_buffer_30|0xD86368D7
tx_buffer_34|0xC757B904
tx_buffer_38|0xCF8170D0
tx_buffer_3C|0x5EF8A2CF
rx_buffer_00|0xB63FE7A6
rx_buffer_04|0x525B4D5A
rx_buffer_08|0x9E8808A9
rx_buffer_0C|0xEE715F79
rx_buffer_10|0xFF3039D0
rx_buffer_14|0xC5181390
rx_buffer_18|0x9F1FA8ED
rx_buffer_1C|0x7F2A81B9
rx_buffer_20|0x73B058A9
rx_buffer_24|0x7701C768
rx_buffer_28|0x7FCDECFC
rx_buffer_2C|0x25E81AF6
rx_buffer_30|0xD86368D7
rx_buffer_34|0xC757B904
rx_buffer_38|0xCF8170D0
rx_buffer_3C|0x5EF8A2CF
