label|command|expected_status|flags|lane|direction|rate|weights|size|ring|cache|txoff|rxoff|timeout|session|path|object|dropdata|dropack|unavailable|rawtarget|spacing|stale|initialseq|faultflags|idle|injectmask|injectdelay|window|started_ms|finished_ms|observed_status|observed_state|sequence|dump_path
sched_lane0|3|0|2|1|0|2|257|63232|32|1|0|0|120000|2416508929|9|8192|0|0|0|0|1024|0|0|0|0|0|0|NA|1785320863437|1785320864245|0|4|1001|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/sched_lane0.bin
sched_lane1|3|0|2|2|1|2|257|63232|32|1|0|0|120000|2416508929|9|8193|0|0|0|0|1024|0|0|0|0|0|0|NA|1785320864262|1785320865007|0|4|1002|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/sched_lane1.bin
sched_equal|3|0|2|3|0|2|257|126464|32|1|0|0|120000|2416508929|9|8194|0|0|0|0|1024|0|0|0|0|0|0|NA|1785320865026|1785320866134|0|4|1003|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/sched_equal.bin
sched_1_to_3|3|0|2|3|1|2|769|126464|32|1|0|0|120000|2416508929|9|8195|0|0|0|0|1024|0|0|0|0|0|0|NA|1785320866143|1785320867398|0|4|1004|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/sched_1_to_3.bin
sched_3_to_1|3|0|2|3|0|2|259|126464|32|1|0|0|120000|2416508929|9|8196|0|0|0|0|1024|0|0|0|0|0|0|NA|1785320867407|1785320868685|0|4|1005|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/sched_3_to_1.bin
retry_migration|3|0|2|3|1|2|257|63232|32|1|0|0|120000|2416508929|9|8197|1|0|0|0|1024|0|0|0|0|1|10|NA|1785320868695|1785320869465|0|4|1006|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/retry_migration.bin
lane0_unavailable|3|0|2|3|0|2|257|63232|32|1|0|0|120000|2416508929|9|8198|0|0|1|0|1024|0|0|0|0|0|0|NA|1785320869474|1785320870234|0|4|1007|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/lane0_unavailable.bin
lane1_unavailable|3|0|2|3|1|2|257|63232|32|1|0|0|120000|2416508929|9|8199|0|0|2|0|1024|0|0|0|0|0|0|NA|1785320870243|1785320870991|0|4|1008|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/lane1_unavailable.bin
lane0_mapping_invalid|3|0|2|3|0|2|257|63232|32|1|0|0|120000|2416508929|9|8203|0|0|0|0|1024|0|0|256|0|0|0|NA|1785320871008|1785320871756|0|4|1009|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/lane0_mapping_invalid.bin
lane1_mapping_invalid|3|0|2|3|1|2|257|63232|32|1|0|0|120000|2416508929|9|8204|0|0|0|0|1024|0|0|512|0|0|0|NA|1785320871765|1785320872532|0|4|1010|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/lane1_mapping_invalid.bin
lane0_duty_throttle|3|0|2|3|0|2|257|63232|32|1|0|0|120000|2416508929|9|8205|0|0|0|0|1024|0|0|1024|0|0|0|NA|1785320872543|1785320873305|0|4|1011|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/lane0_duty_throttle.bin
lane1_duty_throttle|3|0|2|3|1|2|257|63232|32|1|0|0|120000|2416508929|9|8206|0|0|0|0|1024|0|0|2048|0|0|0|NA|1785320873314|1785320874069|0|4|1012|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/lane1_duty_throttle.bin
lane_fault_in_flight|3|0|2|3|0|2|257|1048576|32|1|0|0|120000|2416508929|9|8200|0|0|0|0|1024|0|0|0|0|1|100|NA|1785320874078|1785320885371|0|4|1013|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/lane_fault_in_flight.bin
all_lanes_unavailable|3|12|2|3|0|2|257|4096|32|1|0|0|30000|2416508929|9|8201|0|0|3|0|1024|0|0|0|0|0|0|NA|1785320885380|1785320885465|12|5|1014|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/all_lanes_unavailable.bin
scheduler_recovery|3|0|2|3|1|2|257|65536|32|1|0|0|120000|2416508929|9|8202|0|0|0|0|1024|0|0|0|0|0|0|NA|1785320885474|1785320886121|0|4|1015|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/scheduler_recovery.bin
P9-20_endpoint_shutdown|10|0|0|0|0|0|0|0|8|0|0|0|10000|0|0|0|0|0|0|0|1024|0|0|0|0|0|0|NA|1785320886131|1785320886183|0|6|1016|C:/Users/user/Documents/RF_COMM_MULTILANE_P9/evidence/hardware/p9_diagnostics/p9_20260729T102644Z_5eb60e875e45_7ef78b55341c/20260729T102724Z_p9_20/scheduler/p9_20/mailbox/P9-20_endpoint_shutdown.bin
