schema_version|1
label|sched_3_to_1
sequence|1005
elapsed_ms|506
mm2s_dmacr|0x00010003
mm2s_dmasr|0x0001100A
mm2s_curdesc|0x010000C0
mm2s_taildesc|0x010000C0
s2mm_dmacr|0x00010003
s2mm_dmasr|0x0001100A
s2mm_curdesc|0x010010C0
s2mm_taildesc|0x010010C0
pl_status|0x0000006A
pl_object_error|0x00000000
pl_input_byte_count|0x0001EE00
pl_output_byte_count|0x0001EE00
tx_bd_00|0x01000040
tx_bd_04|0x00000000
tx_bd_08|0x02000000
tx_bd_0C|0x00000000
tx_bd_10|0x00000000
tx_bd_14|0x00000000
tx_bd_18|0x0C00F700
tx_bd_1C|0x8000F700
tx_bd_20|0x00000000
tx_bd_24|0x00000000
tx_bd_28|0x00000000
tx_bd_2C|0x00000000
tx_bd_30|0x00000000
tx_bd_34|0x503923E9
tx_bd_38|0x00000000
tx_bd_3C|0x00000104
rx_bd_00|0x01001040
rx_bd_04|0x00000000
rx_bd_08|0x06000000
rx_bd_0C|0x00000000
rx_bd_10|0x00000000
rx_bd_14|0x00000000
rx_bd_18|0x0000F700
rx_bd_1C|0x8C00F700
rx_bd_20|0x00000000
rx_bd_24|0x00000000
rx_bd_28|0x00000000
rx_bd_2C|0x00000000
rx_bd_30|0x00000000
rx_bd_34|0x503923E9
rx_bd_38|0x00000000
rx_bd_3C|0x00000104
tx_current_pointer|0x010000C0
tx_current_00|0x01000100
tx_current_04|0x00000000
tx_current_08|0x02000000
tx_current_0C|0x00000000
tx_current_10|0x00000000
tx_current_14|0x00000000
tx_current_18|0x0C01EE00
tx_current_1C|0x8001EE00
tx_current_20|0x00000000
tx_current_24|0x00000000
tx_current_28|0x00000000
tx_current_2C|0x00000000
tx_current_30|0x00000000
tx_current_34|0x503923EF
tx_current_38|0x00000000
tx_current_3C|0x00000104
tx_tail_pointer|0x010000C0
tx_tail_00|0x01000100
tx_tail_04|0x00000000
tx_tail_08|0x02000000
tx_tail_0C|0x00000000
tx_tail_10|0x00000000
tx_tail_14|0x00000000
tx_tail_18|0x0C01EE00
tx_tail_1C|0x8001EE00
tx_tail_20|0x00000000
tx_tail_24|0x00000000
tx_tail_28|0x00000000
tx_tail_2C|0x00000000
tx_tail_30|0x00000000
tx_tail_34|0x503923EF
tx_tail_38|0x00000000
tx_tail_3C|0x00000104
rx_current_pointer|0x010010C0
rx_current_00|0x01001100
rx_current_04|0x00000000
rx_current_08|0x06000000
rx_current_0C|0x00000000
rx_current_10|0x00000000
rx_current_14|0x00000000
rx_current_18|0x0001EE00
rx_current_1C|0x8C01EE00
rx_current_20|0x00000000
rx_current_24|0x00000000
rx_current_28|0x00000000
rx_current_2C|0x00000000
rx_current_30|0x00000000
rx_current_34|0x503923EF
rx_current_38|0x00000000
rx_current_3C|0x00000104
rx_tail_pointer|0x010010C0
rx_tail_00|0x01001100
rx_tail_04|0x00000000
rx_tail_08|0x06000000
rx_tail_0C|0x00000000
rx_tail_10|0x00000000
rx_tail_14|0x00000000
rx_tail_18|0x0001EE00
rx_tail_1C|0x8C01EE00
rx_tail_20|0x00000000
rx_tail_24|0x00000000
rx_tail_28|0x00000000
rx_tail_2C|0x00000000
rx_tail_30|0x00000000
rx_tail_34|0x503923EF
rx_tail_38|0x00000000
rx_tail_3C|0x00000104
tx_buffer_00|0xE2998590
tx_buffer_04|0xB717E46B
tx_buffer_08|0x79C02C84
tx_buffer_0C|0x705003E3
tx_buffer_10|0x7B368400
tx_buffer_14|0xF618F6F2
tx_buffer_18|0xA3B8AD66
tx_buffer_1C|0xC88DA6AB
tx_buffer_20|0x1333A39A
tx_buffer_24|0xF50A6DF2
tx_buffer_28|0xBAE95D5D
tx_buffer_2C|0x5444C527
tx_buffer_30|0xFB6246DC
tx_buffer_34|0xBE5139E1
tx_buffer_38|0xB4A3676A
tx_buffer_3C|0x5EE7CA88
rx_buffer_00|0x00000000
rx_buffer_04|0x00000000
rx_buffer_08|0x00000000
rx_buffer_0C|0x00000000
rx_buffer_10|0x00000000
rx_buffer_14|0x00000000
rx_buffer_18|0x00000000
rx_buffer_1C|0x00000000
rx_buffer_20|0x00000000
rx_buffer_24|0x00000000
rx_buffer_28|0x00000000
rx_buffer_2C|0x00000000
rx_buffer_30|0x00000000
rx_buffer_34|0x00000000
rx_buffer_38|0x00000000
rx_buffer_3C|0x00000000
