case,type,payload_len,pattern,lane_mask,ack_lane_mask,session,payload_crc32,lanes_expected,crc_bad,payload_mismatch,tx_retry_exhausted,tx_fail,status,reason
len1_zeros_mask0x1,positive,1,zeros,0x1,0x1,0x2201,0xd202ef8d,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_zeros_mask0x2,positive,1,zeros,0x2,0x2,0x2201,0xd202ef8d,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_zeros_mask0x3,positive,1,zeros,0x3,0x3,0x2201,0xd202ef8d,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len1_ones_mask0x1,positive,1,ones,0x1,0x1,0x2201,0xff000000,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_ones_mask0x2,positive,1,ones,0x2,0x2,0x2201,0xff000000,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_ones_mask0x3,positive,1,ones,0x3,0x3,0x2201,0xff000000,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len1_0xAA_mask0x1,positive,1,0xAA,0x1,0x1,0x2201,0xe401a57b,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_0xAA_mask0x2,positive,1,0xAA,0x2,0x2,0x2201,0xe401a57b,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_0xAA_mask0x3,positive,1,0xAA,0x3,0x3,0x2201,0xe401a57b,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len1_0x55_mask0x1,positive,1,0x55,0x1,0x1,0x2201,0xc9034af6,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_0x55_mask0x2,positive,1,0x55,0x2,0x2,0x2201,0xc9034af6,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_0x55_mask0x3,positive,1,0x55,0x3,0x3,0x2201,0xc9034af6,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len1_counter_mask0x1,positive,1,counter,0x1,0x1,0x2201,0xd202ef8d,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_counter_mask0x2,positive,1,counter,0x2,0x2,0x2201,0xd202ef8d,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_counter_mask0x3,positive,1,counter,0x3,0x3,0x2201,0xd202ef8d,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len1_walking_one_mask0x1,positive,1,walking_one,0x1,0x1,0x2201,0xa505df1b,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_walking_one_mask0x2,positive,1,walking_one,0x2,0x2,0x2201,0xa505df1b,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_walking_one_mask0x3,positive,1,walking_one,0x3,0x3,0x2201,0xa505df1b,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len1_walking_zero_mask0x1,positive,1,walking_zero,0x1,0x1,0x2201,0x88073096,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_walking_zero_mask0x2,positive,1,walking_zero,0x2,0x2,0x2201,0x88073096,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_walking_zero_mask0x3,positive,1,walking_zero,0x3,0x3,0x2201,0x88073096,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len1_prbs7_mask0x1,positive,1,prbs7,0x1,0x1,0x2201,0x15d54739,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_prbs7_mask0x2,positive,1,prbs7,0x2,0x2,0x2201,0x15d54739,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_prbs7_mask0x3,positive,1,prbs7,0x3,0x3,0x2201,0x15d54739,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len1_prbs15_mask0x1,positive,1,prbs15,0x1,0x1,0x2201,0x67d220bc,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_prbs15_mask0x2,positive,1,prbs15,0x2,0x2,0x2201,0x67d220bc,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_prbs15_mask0x3,positive,1,prbs15,0x3,0x3,0x2201,0x67d220bc,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len1_deterministic_random_mask0x1,positive,1,deterministic_random,0x1,0x1,0x2201,0x2bbb30e2,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_deterministic_random_mask0x2,positive,1,deterministic_random,0x2,0x2,0x2201,0x2bbb30e2,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len1_deterministic_random_mask0x3,positive,1,deterministic_random,0x3,0x3,0x2201,0x2bbb30e2,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len2_zeros_mask0x1,positive,2,zeros,0x1,0x1,0x2201,0x41d912ff,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_zeros_mask0x2,positive,2,zeros,0x2,0x2,0x2201,0x41d912ff,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_zeros_mask0x3,positive,2,zeros,0x3,0x3,0x2201,0x41d912ff,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len2_ones_mask0x1,positive,2,ones,0x1,0x1,0x2201,0xffff0000,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_ones_mask0x2,positive,2,ones,0x2,0x2,0x2201,0xffff0000,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_ones_mask0x3,positive,2,ones,0x3,0x3,0x2201,0xffff0000,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len2_0xAA_mask0x1,positive,2,0xAA,0x1,0x1,0x2201,0x23320c6a,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_0xAA_mask0x2,positive,2,0xAA,0x2,0x2,0x2201,0x23320c6a,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_0xAA_mask0x3,positive,2,0xAA,0x3,0x3,0x2201,0x23320c6a,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len2_0x55_mask0x1,positive,2,0x55,0x1,0x1,0x2201,0x9d141e95,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_0x55_mask0x2,positive,2,0x55,0x2,0x2,0x2201,0x9d141e95,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_0x55_mask0x3,positive,2,0x55,0x3,0x3,0x2201,0x9d141e95,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len2_counter_mask0x1,positive,2,counter,0x1,0x1,0x2201,0x36de2269,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_counter_mask0x2,positive,2,counter,0x2,0x2,0x2201,0x36de2269,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_counter_mask0x3,positive,2,counter,0x3,0x3,0x2201,0x36de2269,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len2_walking_one_mask0x1,positive,2,walking_one,0x1,0x1,0x2201,0xb6cc4292,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_walking_one_mask0x2,positive,2,walking_one,0x2,0x2,0x2201,0xb6cc4292,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_walking_one_mask0x3,positive,2,walking_one,0x3,0x3,0x2201,0xb6cc4292,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len2_walking_zero_mask0x1,positive,2,walking_zero,0x1,0x1,0x2201,0x08ea506d,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_walking_zero_mask0x2,positive,2,walking_zero,0x2,0x2,0x2201,0x08ea506d,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_walking_zero_mask0x3,positive,2,walking_zero,0x3,0x3,0x2201,0x08ea506d,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len2_prbs7_mask0x1,positive,2,prbs7,0x1,0x1,0x2201,0x59a98220,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_prbs7_mask0x2,positive,2,prbs7,0x2,0x2,0x2201,0x59a98220,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_prbs7_mask0x3,positive,2,prbs7,0x3,0x3,0x2201,0x59a98220,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
len2_prbs15_mask0x1,positive,2,prbs15,0x1,0x1,0x2201,0x3adde99e,0,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_prbs15_mask0x2,positive,2,prbs15,0x2,0x2,0x2201,0x3adde99e,1,0,0,0,0,PASS,reference payload encode/decode and digest match
len2_prbs15_mask0x3,positive,2,prbs15,0x3,0x3,0x2201,0x3adde99e,"0,1",0,0,0,0,PASS,reference payload encode/decode and digest match
